,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.888,0.868,0,-5.499,0,0.0784,0.445,0.0,0.0868,0.8740000000000001,110.09100000000001,2sFUt05Px48xF7upMN4dGO,187091,4,63,False
1,0.7979999999999999,0.742,5,-5.587999999999999,0,0.0467,0.0256,3.68e-05,0.0749,0.934,139.996,4ZU4yHDLZcMcy8BF6Y89fu,198857,4,67,False
2,0.804,0.5720000000000001,11,-6.944,0,0.0471,0.062,0.000213,0.12300000000000001,0.639,95.00299999999999,61ym3imFxyXoTOoZz4loqA,173380,4,55,False
3,0.591,0.6809999999999999,6,-6.515,0,0.156,0.512,1.63e-05,0.19899999999999998,0.853,80.575,4OxGLH7f7DZzkUGXFSMd8y,187925,3,55,False
4,0.785,0.6890000000000001,6,-6.1160000000000005,1,0.32799999999999996,0.133,0.0,0.0525,0.653,106.00200000000001,2cW6QgE02d6UUGXDsuOQk9,177607,4,49,False
5,0.7440000000000001,0.888,1,-4.88,0,0.0552,0.0904,0.0,0.324,0.611,104.99600000000001,4IMYgmXkjzzOmbDNbQZnVe,212571,4,63,False
6,0.7170000000000001,0.56,1,-9.076,1,0.0343,0.441,1.92e-05,0.0939,0.588,104.044,64HC3afpYKfxi58vHDbBTQ,183391,4,51,False
7,0.968,0.591,10,-6.046,0,0.0486,0.147,0.0,0.0556,0.847,110.007,1IxQNacPrIEyWapyS7DYKB,394968,4,57,False
8,0.836,0.581,3,-8.961,0,0.0696,0.106,1.17e-06,0.10099999999999999,0.639,110.999,2nf1owFJaeOw5YubEW52ga,182986,4,55,True
9,0.7859999999999999,0.6859999999999999,5,-6.029,0,0.0406,0.128,0.0,0.16,0.971,120.036,3y1tMUZAy2v5LMyKo7Ko8J,204500,4,51,False
10,0.703,0.733,2,-5.577000000000001,1,0.0483,0.225,0.0,0.25,0.155,85.01100000000001,3LXkSHGB7NKRTsofOZPLF4,209265,4,48,False
11,0.77,0.6940000000000001,8,-7.875,0,0.0774,0.204,0.0,0.0914,0.498,92.979,4jjQIXVANytMf4SSaZmv2r,192259,4,51,False
12,0.703,0.8320000000000001,4,-6.431,0,0.0386,0.34299999999999997,0.0,0.128,0.9470000000000001,140.004,3W8WJ05DrwkusqdFyrtFw5,226827,4,46,False
13,0.688,0.804,2,-5.88,0,0.0356,0.314,0.000293,0.146,0.589,105.008,4qnmWklH3MwTy41kDCbex9,224067,4,54,False
14,0.736,0.7809999999999999,8,-6.85,1,0.0428,0.301,1.44e-06,0.19,0.525,104.988,2A17I9810aeJa9BHIvHYxp,240000,4,54,False
15,0.56,0.888,4,-2.8710000000000004,0,0.0531,0.17300000000000001,0.0,0.392,0.43200000000000005,96.061,0dINNEaHERGP6A3Y7ejWn5,197500,4,49,False
16,0.732,0.6409999999999999,4,-7.436,0,0.0811,0.0394,0.0,0.0719,0.478,105.03200000000001,5rX5sT9yC44Rq61EmtGrk5,206286,4,50,False
17,0.728,0.525,7,-10.161,1,0.0859,0.332,0.0,0.14,0.322,94.988,2YTco398182eSCcjCsq6JR,244421,4,60,False
18,0.75,0.679,6,-7.015,1,0.0649,0.127,0.0,0.373,0.851,117.93799999999999,549q4U1mXV8heiYf41uSNG,239135,4,48,False
19,0.828,0.653,5,-7.832999999999999,0,0.0429,0.297,0.0,0.115,0.505,103.971,7JAPo0o6KfpKdZiGLoRCNh,171733,4,58,False
20,0.778,0.907,9,-5.449,0,0.0569,0.228,2.47e-05,0.311,0.912,129.99,612qZheYzgDboDZGz2iJDv,231808,4,52,False
21,0.619,0.6629999999999999,0,-8.895,0,0.154,0.41700000000000004,0.0,0.151,0.677,156.046,6aNxF6lbcwr8iA8EHOW3Xr,244615,4,59,False
22,0.765,0.93,0,-3.678,1,0.11599999999999999,0.0847,3.13e-05,0.46799999999999997,0.7959999999999999,105.98899999999999,1ocmeK6N2rVQcFjeX9P7WZ,166713,4,53,False
23,0.866,0.948,4,-1.574,1,0.121,0.23399999999999999,0.0,0.354,0.865,94.98899999999999,26aIrTfonUnw35cRlH2YbZ,331128,4,54,False
24,0.627,0.746,2,-4.426,0,0.26,0.0347,1.41e-06,0.0752,0.505,106.8,6uv7lEEKwtg4VZOEUJKD4F,218131,4,50,False
25,0.785,0.7340000000000001,4,-4.533,0,0.151,0.157,0.0,0.147,0.696,100.025,3D1bDB0N1nmB0hrfLCqF4G,220800,4,51,False
26,0.521,0.691,2,-6.615,0,0.28600000000000003,0.302,0.0024,0.0853,0.747,79.885,2SUjVxW58Oof4jbBt8oe5c,224721,3,59,False
27,0.7440000000000001,0.892,7,-5.3020000000000005,1,0.08199999999999999,0.203,0.0006230000000000001,0.315,0.7040000000000001,102.98,6pA25Qz9Pbvb90I6j0MRYy,342784,4,37,False
28,0.7040000000000001,0.8270000000000001,5,-4.583,0,0.10800000000000001,0.158,0.0,0.242,0.581,102.014,3S7wcZjYOEoPD3EmquMUgF,202080,4,51,False
29,0.578,0.705,8,-7.706,1,0.297,0.0442,2.57e-06,0.131,0.608,63.044,173D6a1nAF2vA40u0H61Xq,177143,4,44,False
30,0.895,0.83,10,-9.193,0,0.0632,0.0904,0.000321,0.0345,0.895,110.0,7vuO4IR9VCoXa1NvlgOISv,281532,4,51,False
