,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.561,0.597,11,-6.0,0,0.0405,0.28600000000000003,0.0,0.0979,0.355,76.82600000000001,1yTTMcUhL7rtz08Dsgb7Qb,197299,4,77,False
1,0.45899999999999996,0.575,3,-4.8580000000000005,1,0.0573,0.604,0.0,0.0885,0.183,111.881,7ce20yLkzuXXLUhzIDoZih,215107,4,88,False
2,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.11599999999999999,0.319,89.391,0d2iYfpKoM0QCKvcLCkBao,173800,4,80,False
3,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,21jGcNKet2qwijlDFuPiPb,215280,4,90,False
4,0.64,0.647,5,-8.113999999999999,0,0.18600000000000003,0.124,0.0,0.0801,0.546,92.979,70eFcWOvlMObDhURTqT4Fv,197867,4,78,False
5,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,6Qs4SXO9dwPj5GKvVOv8Ki,171030,4,84,False
6,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,2P91MQbaiQOfbiz9VqhqKQ,197437,4,84,False
7,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.32899999999999996,0.428,89.93799999999999,3LlAyCYU26dvFZBDUIMb7a,175200,4,73,False
8,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.9129999999999999,89.911,3KkXRkHbMCARz0aVfEt68P,158040,4,86,False
9,0.722,0.41700000000000004,8,-6.825,1,0.0618,0.39,0.0,0.0612,0.451,113.965,6AeQlMyRzvSl1nkFztZyKl,176347,4,58,False
10,0.655,0.74,2,-4.081,1,0.27399999999999997,0.14,0.0,0.106,0.5429999999999999,182.105,0EGuSSpuu9wmHCtvb4PdLO,202221,4,70,False
11,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.9620000000000001,100.051,2sGF7DBXvL2GjkbG606m1G,176283,4,71,False
12,0.602,0.377,11,-6.212999999999999,1,0.0446,0.731,0.0,0.0808,0.518,73.877,3H3r2nKWa3Yk5gt8xgmsEt,194853,4,84,False
13,0.69,0.524,6,-8.39,0,0.10300000000000001,0.0415,3.16e-06,0.17,0.562,164.023,4BHzQ9C00ceJxfG16AlNWb,223080,4,71,False
14,0.795,0.18,0,-12.293,1,0.0608,0.59,0.0,0.621,0.611,94.02,1pV9TLnQdOHbvourRO7x4m,181613,4,76,False
15,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.5329999999999999,136.041,5p7ujcrUXASCNwRaWNHR1C,201661,4,83,True
16,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161,4,91,False
17,0.9570000000000001,0.365,8,-7.632000000000001,1,0.0512,0.207,0.0,0.132,0.355,107.96700000000001,0x0yttxnfoqFUYL1UB3Ckh,144360,4,68,False
18,0.596,0.8540000000000001,7,-5.114,0,0.46299999999999997,0.0169,0.0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418,4,82,False
