,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.545,0.632,9,-6.937,0,0.0339,0.669,3.72e-05,0.141,0.33299999999999996,159.97899999999998,41EbQiljFxkBM66pqi3bYU,168281,4,64,False
1,0.395,0.174,6,-10.312999999999999,1,0.043,0.9159999999999999,0.00602,0.10400000000000001,0.221,73.773,5WfACgyEk4rwdWU3rrzNt1,173840,3,69,False
2,0.5760000000000001,0.7490000000000001,9,-3.612,0,0.0522,0.0124,1.12e-06,0.12,0.34299999999999997,173.96900000000002,3JwghlOgXpcxFHDEbfvaYL,191578,4,69,True
3,0.502,0.65,1,-4.27,1,0.0531,0.366,0.0,0.0956,0.392,159.78,3cMAS9DjZHrAnKvPrTIw7Z,153027,4,64,False
4,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.6920000000000001,0.715,113.96799999999999,7aGyRfJWtLqgJaZoG9lJhE,136839,4,85,False
5,0.598,0.295,1,-8.552999999999999,1,0.0276,0.735,0.0,0.107,0.314,87.025,00cBcYOlnHoXX9ver3cmdE,225680,4,70,False
6,0.679,0.516,0,-6.371,0,0.0452,0.19899999999999998,0.0,0.0965,0.716,120.074,7Bar1kLTmsRmH6FCKKMEyU,202008,4,82,True
7,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976,5cpJFiNwYyWwFLH0V6B3N8,214507,4,82,True
8,0.39899999999999997,0.49200000000000005,6,-10.777000000000001,0,0.0538,0.057999999999999996,0.00101,0.11,0.159,91.066,1fah1uAs7HeTYDlNftKr3K,210463,4,80,False
9,0.69,0.541,4,-9.259,1,0.042,0.721,4.6399999999999996e-05,0.11199999999999999,0.787,130.024,24MWSatP5sTylISvJONhnB,222717,4,75,False
10,0.495,0.381,11,-9.957,1,0.0337,0.805,3.06e-06,0.125,0.23399999999999999,81.262,7I1o2kV5OG6mrQk8Al51ja,145767,4,49,False
11,0.72,0.408,2,-11.725,1,0.0498,0.8320000000000001,2.61e-06,0.0992,0.341,121.97200000000001,55vsJO4tLZQ37qzD5QUOmh,227613,4,69,False
12,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043,58AGoOGbwsQMhBbH0eFLRR,210795,4,87,True
13,0.584,0.684,10,-4.314,0,0.5670000000000001,0.312,9.05e-05,0.11199999999999999,0.72,210.16400000000002,3NRql0A1Ef4RCvT473iqgD,213573,4,72,True
