,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.58,0.8320000000000001,0,-5.513,1,0.145,0.0127,0.00246,0.10800000000000001,0.7829999999999999,145.937,1ax95j7TLkNoP6UeQFlU22,515231,4,42,False
1,0.597,0.606,5,-8.711,1,0.0512,0.7979999999999999,0.00164,0.433,0.833,120.802,15E1HxTq8M05lJeFACHw7m,256189,4,47,False
2,0.748,0.634,2,-10.094,1,0.142,0.183,0.00021099999999999998,0.0433,0.838,169.946,7GO7XfiDsUysp4MMkdCiXo,342880,4,44,False
3,0.642,0.764,7,-6.7410000000000005,0,0.0457,0.1,0.32,0.0731,0.7040000000000001,104.885,48d8lgSahjvXsfPc3dVXCo,224041,4,42,False
4,0.594,0.461,1,-11.42,1,0.054000000000000006,0.0125,0.145,0.0372,0.424,77.88,5PaBbJtAzd7dl3RMk6ezer,339280,4,40,False
5,0.731,0.743,11,-11.783,0,0.0506,0.0696,0.0045,0.0796,0.97,88.04899999999999,35kDqdxX71QMxGN9TfN8Ze,210483,4,45,False
6,0.5720000000000001,0.6990000000000001,2,-5.581,1,0.13,0.192,0.0,0.152,0.8340000000000001,187.717,70UPa0pzNUMKcRcq8JZ0YZ,294236,4,39,False
7,0.684,0.882,8,-9.353,1,0.11800000000000001,0.152,0.0225,0.313,0.758,90.149,0E02hR1cBcwaGhZBKboKts,305760,4,42,False
8,0.494,0.8440000000000001,9,-9.465,1,0.06,0.00656,0.254,0.6629999999999999,0.787,191.111,22ZZIvttMc2JsRC2hVrXyF,239803,4,41,False
9,0.782,0.922,11,-4.0280000000000005,0,0.0497,0.00655,0.0118,0.0728,0.7609999999999999,104.016,2r5zwMQ5dKB04MqVfc0IeH,255228,4,47,False
10,0.753,0.8059999999999999,0,-6.916,1,0.0449,0.0166,0.0,0.129,0.67,105.98,4KeZ70RzWqbcplRkOfrku9,281605,4,42,False
11,0.745,0.84,0,-6.622999999999999,1,0.0692,0.0654,0.10400000000000001,0.0446,0.9,123.98299999999999,3xq9srnNN0LBvha15ZWpTU,224368,4,42,False
12,0.696,0.91,2,-5.221,1,0.171,0.11900000000000001,0.00835,0.213,0.607,114.56200000000001,3xDvyv5KF5Jvnycgutrgb9,229133,4,40,False
13,0.75,0.747,11,-6.024,1,0.0934,0.445,0.00021,0.0696,0.8190000000000001,123.913,2jnOjKvvOH7BZSAJmwdCr7,245560,4,38,False
14,0.784,0.892,7,-8.951,1,0.235,0.447,0.127,0.391,0.45,114.09299999999999,6nNHyyYKi90iRQbLuIdO8O,174227,4,38,False
15,0.7090000000000001,0.9129999999999999,1,-6.941,1,0.0485,0.114,0.436,0.0605,0.9159999999999999,106.723,5qenhYD4ynkEEHDDwqBiEG,176975,4,40,False
16,0.514,0.902,7,-6.5360000000000005,1,0.111,0.0513,0.000824,0.0744,0.6920000000000001,96.09100000000001,5eZlZq3LDJTaHPVb5j3tdC,238053,4,38,False
17,0.812,0.893,3,-6.042999999999999,0,0.0814,0.0309,0.196,0.0907,0.9390000000000001,119.995,4mvVLWbe50QZg4QJhzBztu,207071,4,37,False
18,0.695,0.937,6,-3.642,0,0.0733,0.00999,0.23399999999999999,0.136,0.884,104.721,3nPUw7RAT82QX2Yg1awMuM,199560,4,22,False
19,0.845,0.743,9,-7.445,0,0.0931,0.0799,0.00209,0.6940000000000001,0.956,112.493,21tzl7QqFs2UJwaGQpwtCk,170387,4,40,False
