,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.338,0.671,0,-4.386,1,0.0782,0.268,0.0,0.289,0.368,96.143,1x6L3DD4MHziI0CVywZgnw,197520,4
1,0.735,0.727,0,-2.837,0,0.0364,0.362,0.0,0.0997,0.612,111.928,4gGZc6MMYavM5KFS2zwOVL,209253,4
2,0.692,0.886,1,-2.519,1,0.0519,0.284,0.0,0.341,0.879,100.03,4jdiqVbH1eUwc4MzDV7GMu,211013,4
3,0.817,0.64,5,-2.927,0,0.0487,0.232,0.0,0.204,0.772,89.97,6ksOaijLwaSWTVRtPgakt0,195613,4
4,0.618,0.76,6,-4.312,1,0.0596,0.0066,0.0,0.127,0.541,150.0,6lM6yIDZ7kxFsgQCCfaLE2,221341,4
5,0.649,0.767,11,-3.838,0,0.0455,0.24,0.0,0.0929,0.608,149.918,6kKC35sKUh2FUx4M0qAL44,227173,4
6,0.689,0.678,5,-4.287,0,0.119,0.0702,0.0,0.0889,0.335,145.883,0yB4jrSwN0bFtFRDR5vyMj,200306,4
7,0.704,0.729,7,-3.851,1,0.0624,0.0024,0.0,0.218,0.71,129.992,7fK0csBoqbcgUuWGV0cpoD,203520,4
8,0.681,0.814,11,-2.83,0,0.0603,0.145,0.0,0.556,0.876,89.99,6xy9JYFKcpb9L62PRNnYW5,207053,4
9,0.693,0.866,6,-2.735,0,0.229,0.0421,2.38e-06,0.221,0.691,97.048,7zgAysZmfnHKhayf30Dx2U,174720,4
10,0.686,0.842,0,-4.423,1,0.1,0.237,0.0,0.0683,0.519,115.944,1iifBZFQbZlO1BbeaO3KGi,224483,4
11,0.798,0.867,11,-3.207,0,0.0386,0.0618,0.0,0.193,0.702,99.996,63obpKLYuY1q2QP7Cbf29a,189775,4
12,0.676,0.774,8,-3.988,1,0.0338,0.137,0.0,0.106,0.392,86.994,4KL3FJYexPrPuMdPagHPXp,235413,4
13,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,5EzitieoPnjyKHAq0gfRMa,190423,4
14,0.636,0.702,0,-5.352,0,0.0334,0.0223,0.0,0.293,0.516,135.104,2ujA6F1cpk3m8lsPE5aKua,176026,4
15,0.498,0.917,5,-1.797,0,0.164,0.0615,0.0,0.358,0.652,112.357,7MirWQBco3ZiuwvcdYaNSe,205612,5
16,0.625,0.83,0,-2.33,1,0.0764,0.00266,0.0,0.188,0.757,110.04,3F76FuWseLvGkcgatzTD9q,205129,4
17,0.657,0.943,7,-3.031,1,0.0856,0.0315,0.0,0.149,0.76,127.958,53YZi9zgTnF0Py0K6ejyWz,222406,4
18,0.438,0.851,1,-2.516,1,0.31,0.0427,9.85e-06,0.0626,0.766,192.026,4Jxc98fY5SQ6zyGg8Dnybw,174507,4
19,0.708,0.689,1,-5.428,1,0.0421,0.00678,0.0,0.441,0.563,93.94,6S4S55KPkSB2OEzVrBe3ez,186018,4
20,0.471,0.755,9,-1.215,1,0.0483,0.439,0.0,0.104,0.178,166.134,308Hr1dbj1mlLkggoWlxxB,206293,5
21,0.773,0.783,7,-2.707,1,0.0397,0.0739,0.0,0.219,0.649,149.997,1v63HdaLjF520P32frB392,200920,4
22,0.717,0.789,11,-2.57,1,0.052,0.471,1.49e-06,0.0931,0.791,92.989,7yfRLqROyibGRSW0t2vUSs,220507,4
23,0.679,0.442,7,-8.928,1,0.0637,0.723,0.0,0.231,0.628,129.671,2Ghu1DdMwxS3VAyB7i38Wo,221373,4
24,0.592,0.852,11,-2.005,1,0.0521,0.237,0.0,0.285,0.745,84.876,2pGiCkby7jZHeSTGM9aDKE,197307,4
25,0.629,0.963,0,-3.889,1,0.112,0.00515,0.0,0.262,0.528,90.015,0h6wNxwKqle9va4isnnBXn,270453,4
26,0.636,0.704,7,-3.875,1,0.0591,0.136,0.0,0.114,0.501,90.052,2u6gedEMPQhakkPBUPCLLz,226053,4
27,0.731,0.787,1,-3.95,1,0.055,0.169,0.0,0.0892,0.799,120.951,4vnzhkrgM7PH6RwTW3afZw,227486,4
28,0.674,0.589,6,-3.806,0,0.112,0.267,0.0,0.312,0.577,83.985,0WSTInLqMrT9po0LAHpZCJ,235509,4
29,0.572,0.8,7,-4.421,1,0.137,0.321,0.0,0.511,0.767,76.022,5vZU1sYp7e1osTKWIMtof5,197227,4
30,0.676,0.758,0,-4.106,1,0.037,0.611,0.0,0.085,0.552,93.979,6wwmbBoBaFxptJwuvF2QdM,206693,4
31,0.575,0.9,1,-3.723,1,0.0711,0.276,0.0,0.171,0.716,156.028,1vXsCZjGd1LW6EVwcPhMc7,214380,4
32,0.643,0.613,7,-2.522,1,0.0813,0.113,0.0,0.0795,0.573,103.132,1JTUPJr0rSf93hNlRR6S0g,208267,4
33,0.862,0.782,5,-3.811,0,0.125,0.301,0.0,0.143,0.847,135.029,3TfLZodlQ1TzNpdrc4KXR5,203867,4
