,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.63,0.31,9,-9.253,1,0.028,0.704,0.0011,0.128,0.0712,93.067,5EKqsMU2tn1iAYNQF8h0ll,270893,4
1,0.55,0.501,4,-8.527,1,0.0324,0.624,1.74e-06,0.0962,0.148,130.283,3dsZCq57TheazHh1GVAJwO,198373,4
2,0.762,0.472,3,-9.271,1,0.0345,0.725,0.00214,0.0737,0.338,96.201,4LSi50PwwZFOpkusSFu9Pd,204333,4
3,0.689,0.485,5,-10.157,1,0.0311,0.452,0.0512,0.432,0.567,116.004,4oRgpwXGPigjcEkp0mPgad,287623,4
4,0.544,0.406,4,-10.715,0,0.0346,0.655,0.00179,0.0858,0.236,89.499,6BzU6BMqMd4qelkWTjLwKy,237127,4
5,0.6,0.428,5,-9.108,1,0.0306,0.226,0.000774,0.277,0.355,164.065,04jZ4O2ssx1QamGRmYb4lD,217840,4
6,0.521,0.492,3,-9.127,1,0.0297,0.689,0.619,0.118,0.301,77.585,2tRxHjEkdgGMv9kZbOyqOH,235747,4
7,0.601,0.799,6,-7.069,0,0.0357,0.0861,0.0388,0.0898,0.688,160.987,53dyuOtRb9WMz5puNHodZN,240360,4
8,0.645,0.49,11,-8.668,1,0.0264,0.418,0.0,0.117,0.254,98.988,4WDtGj1M2HFlcjvYIiRFug,239587,4
9,0.595,0.456,7,-10.493,1,0.0256,0.325,0.0102,0.108,0.262,91.0,188k8ICwKJcbNEHowkxRKW,255467,1
10,0.622,0.191,10,-11.141,1,0.0299,0.947,0.00602,0.106,0.293,134.853,1oqnATF6AFH93dCBrDqBTP,233333,4
11,0.618,0.558,5,-8.184,1,0.0251,0.604,0.395,0.124,0.336,111.709,2ehQ2UuXplkqly0XBBAPud,309072,4
12,0.526,0.357,8,-9.876,1,0.0269,0.54,0.801,0.119,0.293,142.607,1dgCF73ruK4qTXrx0TZ0j7,219680,4
13,0.614,0.465,2,-10.248,1,0.0282,0.48,0.914,0.098,0.103,120.0,4ysVx7wS2J8dvk77ON8jVI,265160,4
14,0.393,0.399,2,-9.964,1,0.0291,0.778,0.0287,0.0877,0.175,126.314,4upefrum9ayh1aAgo52f4k,229000,4
15,0.641,0.533,7,-8.909,1,0.0287,0.279,6.06e-05,0.113,0.364,95.776,6FloUWDjW3r51mRYyw0vv5,162107,3
16,0.488,0.341,4,-8.582,1,0.0302,0.726,6.77e-05,0.263,0.142,120.93,5l4KZmLaiImt906CJxl5nv,303627,4
17,0.283,0.221,10,-15.344,1,0.0423,0.841,0.000595,0.0975,0.299,80.413,3AyxUc44BHxbV6niyl438i,298013,4
18,0.716,0.264,9,-16.3,1,0.0306,0.753,0.00637,0.0866,0.304,101.989,3i5wiazUHnMVXCdcuionkQ,162547,4
19,0.642,0.57,7,-12.557,1,0.0573,0.322,0.00856,0.0626,0.611,81.997,7e4ZgRoo2aul0CDlLfIl1F,193747,4
20,0.467,0.329,2,-11.429,1,0.0295,0.662,0.0445,0.096,0.362,108.777,3ftFR3uG7hCJJ7kQOlSAlg,206013,4
21,0.569,0.146,6,-12.568,1,0.046,0.905,0.00951,0.106,0.216,116.928,4MEhUxj35YRT7mqMaJgcWB,281180,3
22,0.373,0.681,2,-8.002,1,0.0385,0.137,0.633,0.145,0.249,168.533,0CKT4fraX6cV2T0HeGGIJm,289162,4
23,0.624,0.694,1,-8.084,1,0.0258,0.338,0.0283,0.109,0.912,141.968,3ASaECH1ebS3BKpizNHk35,206720,4
