,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.724,0.346,3,-11.256,0,0.0366,0.199,0.0,0.111,0.637,117.188,37j56IWzpplKE5zrlQRmxc,196707,4
1,0.639,0.543,8,-12.777,1,0.0303,0.492,1.29e-05,0.28,0.937,98.185,4CbUtLtAcgLJ7mAIeooJS8,180840,4
2,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,745H5CctFr12Mo7cqa1BMH,165000,4
3,0.678,0.535,1,-12.454,1,0.0329,0.14,2.17e-06,0.0596,0.795,107.041,79Yk6AlSKi5dxDFINID2hS,211667,4
4,0.706,0.727,11,-8.714,1,0.0456,0.114,7.7e-05,0.174,0.965,119.55,13v3siPyvy5TTEZYmGPPse,248133,4
5,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,1h2xVEoJORqrg71HocgqXd,245493,4
6,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,7tqhbajSfrz2F7E1Z75ASX,151667,4
7,0.686,0.714,0,-4.809,1,0.0287,0.204,0.0,0.0592,0.964,126.736,3aSWQJcWnnqgwYbAgidvlV,163680,4
8,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,3VgrSJEKBRT3xmwzpaxxEF,163053,4
9,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,69RH84na5iUNwrwxpgjC5j,153333,4
10,0.691,0.581,10,-7.85,1,0.065,0.557,4.62e-05,0.147,0.91,126.615,4591VqUIXysNlmI5NcAIUd,174440,4
11,0.781,0.837,2,-5.245,1,0.0325,0.711,6.69e-06,0.0565,0.961,120.586,5fNDP3NTdE69szQHUl4fFr,149400,4
12,0.593,0.642,5,-9.894,0,0.0304,0.186,0.0,0.129,0.919,133.281,0Hw6SCrtU9pFCjgAONpnGZ,174400,4
13,0.763,0.656,0,-6.86,1,0.0417,0.549,0.0,0.125,0.926,118.394,4CoGNqLap7UGU5Q3VdKug0,156173,4
14,0.586,0.825,7,-4.73,0,0.0285,0.729,0.0,0.381,0.677,98.17,0YJvN0CZyGDmP5YHwKrcQh,181653,4
15,0.563,0.262,9,-13.498,0,0.0333,0.516,0.0,0.194,0.0626,124.206,1b16zIZIdL2LIMfDiANwIk,248573,4
16,0.707,0.759,11,-12.328,0,0.046,0.0769,2.84e-05,0.0775,0.955,115.142,5yGTQzYbEdY6B9RFZJypgt,229107,4
17,0.617,0.622,3,-8.303,0,0.0284,0.0249,0.0,0.17,0.697,119.668,11npGmmHAsN9i11Vcnwtko,180067,4
18,0.612,0.444,0,-12.752,1,0.0293,0.531,0.0,0.126,0.503,114.961,52FlwUMMDnTK8TGkCag9Jd,172907,4
19,0.567,0.501,2,-8.038,1,0.0241,0.0995,0.0,0.0986,0.2,142.589,61sQYdFNS6sEBYCyr1q5gn,236773,3
20,0.39,0.0803,8,-20.518,1,0.0306,0.874,0.000639,0.127,0.184,150.503,4ztwMHfPZhPoruZdBbgriM,217427,3
21,0.593,0.607,1,-9.886,1,0.0283,0.147,0.0,0.128,0.953,128.365,4Dq749x2QP6OXTURJ9GGY8,181800,4
22,0.716,0.556,1,-13.917,1,0.0406,0.111,0.0076,0.0422,0.8,108.828,7gaQtc0vrSpmRJpSMDiPEk,383440,4
23,0.349,0.543,10,-10.577,1,0.0429,0.296,0.0,0.0665,0.875,202.426,35Agv76BTtZGXlXutlfuYj,158667,4
24,0.659,0.825,3,-7.559,1,0.0307,0.143,0.0,0.111,0.688,111.03,4Q8JGqOWzRy44qDlx5c74b,183373,4
25,0.439,0.338,10,-10.108,1,0.0252,0.484,0.00042,0.188,0.216,93.573,4GBPZmnLHEMdthyo2RDolF,265613,4
26,0.55,0.611,3,-10.657,1,0.0443,0.0392,0.0,0.0631,0.626,168.512,0jHkgTtTaqg5LNCiYDQPUB,290960,4
27,0.64,0.427,5,-9.29,0,0.0241,0.0664,0.0,0.0579,0.529,149.703,3l3xTXsUXeWlkPqzMs7mPD,351467,3
28,0.883,0.903,5,-5.129,0,0.066,0.0768,0.00869,0.021,0.878,107.965,3spmBjPY8HCNCR6Y0H7Ahd,244827,4
29,0.331,0.883,7,-7.103,0,0.277,0.587,0.16,0.261,0.304,138.197,1NYQcypyj0Useb8xyw3I4E,190427,4
30,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,5uES1C2NgkdrNHiCwf9jRr,158040,4
31,0.715,0.678,8,-11.842,1,0.0475,0.486,0.000192,0.15,0.947,94.769,6wDviYDtmSDZ0S6TVMM9Vc,177733,4
32,0.366,0.238,1,-13.853,1,0.038,0.646,1e-05,0.0876,0.131,68.377,7AslBsiVLQAGrmFmi79ZeK,200507,4
33,0.567,0.565,9,-14.022,0,0.0302,0.198,0.000218,0.379,0.664,104.208,7oX8MJu78ZCGAC8lADvIWf,178293,4
