,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.605,0.559,3,-8.173,0,0.281,0.116,0.000182,0.298,0.826,65.231,0S8RofTnTxIkL8nPwXfS38,145882,3
1,0.837,0.449,1,-7.019,1,0.0554,0.0301,5.37e-05,0.0604,0.825,124.021,6Qa0wHpaiaIzXgMptP3rxV,328000,4
2,0.755,0.645,3,-6.933,0,0.0944,0.625,5.79e-06,0.197,0.695,99.889,6iC4xfqow6iAsRhPh5IrWz,213600,4
3,0.824,0.636,9,-4.833,1,0.296,0.225,0.0,0.0768,0.702,97.974,1Hkzl9LeZIrKAUMTz6JEJO,199373,4
4,0.687,0.79,8,-7.122,1,0.194,0.119,2.57e-05,0.104,0.603,99.669,5GmvLu8Ok9KqBakA6jTEVK,199198,4
5,0.775,0.687,1,-6.174,1,0.0725,0.493,8.5e-05,0.0958,0.541,108.017,71EKIFqUvCAT1WK1g4tnBa,202222,4
6,0.84,0.501,1,-7.863,0,0.0566,0.671,0.0474,0.103,0.558,104.0,0pHuYN05YtNEzIhbtjcf0S,181154,4
7,0.802,0.831,5,-5.482,0,0.0545,0.191,0.098,0.0781,0.843,117.962,6buKvHjEDHhPgDvosjtsbv,183353,4
8,0.785,0.787,0,-4.881,1,0.0539,0.0963,1.5e-06,0.0491,0.741,100.011,5ZmKfdpnBSN6lzIMP1jgO6,196550,4
9,0.718,0.757,9,-5.065,1,0.0529,0.311,0.000512,0.0863,0.545,95.022,6av7Lr77ADCjl4icm4jTzj,222982,4
10,0.879,0.605,11,-10.628,0,0.0593,0.0269,0.147,0.0404,0.616,113.992,6AjQgBOdo0JhRL3jLEDr0T,320186,4
11,0.85,0.645,11,-6.302,0,0.0611,0.358,1.12e-05,0.09,0.93,104.022,6MzjLOHzkqoi7667ysz41k,156454,4
12,0.81,0.728,1,-8.109,0,0.0612,0.05,0.00159,0.0421,0.518,120.043,3RoQTkYqtetNvEOYkStDSg,245200,4
13,0.783,0.809,5,-5.689,0,0.0668,0.0813,0.00358,0.109,0.904,101.043,5EVEYkrTzqm3Q4ZVXXL02n,208758,4
14,0.705,0.388,11,-9.973,1,0.25,0.665,0.00353,0.146,0.26,66.177,48DoYs5rIX1PbsbCBYpYfB,138182,5
15,0.675,0.301,8,-18.573,1,0.0892,0.571,0.557,0.133,0.262,96.991,2Z9b3CPOb1JVArWgS5EfxX,162680,4
16,0.54,0.568,1,-9.788,0,0.147,0.641,7.83e-06,0.15,0.408,89.681,23bemRVqcUNl1ujD87upis,286379,4
17,0.84,0.687,11,-7.203,0,0.1,0.115,2.2e-06,0.115,0.678,113.038,62N0RkCCs4XQXk7hgnpOXo,238912,4
18,0.756,0.578,0,-6.357,0,0.201,0.578,0.000295,0.343,0.7,101.789,4Br1LAkqDAIwgEkkuXKZxJ,217653,4
19,0.807,0.703,1,-7.71,1,0.0514,0.036,0.0215,0.0491,0.617,113.992,0CLyxycXWr4PP7PgeGRn8u,304211,4
20,0.667,0.442,1,-7.069,0,0.291,0.148,0.0,0.102,0.526,107.092,5lAOltJO0aw2FUP5Use4cD,150000,4
21,0.751,0.701,6,-7.156,0,0.0711,0.458,0.00523,0.251,0.64,97.022,4IFDRbtOevI43UUGyFSMig,224761,4
22,0.847,0.692,10,-9.038,0,0.054,0.0314,0.00513,0.0486,0.612,113.003,1PdXD2tVLHG53PfczH117V,348532,4
23,0.735,0.696,0,-7.097,0,0.0574,0.0562,0.0292,0.0594,0.955,94.973,1Jrrjn30MNNzetRHTwGxvw,195789,4
24,0.825,0.543,4,-6.249,1,0.0385,0.581,0.00389,0.104,0.898,113.98,6UWxqzIvzwgLKl7ixXJvqu,206316,4
25,0.874,0.445,7,-8.323,1,0.0781,0.125,1.7e-06,0.0934,0.762,105.062,0vaeNaCWH1ZUCxFLX8jAMe,201161,4
26,0.77,0.697,4,-11.876,0,0.0401,0.0624,0.768,0.0404,0.219,117.006,1Eum24tziiY0sRBRx7hWBb,335185,4
27,0.817,0.82,0,-3.131,0,0.1,0.406,0.0,0.291,0.561,103.03,0uNZ77FulqBuacdDEysX6E,155687,4
28,0.809,0.526,0,-6.132,1,0.0915,0.393,0.489,0.104,0.484,105.001,1cH8NrwMXJxcCow3DkO2Sj,194286,4
29,0.813,0.64,2,-5.908,1,0.272,0.269,0.0,0.131,0.488,92.989,34FbkFgAbv4ffvhL2XQMVm,147076,4
30,0.728,0.711,1,-8.315,0,0.187,0.228,0.288,0.0923,0.712,104.849,2fu4D1jrlwF1go7S2Fr3qD,164571,4
31,0.87,0.68,5,-6.596,1,0.158,0.141,1.62e-05,0.0595,0.727,97.022,1Gxs62k5Y6TrP7AoJy2jr6,210033,4
32,0.525,0.567,0,-7.263,0,0.176,0.0877,0.0,0.0774,0.685,96.926,0xr7t6jQWzFsZ9XwfcxAu7,172500,4
33,0.816,0.751,7,-6.21,1,0.0493,0.0606,0.0,0.103,0.25,94.98,2fY21NO9Y9Z2pWCdMTeXkR,179462,4
34,0.826,0.687,2,-5.155,1,0.0759,0.147,0.00885,0.102,0.29,102.025,5gsvgZuxT41OWmH03SBT8J,202147,4
35,0.609,0.716,6,-5.357,0,0.298,0.17,0.0,0.0807,0.816,124.988,45ejw1uHplQnzGxcexalPp,213380,5
36,0.8,0.751,10,-3.604,0,0.0781,0.00969,0.000782,0.0381,0.646,93.999,6G7Jnkix0H7nBxqjqGbD50,186783,4
37,0.777,0.793,7,-6.183,0,0.148,0.539,7.57e-06,0.172,0.899,96.92,3WU4mcgDNDwvOh5yvvUkiR,197938,4
38,0.673,0.74,4,-4.945,0,0.0847,0.0258,0.0,0.127,0.723,90.026,3Rp8FNCr3yxM3fGFy99LN8,251846,4
39,0.652,0.868,2,-5.747,1,0.29,0.42,0.0,0.231,0.946,98.668,2jtl3MlTXDCHXaaVancROT,216059,4
40,0.698,0.785,4,-5.854,0,0.0514,0.249,6.15e-05,0.197,0.607,104.911,66ABSWrCRWaiCOIvXcvmkD,168185,4
41,0.769,0.784,2,-4.412,1,0.111,0.124,0.0,0.12,0.592,110.049,4vQyb6DCaEDj3oH32CYmRV,185495,4
42,0.798,0.817,9,-2.47,0,0.045,0.0392,0.0,0.12,0.966,101.973,6UlZYS2z0N9ydICNQTvCih,239657,4
43,0.717,0.716,10,-7.834,1,0.0743,0.0853,0.000229,0.33,0.35,101.484,4qmTY8yaMYQpZW1byhywWV,193362,4
44,0.794,0.742,5,-6.497,0,0.103,0.0352,0.00768,0.124,0.657,100.002,5VT7X8xKhWT75g2ZifzeWw,192888,4
45,0.607,0.679,11,-7.277,0,0.113,0.141,0.0,0.327,0.331,175.861,5OB9O4aHm8IlB1FOoQFRXm,231150,4
46,0.655,0.708,5,-6.403,0,0.141,0.568,0.00117,0.113,0.525,186.017,140dx97IbJbQhIMd7AaHeb,188093,4
47,0.749,0.602,5,-5.097,1,0.0798,0.0313,0.000543,0.0337,0.965,120.022,3yiIg93xEe1OGcaR0t9BUn,235875,4
48,0.711,0.752,7,-4.052,1,0.201,0.245,0.000153,0.0664,0.956,175.045,0P8FdjOB2OYAO6mmnoMJmE,149744,3
49,0.889,0.693,6,-5.767,0,0.127,0.371,0.0,0.0898,0.695,110.047,6ljm6GV2a6FiyG7Gt8Kged,222423,4
50,0.899,0.558,2,-12.303,0,0.0796,0.0533,0.00332,0.0218,0.401,113.011,6V06P7LboO5FaYi13nQANw,395044,4
51,0.796,0.7,7,-5.799,0,0.0368,0.74,0.00235,0.16,0.547,108.015,699TWY18PQcoXRO1NMh7Qf,251238,4
52,0.933,0.654,7,-8.383,0,0.206,0.123,0.000553,0.215,0.516,120.949,333OsSoG1vX5W8N8mY1YKI,179333,4
53,0.893,0.499,4,-8.338,0,0.0933,0.729,0.0323,0.106,0.785,105.016,4bjIb86XioJUc5wZeFtxaz,187867,4
54,0.633,0.477,5,-9.676,1,0.105,0.427,0.0,0.11,0.384,94.748,4TmZxPK1BbFQtPR2zmbhQN,173053,4
55,0.726,0.773,9,-7.917,0,0.0973,0.668,8.82e-05,0.347,0.506,105.0,5GtTYls4ZtG25Pgtu8Dqhs,175344,4
56,0.936,0.874,7,-3.572,1,0.0755,0.182,0.0,0.406,0.954,126.013,2wXDjxwRYOUihUIBMMrcCH,176176,4
57,0.761,0.633,0,-6.319,1,0.0409,0.391,0.00162,0.101,0.712,100.005,0Tfeagn4SfS9qWtxOJEcVC,165014,4
58,0.846,0.547,1,-13.986,1,0.0499,0.0442,0.0589,0.0654,0.599,112.999,5Id1TX4vQxyUc6dapFxMnM,356814,4
59,0.63,0.393,1,-10.762,1,0.183,0.88,0.0,0.0894,0.166,145.051,2E7X83kz4UKeqOTTQyibHl,207076,4
60,0.778,0.717,6,-3.151,0,0.128,0.224,0.0,0.119,0.458,100.043,63MDlT75I1QKngHOVjvuTk,200400,4
61,0.718,0.424,8,-6.157,0,0.301,0.582,0.000271,0.0887,0.42,144.286,0qTbh1DLzauftSDhU9dZ3K,159339,5
62,0.784,0.733,4,-6.136,0,0.0992,0.127,0.000391,0.026,0.717,100.012,53LQQoBP6sBVFvNr3q3Fa0,235560,4
63,0.91,0.741,1,-6.177,0,0.0797,0.114,3.92e-05,0.133,0.648,125.056,5f4H93KNNXqNISpqhuJ2rU,193985,4
64,0.902,0.854,4,-2.913,0,0.109,0.0969,5.93e-06,0.108,0.651,119.977,6hyUD5mV4CDleuUnj0NnA1,219495,4
65,0.781,0.656,3,-4.105,1,0.106,0.552,5.18e-05,0.131,0.595,96.083,2rcH25kgOyS0cQbtiMkhQw,172000,4
66,0.865,0.801,6,-4.665,0,0.0887,0.128,0.0,0.114,0.803,109.978,7HM3WyOHG3Nm6Ck5aZaFKF,192000,4
67,0.612,0.657,6,-3.523,0,0.0758,0.163,0.00625,0.107,0.586,112.598,3ahc1QLluqgXqUcACXlbi6,204539,4
68,0.507,0.718,1,-10.425,1,0.502,0.246,0.0,0.124,0.563,100.628,4J4VxQ76A5oFvf925pxEk6,186699,4
69,0.705,0.388,11,-9.973,1,0.25,0.665,0.00353,0.146,0.26,66.177,48DoYs5rIX1PbsbCBYpYfB,138182,5
70,0.807,0.703,1,-7.71,1,0.0514,0.036,0.0215,0.0491,0.617,113.992,0CLyxycXWr4PP7PgeGRn8u,304211,4
71,0.784,0.552,6,-4.44,0,0.143,0.678,0.00113,0.112,0.54,112.923,51trdVTGB18HFEsb8dEzq1,213267,4
72,0.84,0.687,11,-7.203,0,0.1,0.115,2.2e-06,0.115,0.678,113.038,62N0RkCCs4XQXk7hgnpOXo,238912,4
73,0.443,0.455,6,-7.937,1,0.278,0.808,2.46e-05,0.144,0.281,173.947,7GtYYg2ob01Totjz7WId7l,196560,4
74,0.675,0.301,8,-18.573,1,0.0892,0.571,0.557,0.133,0.262,96.991,2Z9b3CPOb1JVArWgS5EfxX,162680,4
75,0.757,0.277,0,-12.092,0,0.175,0.715,0.782,0.278,0.513,136.998,3My54GSTKCJoefauinqmXH,128963,4
76,0.692,0.532,4,-9.191,0,0.0927,0.668,6.08e-05,0.283,0.21,91.962,59k5WgK3redt7IUUUmd0zf,150197,4
77,0.758,0.373,5,-9.751,0,0.0499,0.522,7.39e-06,0.122,0.618,105.023,76Updb7OaDsoOHuqFbsuYr,182857,4
78,0.718,0.424,8,-6.157,0,0.301,0.582,0.000271,0.0887,0.42,144.286,0qTbh1DLzauftSDhU9dZ3K,159339,5
79,0.718,0.757,9,-5.065,1,0.0529,0.311,0.000512,0.0863,0.545,95.022,6av7Lr77ADCjl4icm4jTzj,222982,4
80,0.845,0.394,10,-14.365,0,0.055,0.00591,0.312,0.054,0.447,113.015,0RGIMyJvFeh34OKUATp6DN,444475,4
81,0.878,0.593,11,-9.137,0,0.165,0.3,0.0,0.196,0.74,127.994,49jTWhlsh6YVQb5HEMiZhR,226639,4
82,0.469,0.537,11,-6.209,0,0.0655,0.326,0.00793,0.21,0.222,143.666,35e5oM38kuGzzwdYQGRAwL,236920,4
83,0.796,0.731,4,-3.842,0,0.112,0.332,0.0307,0.0796,0.645,98.991,2lx328vRkl4Q0ZC8iOGAmw,160000,4
84,0.536,0.51,0,-8.809,0,0.152,0.716,1.2e-05,0.0964,0.262,159.965,42KrZrk0IG0zFPzVkRNqh0,172000,4
85,0.364,0.287,4,-14.552,1,0.0526,0.492,0.0,0.143,0.202,131.978,18jP78zQs986UqunTHPOjh,196441,4
86,0.879,0.599,10,-11.557,0,0.104,0.153,0.00877,0.0617,0.496,113.004,0p2iOdJ3yfFpEoH777QMwa,399292,4
87,0.736,0.585,10,-7.3,0,0.465,0.199,0.0141,0.128,0.134,196.081,4B2mKAaf36i66x4oaNW9LE,159896,4
88,0.954,0.77,6,-5.402,1,0.184,0.0521,0.000288,0.09,0.862,136.948,6FPnMz1wTj0BswDJ1zThv4,148924,4
89,0.884,0.723,10,-6.419,0,0.0526,0.0495,0.0415,0.0547,0.244,111.993,1lKqP0GH6cZ6zMtmUTJWs5,414825,4
