,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.888,0.868,0,-5.499,0,0.0784,0.445,0.0,0.0868,0.874,110.091,2sFUt05Px48xF7upMN4dGO,187091,4
1,0.798,0.742,5,-5.588,0,0.0467,0.0256,3.68e-05,0.0749,0.934,139.996,4ZU4yHDLZcMcy8BF6Y89fu,198857,4
2,0.804,0.572,11,-6.944,0,0.0471,0.062,0.000213,0.123,0.639,95.003,61ym3imFxyXoTOoZz4loqA,173380,4
3,0.591,0.681,6,-6.515,0,0.156,0.512,1.63e-05,0.199,0.853,80.575,4OxGLH7f7DZzkUGXFSMd8y,187925,3
4,0.785,0.689,6,-6.116,1,0.328,0.133,0.0,0.0525,0.653,106.002,2cW6QgE02d6UUGXDsuOQk9,177607,4
5,0.744,0.888,1,-4.88,0,0.0552,0.0904,0.0,0.324,0.611,104.996,4IMYgmXkjzzOmbDNbQZnVe,212571,4
6,0.717,0.56,1,-9.076,1,0.0343,0.441,1.92e-05,0.0939,0.588,104.044,64HC3afpYKfxi58vHDbBTQ,183391,4
7,0.968,0.591,10,-6.046,0,0.0486,0.147,0.0,0.0556,0.847,110.007,1IxQNacPrIEyWapyS7DYKB,394968,4
8,0.836,0.581,3,-8.961,0,0.0696,0.106,1.17e-06,0.101,0.639,110.999,2nf1owFJaeOw5YubEW52ga,182986,4
9,0.786,0.686,5,-6.029,0,0.0406,0.128,0.0,0.16,0.971,120.036,3y1tMUZAy2v5LMyKo7Ko8J,204500,4
10,0.703,0.733,2,-5.577,1,0.0483,0.225,0.0,0.25,0.155,85.011,3LXkSHGB7NKRTsofOZPLF4,209265,4
11,0.77,0.694,8,-7.875,0,0.0774,0.204,0.0,0.0914,0.498,92.979,4jjQIXVANytMf4SSaZmv2r,192259,4
12,0.703,0.832,4,-6.431,0,0.0386,0.343,0.0,0.128,0.947,140.004,3W8WJ05DrwkusqdFyrtFw5,226827,4
13,0.688,0.804,2,-5.88,0,0.0356,0.314,0.000293,0.146,0.589,105.008,4qnmWklH3MwTy41kDCbex9,224067,4
14,0.736,0.781,8,-6.85,1,0.0428,0.301,1.44e-06,0.19,0.525,104.988,2A17I9810aeJa9BHIvHYxp,240000,4
