,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,1yTTMcUhL7rtz08Dsgb7Qb,197299,4
1,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,7ce20yLkzuXXLUhzIDoZih,215107,4
2,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,0d2iYfpKoM0QCKvcLCkBao,173800,4
3,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,215280,4
4,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,70eFcWOvlMObDhURTqT4Fv,197867,4
5,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,6Qs4SXO9dwPj5GKvVOv8Ki,171030,4
6,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,2P91MQbaiQOfbiz9VqhqKQ,197437,4
7,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,3LlAyCYU26dvFZBDUIMb7a,175200,4
8,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,3KkXRkHbMCARz0aVfEt68P,158040,4
9,0.722,0.417,8,-6.825,1,0.0618,0.39,0.0,0.0612,0.451,113.965,6AeQlMyRzvSl1nkFztZyKl,176347,4
10,0.655,0.74,2,-4.081,1,0.274,0.14,0.0,0.106,0.543,182.105,0EGuSSpuu9wmHCtvb4PdLO,202221,4
11,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.962,100.051,2sGF7DBXvL2GjkbG606m1G,176283,4
12,0.602,0.377,11,-6.213,1,0.0446,0.731,0.0,0.0808,0.518,73.877,3H3r2nKWa3Yk5gt8xgmsEt,194853,4
13,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,4BHzQ9C00ceJxfG16AlNWb,223080,4
14,0.795,0.18,0,-12.293,1,0.0608,0.59,0.0,0.621,0.611,94.02,1pV9TLnQdOHbvourRO7x4m,181613,4
15,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,5p7ujcrUXASCNwRaWNHR1C,201661,4
16,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161,4
17,0.957,0.365,8,-7.632,1,0.0512,0.207,0.0,0.132,0.355,107.967,0x0yttxnfoqFUYL1UB3Ckh,144360,4
18,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418,4
19,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,12GEpg2XOPyqk03JZEZnJs,220781,4
20,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,6uBhi9gBXWjanegOb2Phh0,210091,4
21,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,55n9yjI6qqXh5F2mYvUc2y,247160,4
22,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160,4
23,0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,3bH4HzoZZFq8UpZmI2AMgV,216015,4
24,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,2dpaYNEQHiRxtZbfNsse99,214290,4
25,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000,4
26,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1,3g0mEQx3NTanacLseoP0Gw,209880,4
27,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,3vv9phIu6Y1vX3jcqaGz5Z,226739,4
28,0.735,0.423,0,-6.652,1,0.0459,0.011,0.0,0.0553,0.851,85.899,27vTihlWXiz9f9lJM3XGVU,188174,4
29,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,6TqXcAFInzjp0bODyvrWEq,197573,4
30,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,2iuZJX9X9P0GKaE93xcPjk,235493,4
31,0.475,0.37,4,-7.725,0,0.0361,0.819,0.0577,0.0841,0.157,144.828,2uIX8YMNjGMD7441kqyyNU,200560,4
32,0.623,0.656,0,-5.608,0,0.0416,0.0561,0.0,0.0855,0.366,95.878,0DNk7lEqDGCN6nDD0H8emF,220291,4
33,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253,4
34,0.711,0.738,10,-6.908,1,0.356,0.264,0.0,0.136,0.381,105.049,0TFpGNlWslRQO4oyTtJq6K,200840,4
35,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,5Gu0PDLN4YJeW75PpBSg9p,174800,4
