,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,1TrGdXSgiBm8W68D2K1COG,149560,4
1,0.894,0.507,7,-6.945,1,0.0564,0.221,0.0661,0.0642,0.916,114.216,4WBmkMJyWubRXRLYk8t9SI,149387,4
2,0.381,0.281,2,-12.363,0,0.036,0.75,0.0,0.222,0.298,120.485,4qrUQuQ2Nt9jgZW99rBcbo,191987,4
3,0.717,0.111,11,-13.805,1,0.0873,0.931,0.000163,0.107,0.15,82.181,1QCUrXrY1qlxRhL3a9LYCA,154667,4
4,0.69,0.494,9,-9.147,0,0.0275,0.407,3.79e-06,0.114,0.84,127.314,5fuON606j1hkPGJhFMwerY,205053,4
5,0.653,0.0442,10,-12.269,0,0.0371,0.993,0.0,0.131,0.346,71.434,17THAwZLC5xgi25y3S3sHQ,190027,5
6,0.514,0.613,9,-9.51,0,0.0838,0.0051,0.00134,0.0945,0.545,143.165,1mpkTTUxWTB3FlO2OlRIB4,199120,4
7,0.221,0.59,2,-12.299,0,0.0916,0.515,0.0636,0.0934,0.713,179.267,341o4T7XtSZUKeQvIw2wms,194467,4
8,0.575,0.188,11,-16.499,0,0.0586,0.875,0.00205,0.166,0.322,130.63,65CVlqtXiLtCSdFRHC10mU,208439,4
9,0.591,0.864,4,-4.706,0,0.0399,0.0446,0.00571,0.279,0.728,131.006,4VIDVd87GQcBSbofvDp8Pj,164440,4
10,0.473,0.461,9,-10.643,0,0.026,0.381,1.44e-06,0.118,0.408,102.116,5cNvmC1jEnA6QwnOvHpUo7,218520,4
11,0.476,0.0708,9,-16.237,1,0.0541,0.995,0.00912,0.147,0.495,145.089,4fuyL4tMPJxY0SkbnLXB2g,194351,3
12,0.515,0.325,9,-13.498,0,0.0305,0.763,0.912,0.122,0.553,68.804,4W5I9ht9ZzD2uvCTMIuhVG,161480,4
13,0.533,0.162,5,-15.774,1,0.055,0.994,0.671,0.12,0.764,182.717,2QmkRlu6Td0kBAjvByuH0G,181551,4
14,0.425,0.203,9,-15.87,1,0.0407,0.673,0.849,0.317,0.457,179.267,7IHTgTJz3hm6qeexXDi1Eb,330533,3
15,0.545,0.271,0,-17.69,1,0.0667,0.767,6e-06,0.0728,0.679,113.963,7lpsRa4kcNoxSHUDNDXpnn,261093,4
16,0.43,0.384,9,-9.18,1,0.0321,0.901,0.0481,0.1,0.304,174.183,0oInlz2qTVyXpfdAkJDluQ,177733,3
17,0.598,0.829,11,-8.512,1,0.0792,0.157,6.78e-06,0.138,0.777,147.996,49HpLbZHUWi24SeTZKRksQ,150400,4
18,0.632,0.765,7,-4.577,1,0.0331,0.315,0.000246,0.244,0.95,99.617,1e6qkPMUiaWZfVk7WdRByQ,178907,4
19,0.622,0.284,9,-13.661,0,0.0668,0.489,0.0744,0.0853,0.671,93.715,7KEpEndrZXOrFfGdCbuTCL,220240,4
20,0.597,0.715,7,-13.671,1,0.0482,0.446,0.454,0.424,0.772,106.983,2Ug7RPzySjonBoV0FEzefC,176320,4
21,0.586,0.0976,4,-17.64,1,0.0611,0.989,0.0472,0.266,0.841,146.461,2LSQbjttPH8GfMqm6IniQ7,182047,3
22,0.582,0.254,1,-11.638,1,0.0639,0.911,0.0208,0.0728,0.551,66.035,72gZGrgN3z5UsRoERYwTtc,156933,4
23,0.599,0.0757,6,-12.798,1,0.0478,0.987,0.00555,0.105,0.641,199.428,3YOvmznZ4YSokmTyBlVMJm,170080,3
24,0.738,0.269,2,-14.266,1,0.0633,0.781,0.071,0.0877,0.679,95.759,3HzSqraFqZ8aeoL97E52c2,133267,4
25,0.593,0.165,10,-13.663,1,0.0488,0.992,0.0374,0.132,0.455,81.463,5uceLRCLWBankhVPz6AGL1,186960,4
26,0.731,0.0851,8,-14.7,1,0.0759,0.986,9.63e-05,0.0825,0.641,111.997,4Drdz82DtFXhLpOvm2UvAU,192467,3
27,0.583,0.469,5,-6.077,1,0.0305,0.746,0.00322,0.11,0.357,86.472,2aJg7C5YdTCOb5Oj0rKN0N,206640,4
28,0.441,0.9,8,-4.03,1,0.095,0.0109,0.462,0.253,0.465,119.141,2r6JhvSzpVZ2UaHPMptWRO,310729,3
29,0.665,0.313,4,-15.188,0,0.0526,0.917,0.0118,0.359,0.531,138.415,4pEZg4zQFcJ1jdboMYTYf9,172493,4
30,0.353,0.495,8,-11.503,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,4vK3FnnHxfXjuEbDMFNBIz,360600,4
31,0.732,0.349,7,-9.386,0,0.0362,0.718,0.245,0.125,0.77,107.014,3iwZOA51h58QHa3KLyAKyu,207307,4
