,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.545,0.632,9,-6.937,0,0.0339,0.669,3.72e-05,0.141,0.333,159.979,41EbQiljFxkBM66pqi3bYU,168281,4
1,0.395,0.174,6,-10.313,1,0.043,0.916,0.00602,0.104,0.221,73.773,5WfACgyEk4rwdWU3rrzNt1,173840,3
2,0.576,0.749,9,-3.612,0,0.0522,0.0124,1.12e-06,0.12,0.343,173.969,3JwghlOgXpcxFHDEbfvaYL,191578,4
3,0.502,0.65,1,-4.27,1,0.0531,0.366,0.0,0.0956,0.392,159.78,3cMAS9DjZHrAnKvPrTIw7Z,153027,4
4,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968,7aGyRfJWtLqgJaZoG9lJhE,136839,4
5,0.598,0.295,1,-8.553,1,0.0276,0.735,0.0,0.107,0.314,87.025,00cBcYOlnHoXX9ver3cmdE,225680,4
6,0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,7Bar1kLTmsRmH6FCKKMEyU,202008,4
7,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976,5cpJFiNwYyWwFLH0V6B3N8,214507,4
8,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,1fah1uAs7HeTYDlNftKr3K,210463,4
9,0.69,0.541,4,-9.259,1,0.042,0.721,4.64e-05,0.112,0.787,130.024,24MWSatP5sTylISvJONhnB,222717,4
10,0.495,0.381,11,-9.957,1,0.0337,0.805,3.06e-06,0.125,0.234,81.262,7I1o2kV5OG6mrQk8Al51ja,145767,4
11,0.72,0.408,2,-11.725,1,0.0498,0.832,2.61e-06,0.0992,0.341,121.972,55vsJO4tLZQ37qzD5QUOmh,227613,4
12,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043,58AGoOGbwsQMhBbH0eFLRR,210795,4
13,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,3NRql0A1Ef4RCvT473iqgD,213573,4
14,0.521,0.493,0,-10.264,0,0.0302,0.814,0.0207,0.107,0.495,171.952,1ztB2LwqXxn0IH2jMrKvDw,154230,4
15,0.666,0.628,8,-5.613,1,0.0623,0.144,0.0,0.189,0.767,82.992,0CF1RH8dQKuK2lQPSQw2lZ,186468,4
16,0.322,0.127,7,-14.197,1,0.0352,0.894,5.99e-05,0.143,0.119,144.2,5OtvDpNhxUde1hkAjvzSzE,265652,4
17,0.705,0.707,0,-5.174,1,0.0534,0.0799,0.0,0.149,0.452,117.974,7LjEQ8GsQiUNVakV6TZI0e,207734,4
18,0.715,0.658,11,-4.304,0,0.106,0.162,0.0,0.0742,0.795,158.024,44l9nnCVvOQBbWG6tDViKl,172399,4
19,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,6CDzDgIUqeDY5g8ujExx2f,238805,4
20,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,198040,3
21,0.672,0.618,11,-9.734,0,0.116,0.0554,4.86e-05,0.336,0.501,104.921,6cWpktAau07CQ29s39inYU,168893,4
22,0.399,0.459,7,-6.359,0,0.0938,0.813,0.0,0.11,0.375,82.528,3X3TlieuOl8aWzw2HeigUo,235785,4
23,0.824,0.783,1,-4.53,0,0.0507,0.22,0.0,0.234,0.788,114.028,3xvYvJAa0iUVKKsYcuDNlK,160825,4
24,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,6N22FZs2ZhPBYi3b9XPajV,153294,1
25,0.577,0.393,0,-7.322,1,0.038,0.586,0.000181,0.0927,0.132,89.858,3i4CFXy3ezQZEt8V0GA7Uh,177162,4
26,0.778,0.667,11,-6.703,0,0.0592,0.0104,7.99e-05,0.123,0.542,94.99,1NTXoDZirbEPUjn89y1nct,213787,4
27,0.698,0.367,2,-5.811,1,0.0329,0.649,0.0,0.119,0.246,104.853,6TbkMxKZudkP6Sty7rkLU9,204309,3
28,0.34,0.398,6,-8.156,0,0.0711,0.781,6.08e-05,0.193,0.197,171.391,6pQUQdaZacg722q6sg6fPR,251527,3
29,0.571,0.747,7,-4.659,1,0.17,0.478,0.0,0.116,0.635,106.253,24SDeYAeTFda8OUzVI1VR6,259651,4
30,0.718,0.483,8,-6.596,1,0.0381,0.387,0.000208,0.124,0.29,103.997,04NMWz4ctkuILV6mUR2iWp,209132,4
31,0.528,0.749,7,-7.571,1,0.0479,0.00488,9.6e-05,0.0949,0.729,163.944,6Ed1q0X8oSKSm4IIhiQbYg,163906,4
32,0.632,0.578,9,-7.657,0,0.0905,0.714,0.0,0.42,0.297,139.324,6s86N7LVaJZuU4alwKp6XO,157556,4
33,0.694,0.685,6,-6.535,0,0.133,0.224,0.0,0.124,0.306,158.831,6wQlQrTY5mVS8EGaFZVwVF,196180,4
34,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,5rZlwNFl01HqLWBQGryKSm,213333,4
35,0.75,0.418,11,-10.412,1,0.244,0.149,1.72e-06,0.0857,0.442,104.981,2UWnZrXLXIyfMgNvJr2KUa,225631,4
36,0.712,0.394,7,-8.313,1,0.0347,0.737,9.14e-05,0.108,0.298,97.876,7aKCwhBjb8zuTEBGzf48Qm,162323,4
37,0.691,0.474,10,-8.742,0,0.0583,0.569,0.000626,0.099,0.381,143.783,2KoHxhRyWxJzA0VafWd5Nk,179917,4
38,0.558,0.647,1,-4.495,0,0.0584,0.314,0.0,0.107,0.496,130.016,34doO7AMIw782WUAprziug,177799,4
39,0.721,0.277,1,-7.128,1,0.0365,0.634,0.0,0.112,0.309,131.935,5ovVcYo2MvjVydFwFyaaqy,171827,4
40,0.783,0.336,7,-14.397,0,0.0824,0.169,1.11e-05,0.0923,0.391,109.997,5xsBxt4LT9mT0lJncUFpO1,218182,4
