,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.337,0.0111,0,-27.273,1,0.0456,0.991,0.958,0.0886,0.148,75.69,0WzetzBykY3fl41dEJjoYa,159208,5
1,0.288,0.00228,1,-42.807,0,0.0405,0.995,0.898,0.172,0.156,70.372,5DkgNo6c0NuqGJNpX00ERt,362573,3
2,0.353,0.321,0,-12.743,1,0.0313,0.911,0.83,0.0947,0.169,125.197,7pJ4qUAXYKIObqrHpN09Ds,163240,4
3,0.258,0.0104,7,-30.527,0,0.0489,0.972,0.000789,0.0794,0.143,101.749,62iLUPubD3GYTIrhFU9rA3,268081,5
4,0.121,0.108,1,-23.695,0,0.0385,0.945,0.85,0.15,0.0377,95.566,6BvpZqi9PykohWoLgaiRgO,420813,3
5,0.194,0.00426,5,-41.057,0,0.0518,0.996,0.894,0.0735,0.18,66.813,5RDTMKXIXn3qP0V2G5zeCM,195587,4
6,0.168,0.0358,9,-24.464,0,0.0385,0.987,0.864,0.0659,0.0354,81.364,3jXJf5F4cfjL1guH8N8llR,184573,3
7,0.275,0.0206,7,-26.87,1,0.048,0.942,0.0216,0.177,0.127,139.936,40zRHKsU354kleaoIDuGKl,365373,4
8,0.163,0.032,8,-27.023,1,0.0416,0.985,0.868,0.0977,0.0357,85.098,0coTcvPLKvEyQZIGgKRrTv,173840,3
9,0.287,0.128,1,-19.904,0,0.0417,0.987,0.922,0.0792,0.0488,110.408,5sUDeUImXRMC8OfjGMWerP,179000,5
10,0.446,0.333,2,-20.505,1,0.0347,0.778,0.886,0.117,0.755,93.447,4yjwUIpkWF768XbNhGF1Qf,181067,1
11,0.124,0.0059,2,-28.59,0,0.0488,0.982,0.8,0.113,0.057,88.252,20rN1cRdk9ckFv6Pl9hDai,274147,3
12,0.29,0.00339,0,-34.465,1,0.0549,0.993,0.918,0.065,0.112,64.651,04xhNAarJHE4erm4ap5Qc1,576920,4
13,0.19,0.136,9,-22.998,0,0.0533,0.904,0.338,0.0528,0.116,167.16,5C3QTgtmK6TH3234EWnggC,236787,3
14,0.324,0.00296,5,-39.259,1,0.0458,0.994,0.887,0.103,0.163,63.438,3b1D6LiqOTcSWPigzpn7pp,239973,3
15,0.362,0.394,0,-12.429,1,0.0368,0.691,0.942,0.162,0.134,77.518,785YSkv9buDhkUkT0UOWnX,180453,4
16,0.388,0.159,2,-20.32,1,0.0422,0.932,0.138,0.125,0.309,118.801,72fjdIjTML5ImgCbxLbbHj,549933,4
17,0.17,0.0198,4,-27.279,0,0.0511,0.993,0.92,0.111,0.142,71.278,6wc7NLuN9nQLt0Gqkt8Pkm,296347,1
18,0.352,0.141,5,-21.121,1,0.0442,0.979,0.93,0.108,0.164,113.82,5CWDl8SkcefpYLlgbOGXJC,283093,4
19,0.169,0.053,0,-24.614,1,0.0489,0.896,0.959,0.0978,0.0356,127.126,0fXxpCf9V9piqzD22uy92l,400113,4
20,0.508,0.381,10,-19.456,1,0.0736,0.984,0.918,0.075,0.0452,171.005,4n2AzIlkvcxKquOjmmp5Mt,363548,4
21,0.326,0.00995,7,-28.139,1,0.0548,0.995,0.926,0.0948,0.155,170.616,2Rs9Ar390vFai0SW7FbHWs,198973,4
22,0.391,0.27,0,-14.159,1,0.0386,0.935,0.877,0.112,0.218,130.79,0iFvvaGc8SqyFuODJ1mUYI,354963,4
23,0.25,0.034,9,-15.388,1,0.037,0.992,0.0773,0.0635,0.264,133.646,5Ru0RG2qeXD8aNMrFk1wuZ,268936,3
24,0.434,0.00952,5,-35.775,1,0.0653,0.996,0.881,0.0718,0.26,70.385,6CQke4ZaUIHGhWbxFXubVO,162347,4
25,0.251,0.428,7,-14.128,1,0.0713,0.794,0.945,0.0819,0.0949,115.966,39oAvf6GVN2VMGmyE6v5sX,297000,3
26,0.349,0.402,10,-15.767,0,0.0378,0.994,0.958,0.219,0.26,147.048,0id6UGfUY8J4CFXi8JrPZt,200067,3
27,0.0996,0.307,2,-8.82,1,0.0368,0.97,0.665,0.109,0.0856,86.114,2bVboTJFu0UbOe22DOKsAl,232120,1
28,0.418,0.154,0,-20.872,1,0.0322,0.977,0.903,0.0703,0.343,142.342,1jTkIjeBxOJ6CDjXxusMIB,268533,3
29,0.256,0.0481,0,-18.926,1,0.0436,0.957,1.19e-05,0.113,0.0568,75.818,2kjza400RAv6sY2enn111o,154624,3
30,0.158,0.0123,5,-32.65,1,0.0492,0.979,0.0166,0.0862,0.0392,53.146,1oyVhiTHPHbQWi96wmpUV7,405818,4
31,0.278,0.0172,7,-38.658,1,0.0446,0.984,0.84,0.0872,0.254,173.655,6WZ0FZFfh0kwNYOwaxlAr7,182633,4
32,0.265,0.0184,8,-25.634,1,0.0474,0.993,0.907,0.0883,0.0382,66.101,3aMKbgLBY9yrPr8CXm7ZyO,609747,4
33,0.552,0.167,0,-14.991,0,0.0764,0.994,2.49e-05,0.164,0.594,100.711,6fXsFFjYHwrxUzoIPiJ9h1,72613,4
34,0.423,0.162,2,-20.991,0,0.0341,0.984,0.924,0.138,0.358,142.784,2Ue6ChFffLYcdUAiYCYnQM,170021,3
35,0.0749,0.173,8,-18.872,1,0.0461,0.957,0.967,0.107,0.0373,175.65,00Jh6031MKpE5nunLJzvyM,175171,5
36,0.228,0.137,10,-14.828,1,0.0377,0.986,0.705,0.0754,0.0901,70.972,7q4OenhXXFvKk7BZxEKjcn,425905,4
37,0.274,0.214,0,-20.405,1,0.0307,0.895,0.954,0.109,0.0394,68.066,5dIJDKYS4Ng1fpfCMkBIwC,324706,4
38,0.328,0.161,7,-18.86,0,0.0589,0.0761,0.193,0.514,0.363,85.313,7Hz6cPc4Hgqki3vgvTdayV,244053,4
39,0.402,0.00517,1,-30.939,1,0.0551,0.995,0.893,0.0641,0.0656,65.18,0Kubohno5e03J30wNFg4B2,224333,4
40,0.233,0.0558,4,-24.243,0,0.0339,0.973,0.906,0.124,0.039,100.67,5A1LZwuTc6Qg9yWQ2oLT3k,633707,3
41,0.614,0.365,11,-12.265,1,0.0276,0.822,0.928,0.0917,0.258,129.944,2bXSCZzv8xrkMyomwGbwZF,213840,4
42,0.447,0.32,2,-10.814,0,0.0357,0.942,0.0213,0.0923,0.263,113.294,6cZLnWymq7oLU8lcEbioqr,247253,4
43,0.536,0.144,4,-14.004,0,0.0299,0.949,0.853,0.0762,0.0781,72.287,7aHlATC2qVLjnwjSMunpvP,167707,4
44,0.341,0.0364,2,-25.252,1,0.0334,0.989,0.868,0.109,0.0554,131.846,1tbGIA2zZoiFZt6r6cWotP,266000,4
45,0.156,0.131,4,-21.171,0,0.0377,0.984,0.954,0.103,0.0707,135.366,1Ih9Tk4hZCJqksW5vAFVH6,163096,3
46,0.0864,0.273,5,-13.89,1,0.0389,0.855,0.929,0.0952,0.0369,84.106,26aydPKbYjWaL3RYDd50yx,316112,3
47,0.184,0.0232,10,-25.791,1,0.0365,0.983,0.97,0.107,0.0706,67.605,6gLxOhbUDLPduujqEAxOCK,112135,4
48,0.186,0.209,5,-16.989,1,0.0397,0.953,0.409,0.115,0.0983,79.306,1Fzqg2gAc4zhpjIcha2ze5,97387,4
49,0.325,0.0832,2,-20.092,1,0.0478,0.975,0.88,0.0939,0.189,108.65,5IjL40BwGsfj96FZTAMDoP,214620,4
50,0.373,0.0866,0,-22.8,0,0.0493,0.992,0.944,0.103,0.255,76.41,5L91aiF22qL83IM0tTi38G,188853,4
51,0.268,0.21,9,-15.245,0,0.041,0.916,0.0061,0.155,0.0992,119.65,2H6QpazQL29KYDJQfdf37U,522360,3
52,0.434,0.227,7,-18.478,1,0.0341,0.595,0.774,0.0857,0.349,93.741,0wmO5YJBuCxIXV9ZAo56VW,348043,4
53,0.289,0.268,7,-16.767,0,0.0356,0.976,0.895,0.0867,0.0925,144.069,0CtEePb5aeew7LxPbVKnqi,167418,3
54,0.253,0.31,1,-15.296,1,0.0335,0.363,0.895,0.0859,0.128,86.296,4qplwFunnvIHmkGbgSQrnl,290268,4
55,0.53,0.188,7,-19.343,1,0.0387,0.991,0.924,0.084,0.327,114.733,2DfDhTp7bDm8kXiMqmuRFt,264107,4
56,0.0991,0.137,7,-18.758,0,0.0459,0.991,0.0913,0.0789,0.0396,80.946,4hNjmmmrJ4bCKj0Z78NYb3,314400,4
57,0.375,0.229,3,-18.575,1,0.0346,0.988,0.888,0.126,0.0441,92.5,4SeBm67rXuWvR1VzhUkBaT,289957,4
58,0.32,0.135,1,-25.086,1,0.046,0.931,0.922,0.11,0.0387,103.81,3qOU2B3MF3Xuhp9pPGxTIO,237445,3
59,0.469,0.0869,8,-20.865,1,0.0598,0.995,0.949,0.113,0.203,122.115,48ho1gtS1mlCcrA4xj19o6,219168,4
60,0.637,0.0334,5,-28.548,0,0.0306,0.977,0.868,0.0914,0.153,95.942,4DERIB5wEI460qASJ5DLym,170208,3
61,0.0643,0.0459,0,-23.053,0,0.0448,0.984,0.896,0.0865,0.0348,66.379,1BnIyDcFO8GeHYFkD3jy7V,294240,3
62,0.169,0.0283,9,-30.276,0,0.0404,0.978,0.504,0.084,0.0324,79.796,668q4HkqsNaD8Mq5Ljx3gm,328120,3
63,0.0695,0.128,4,-16.554,0,0.0381,0.935,0.675,0.0988,0.033,75.258,17Fu6Ze1KwvxhYGGznVBx6,261653,5
64,0.117,0.115,0,-19.541,1,0.0374,0.81,0.913,0.0868,0.0369,78.651,6NA2z3VHRtCyXRTY2DpQ8h,781000,4
65,0.179,0.0763,10,-26.166,1,0.0551,0.983,0.612,0.595,0.0714,91.944,3D4MbPtLDb1ldVr1DHWR6u,489587,4
66,0.203,0.279,3,-11.123,1,0.0331,0.98,0.0588,0.0995,0.12,72.467,0zzvihf22cm3chBSVS2hjN,300267,4
67,0.113,0.107,9,-22.412,1,0.0512,0.982,0.00574,0.0971,0.0337,79.134,3eAYsjp3ZjSahMFcNgy6Jt,524947,4
68,0.0691,0.114,4,-26.274,0,0.0717,0.847,0.749,0.0992,0.0394,78.538,1kkyoN3zRGRgQ7DjC5qXAl,161850,4
69,0.393,0.0526,11,-26.33,0,0.0735,0.984,0.929,0.11,0.41,84.464,1AwKq6kxORQHegRIEtKa9r,199547,4
70,0.163,0.111,0,-20.314,0,0.0415,0.988,0.9,0.107,0.0278,130.994,2yUiKKUMmcmU0zZKL2eSf2,599533,5
71,0.127,0.011,7,-33.27,0,0.0364,0.983,0.972,0.0967,0.0367,71.198,2YfZBomGm5Ff4GpJ7Dha9k,246627,4
72,0.106,0.0142,4,-33.546,0,0.0488,0.992,0.012,0.104,0.0345,74.547,6mJlwt6XPR6p3CD1JjaJq8,231027,4
73,0.606,0.372,10,-17.801,0,0.036,0.651,0.88,0.101,0.0745,151.076,29Aeq0LPBaO4wdq1WDaacu,103213,4
