,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.469,0.278,3,-16.311,0,0.027999999999999997,0.248,0.000126,0.133,0.331,169.735,1pTGc8pwyo6xtgXBKCBcFn,231840,4,68,False
1,0.6920000000000001,0.42200000000000004,2,-10.533,1,0.0333,0.0811,0.0,0.0848,0.46799999999999997,74.375,2DjWsDGgL1xNbhnr7f6t5F,193120,4,76,False
2,0.565,0.764,1,-9.43,1,0.0351,0.0139,0.00488,0.079,0.6859999999999999,100.891,7gozgbG5EBTukCFWToTRA5,277480,4,0,False
3,0.851,0.406,1,-11.630999999999998,1,0.0661,0.21899999999999997,6.41e-06,0.0853,0.792,97.84,4kOfxxnW1ukZdsNbCKY9br,226880,4,74,False
4,0.768,0.8290000000000001,5,-5.109,1,0.0313,0.0964,2.9199999999999998e-05,0.09699999999999999,0.9620000000000001,118.773,2olVm1lHicpveMAo4AUDRB,234333,4,76,False
5,0.622,0.865,7,-6.369,1,0.0531,0.0167,2.34e-05,0.0692,0.87,149.70600000000002,0PXw9NKvolWTo7U9JkNzmc,227800,4,62,False
6,0.508,0.8340000000000001,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,0GONea6G2XdnHWjNZd6zt3,216053,4,82,False
7,0.5379999999999999,0.86,0,-5.916,0,0.0435,0.252,0.0005269999999999999,0.247,0.29100000000000004,127.15299999999999,6IDHh3FcwLVcG5NsmpQgg2,299307,4,65,False
8,0.7090000000000001,0.8240000000000001,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,2tUBqZG2AbRi7Q0BIrVrEj,291293,4,82,False
9,0.6709999999999999,0.914,1,-4.598,1,0.107,0.573,2.77e-06,0.0856,0.8059999999999999,101.20100000000001,1DapqOfkDAQCiKnvfwKo0g,265760,4,64,False
10,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,5ChkMS8OtdzJeqyybCc9R5,293827,4,82,False
11,0.685,0.584,5,-10.616,0,0.0276,0.28800000000000003,0.009179999999999999,0.124,0.9390000000000001,134.546,5vmRQ3zELMLUQPo2FLQ76x,302413,4,72,False
12,0.8170000000000001,0.485,7,-11.659,1,0.14300000000000002,0.0525,0.00021,0.0391,0.672,100.978,7vvRkLPIvfjjmCIqNxBuEZ,228267,4,64,False
13,0.452,0.306,2,-9.632,1,0.0274,0.235,1.91e-05,0.0989,0.182,144.125,5OHUTC4EvTbL0DuZQRIGGX,210733,4,65,False
14,0.626,0.425,0,-15.655999999999999,1,0.0356,0.231,0.0,0.114,0.9520000000000001,150.875,60mGckXEG1EzR4VmjYLfEW,264333,4,66,False
15,0.754,0.763,4,-6.318,1,0.0473,0.40700000000000003,0.0,0.318,0.932,122.04700000000001,5UU5FbITNm5OunvHQdsKME,248000,4,63,False
16,0.878,0.84,6,-13.105,0,0.064,0.0421,0.0035,0.053,0.882,116.22200000000001,7LoGfKBAaOl0nxhodJ1240,260000,4,65,False
17,0.6859999999999999,0.682,7,-12.154000000000002,0,0.033,0.0806,0.000155,0.14,0.708,123.44,1wEeNtO7z41aUqC80shxqK,255220,4,61,False
18,0.748,0.603,1,-12.044,1,0.043,0.15,0.000261,0.0269,0.8270000000000001,108.831,4czNORk5MjW5WOn98bki32,258667,4,72,False
19,0.62,0.446,1,-14.450999999999999,0,0.0347,0.589,0.0299,0.0727,0.868,88.59100000000001,3PzsbWSQdLCKDLxn7YZfkM,155880,4,74,False
20,0.7759999999999999,0.743,9,-6.807,1,0.0289,0.107,0.293,0.149,0.84,131.343,1mskmld5ZKEhRaNvYVPoqZ,289853,4,61,False
21,0.846,0.826,10,-7.909,0,0.098,0.0867,0.0,0.12,0.813,134.454,1kIu9zpYtWjgrLlsactlna,262560,4,64,False
22,0.78,0.565,3,-7.32,0,0.0306,0.736,0.0026899999999999997,0.063,0.365,101.96700000000001,1NCuYqMc8hKMb4cpNTcJbD,322133,4,74,False
23,0.6679999999999999,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.04899999999999,2wSAWEYUHkt92X4SBAPqZE,252773,4,73,False
24,0.64,0.9259999999999999,3,-5.597,1,0.0322,0.135,2.04e-06,0.134,0.9009999999999999,131.997,0ire4j2mcGovF5JA1D2cTp,271067,4,68,False
25,0.483,0.268,10,-11.809000000000001,1,0.0257,0.866,0.0163,0.145,0.182,93.47,5iwyLsQ5yjnCaRrJGyAPZM,266800,4,72,False
26,0.5920000000000001,0.9159999999999999,9,-6.9,1,0.0482,0.0856,9.27e-05,0.161,0.8859999999999999,144.262,6o6ZPVUPJ0GTs2gQIt2jWc,249493,4,61,False
27,0.433,0.5589999999999999,8,-11.344000000000001,1,0.0636,0.19399999999999998,0.0,0.0732,0.17800000000000002,130.2,4CWZffvYnRPdHunwWoM2AH,269560,4,6,False
28,0.5329999999999999,0.7829999999999999,7,-10.61,1,0.0366,0.0116,0.0565,0.18600000000000003,0.726,124.874,07ABETRdek3ACMpRPvQuaT,234907,4,70,False
29,0.74,0.9229999999999999,1,-5.082,1,0.0369,0.105,0.00016299999999999998,0.0825,0.93,128.871,5LYJ631w9ps5h9tdvac7yP,305867,4,68,False
30,0.599,0.622,0,-13.970999999999998,1,0.0296,0.359,0.00235,0.114,0.851,122.31200000000001,1F43XlPBiwAUUIhrUGzylO,212173,4,65,False
31,0.408,0.385,7,-16.604,0,0.0317,0.424,0.9259999999999999,0.10099999999999999,0.39899999999999997,191.364,45r7mbXRbpFAYZavAoX6tk,214933,4,59,False
32,0.509,0.317,5,-16.063,1,0.0305,0.621,5.28e-05,0.0878,0.247,131.783,6HPLeKiNm92RbykX2BDTUB,192067,4,70,False
33,0.887,0.48,11,-11.994000000000002,1,0.11699999999999999,0.0094,3.5799999999999996e-05,0.0662,0.607,95.846,0nd1Vs5BIoIU4TJlzR8KVB,193200,4,59,False
34,0.6579999999999999,0.7140000000000001,11,-9.247,1,0.0521,0.0291,5.6999999999999996e-05,0.6509999999999999,0.8059999999999999,117.27600000000001,6tASfEUyB7lE2r6DLzURji,265600,4,68,False
35,0.7040000000000001,0.544,4,-11.402000000000001,0,0.026000000000000002,0.0873,1.66e-05,0.040999999999999995,0.628,120.71700000000001,2cFl7utlqyZjCXN1G5nRvA,269573,4,64,False
36,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,18AXbzPzBS8Y3AkgSxzJPb,336453,4,78,False
37,0.769,0.826,7,-8.252,1,0.0624,0.267,0.0177,0.0638,0.762,95.86200000000001,5xl5582IihbEZAnfj0xyso,250032,4,62,False
38,0.5720000000000001,0.721,5,-8.959,1,0.0402,0.187,7.41e-06,0.21600000000000003,0.8440000000000001,164.252,05fHQeRbCSjKVS6z0WbQKJ,267000,4,71,False
39,0.424,0.222,9,-15.052999999999999,0,0.0391,0.6459999999999999,0.0,0.14800000000000002,0.0606,61.648,6HMvJcdw6qLsyV1b5x29sa,246933,4,68,False
40,0.579,0.669,4,-8.704,0,0.0326,0.253,0.0257,0.0911,0.7979999999999999,175.18099999999998,2gUjs3Y8RoPpwozKyQDCUa,266173,4,62,False
41,0.6970000000000001,0.611,3,-11.745999999999999,1,0.0258,0.18,2.04e-06,0.0876,0.8079999999999999,129.96,2J9yZBKajggHsCmoSiaVCw,233493,4,58,False
42,0.6679999999999999,0.779,9,-11.089,1,0.0325,0.0025,0.00034700000000000003,0.139,0.963,140.873,648BMGrt98kUbLo24A4vgj,245467,4,65,False
43,0.799,0.491,1,-17.105,1,0.0891,0.016,0.843,0.094,0.57,117.285,2kgqupahrJpYB4r1poTXEY,180867,4,59,False
44,0.6579999999999999,0.575,11,-10.365,1,0.0267,0.243,0.0,0.122,0.504,108.329,6mYrhCAGWzTdF8QnKuchXM,239827,4,72,False
45,0.62,0.9359999999999999,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527,4YwbSZaYeYja8Umyt222Qf,175747,4,77,False
46,0.698,0.774,0,-8.642000000000001,1,0.048,0.12,2.26e-06,0.39399999999999996,0.731,133.197,0snPJPxkk0MbTc0xeUvAPt,270720,4,70,False
47,0.607,0.784,0,-7.962999999999999,1,0.0258,0.0299,3.85e-06,0.28800000000000003,0.622,113.804,7aS418hRnOnYrXeyrZilwk,213987,4,70,False
48,0.899,0.42100000000000004,4,-11.238,1,0.0511,0.20199999999999999,4.94e-06,0.0864,0.852,109.148,3lIpkjFnRxJ6Uvm8DgtgfV,276533,4,61,False
49,0.619,0.9390000000000001,1,-6.787000000000001,1,0.0397,0.0173,0.00035499999999999996,0.327,0.677,115.164,2oiMNaVCul7qmMzpRStjCg,286320,4,63,False
50,0.574,0.629,2,-8.815,0,0.0363,0.128,0.0,0.271,0.7859999999999999,153.119,4jDmJ51x1o9NZB5Nxxc7gY,300107,4,75,False
51,0.677,0.616,10,-13.825999999999999,1,0.032,0.45799999999999996,0.0132,0.349,0.851,114.223,2aEuA8PSqLa17Y4hKPj5rr,226333,4,67,False
52,0.7070000000000001,0.568,6,-13.52,0,0.0291,0.0319,0.0298,0.055,0.877,105.32600000000001,2uXewDKMktNkkMfotqSxN6,223440,4,61,False
53,0.636,0.405,8,-11.113,1,0.0287,0.355,0.0,0.0804,0.257,128.06799999999998,17CPezzLWzvGfpZW6X8XT0,241067,4,70,False
54,0.731,0.91,9,-4.559,0,0.0918,0.11,0.00044699999999999997,0.313,0.8859999999999999,120.991,6HvUtPLqkP0t6zd6YNdWby,209160,4,62,False
55,0.773,0.6559999999999999,3,-10.88,0,0.0381,0.20199999999999999,0.00323,0.0697,0.971,119.75399999999999,1ZPlNanZsJSPK5h9YZZFbZ,218627,4,71,False
56,0.684,0.573,5,-12.3,1,0.0261,0.318,0.027999999999999997,0.306,0.716,107.363,273uCXd7NPrInaiNqtkOrA,378947,4,68,False
