,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.91,0.463,1,-7.532,1,0.0973,0.161,0.00021,0.0845,0.336,100.038,3sVNaAyatq9t7NwA675NPw,163800,4
1,0.544,0.917,1,-3.403,0,0.259,0.00313,0.0,0.26,0.686,176.068,46QbY78ha62aiu6gBgC7lS,223636,4
2,0.627,0.697,11,-4.714,0,0.106,0.0606,0.0,0.228,0.358,91.03,42OSrkr0HFR8nCQnw8SOBd,247912,4
3,0.758,0.496,4,-6.123,1,0.0296,0.58,0.0,0.0822,0.59,99.985,0IcwfJPrcJ2BWj22yOlZ2p,222098,4
4,0.838,0.726,0,-3.81,1,0.207,0.141,0.0,0.107,0.652,98.016,4AT1UUNwri6mZE07G0vkm2,203265,4
5,0.586,0.625,6,-6.066,1,0.186,0.23,0.0,0.435,0.685,188.345,60GK6ultL3skUR60O9haSJ,301269,4
6,0.791,0.424,6,-9.757,0,0.0348,0.0416,1.61e-06,0.155,0.331,106.993,5qlsGohL4JSjYFYnCsljHM,183943,4
7,0.432,0.705,11,-8.274,0,0.225,0.474,0.0,0.369,0.696,189.663,6Cc1kE7zSEB7LizVutTOdQ,147676,4
8,0.693,0.593,9,-8.506,0,0.217,0.0187,1.09e-06,0.407,0.688,165.924,7krGSbOnw13S7tIpgVEWAo,176386,4
9,0.623,0.815,4,-5.888,0,0.194,0.0729,1.72e-06,0.134,0.33,92.956,7s3HTvGXxHM6bhMlxjYolQ,167742,4
10,0.726,0.652,1,-7.764,0,0.11,0.00451,3.32e-05,0.226,0.803,163.879,6HGoVbCUr63SgU3TjxEVj6,180056,4
11,0.649,0.947,7,-4.087,1,0.26,0.218,0.383,0.0532,0.579,164.943,4dJrjWtAhEkW7VdPYSL1Ip,228258,4
12,0.395,0.589,5,-5.487,1,0.0369,0.237,0.0,0.132,0.49,97.935,4AR1na46nYoPXPmNRgciUH,248590,4
13,0.845,0.798,9,-7.018,1,0.153,0.144,1.48e-05,0.304,0.888,89.952,7eS07q4Ft2ySmiH7NalStq,205000,3
14,0.851,0.576,10,-4.61,0,0.177,0.0142,0.0,0.0347,0.745,151.834,39pjjDG9o44eDjkM4BPdiG,215724,4
