,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.578,0.453,2,-12.609,1,0.0515,0.536,0.147,0.0927,0.248,92.052,4Cj3isXiH0u9igd6dKfStb,176173,4
1,0.545,0.485,8,-9.941,1,0.151,0.3,0.00137,0.119,0.341,80.401,2uhEKg8kIzpdvz4gyy6x8W,249173,4
2,0.598,0.295,1,-8.553,1,0.0276,0.735,0.0,0.107,0.314,87.025,00cBcYOlnHoXX9ver3cmdE,225680,4
3,0.517,0.156,9,-10.822,1,0.0315,0.879,2.01e-06,0.111,0.27,134.74,7oBquJ552fIdR2wVknQH1e,158671,4
4,0.224,0.182,2,-20.457,1,0.0368,0.918,0.642,0.114,0.213,75.355,6VmKRiq18SDfzCfV2nXOSs,204564,3
5,0.86,0.336,11,-9.112,0,0.0647,0.504,0.0,0.0875,0.674,93.815,67LVked2xWltlu5POH71gk,125695,4
6,0.72,0.408,2,-11.725,1,0.0498,0.832,2.61e-06,0.0992,0.341,121.972,55vsJO4tLZQ37qzD5QUOmh,227613,4
7,0.521,0.493,0,-10.264,0,0.0302,0.814,0.0207,0.107,0.495,171.952,1ztB2LwqXxn0IH2jMrKvDw,154230,4
8,0.322,0.127,7,-14.197,1,0.0352,0.894,5.99e-05,0.143,0.119,144.2,5OtvDpNhxUde1hkAjvzSzE,265652,4
9,0.698,0.367,2,-5.811,1,0.0329,0.649,0.0,0.119,0.246,104.853,6TbkMxKZudkP6Sty7rkLU9,204309,3
10,0.763,0.547,2,-8.017,1,0.0601,0.275,1.79e-06,0.108,0.634,97.003,2nelvMgL7LyIUAYwmmRyy1,193716,4
11,0.363,0.12,7,-11.662,1,0.0358,0.899,2.34e-05,0.162,0.176,71.024,0FrHyYxj92dg4qIu8BO30l,253597,4
12,0.465,0.468,7,-7.799,1,0.134,0.262,0.0,0.0639,0.373,83.366,50wetCP0Nsx5sIaFHCYlCe,142773,4
13,0.537,0.342,11,-8.594,1,0.0717,0.711,0.0,0.0788,0.536,73.478,3atDBUHTgS6ogyeIfCfRMt,194837,4
14,0.704,0.295,6,-11.083,1,0.0387,0.716,1.56e-05,0.133,0.427,130.011,3wD5R5grD04FKW0zsBuiKy,211677,4
15,0.639,0.442,6,-9.025,1,0.0501,0.694,0.0,0.0883,0.278,80.029,3uHWdehoLyQZJECjiTI4a6,184985,4
16,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,2nGFzvICaeEWjIrBrL2RAx,215360,4
17,0.778,0.462,0,-12.729,1,0.0359,0.463,0.583,0.11,0.817,105.45,3KKUf8F2hktFscLgbH4YwR,161537,4
18,0.512,0.543,1,-8.425,0,0.249,0.34,0.0217,0.154,0.606,99.946,1KCmgPaCWSWlofC5QKovYq,205027,4
19,0.82,0.26,9,-14.473,1,0.0759,0.757,0.0,0.144,0.641,114.943,2PR4jVXzyjCky2PkONvipq,188442,4
20,0.602,0.684,9,-5.277,0,0.0283,0.00731,2.46e-05,0.109,0.485,113.034,4cMXF5AmiAoUL8JW0j2l9M,178626,4
21,0.478,0.049,4,-17.037,1,0.0617,0.93,0.0,0.0686,0.359,199.821,2zRLogAqKnlcMRyOExw3LF,239700,3
22,0.645,0.255,11,-10.581,1,0.0545,0.589,0.0,0.174,0.406,94.973,094OGVJzllUzmdLvA31GqU,153446,4
23,0.557,0.18,5,-15.417,1,0.0356,0.909,2.32e-05,0.498,0.456,85.963,1COWb4m8g8jY7fi3wXzo5b,181373,4
24,0.718,0.693,1,-5.375,0,0.0252,0.07,0.0,0.132,0.691,88.026,0jh5NRR4gX9tsFMLFDhEmX,165430,4
25,0.762,0.498,8,-5.294,1,0.0481,0.161,9.55e-06,0.172,0.871,107.049,68AkRyS65QIHiYwDZoVn5p,201787,4
26,0.459,0.308,0,-6.122,1,0.0314,0.756,0.0,0.121,0.38,86.225,3MCscTVaXHO66kAIml2Dce,187893,4
27,0.504,0.397,10,-11.659,1,0.131,0.804,5.34e-06,0.12,0.265,110.392,7zlckzgewNsSzwIwfmCeqG,215240,4
28,0.696,0.565,5,-7.237,0,0.0605,0.652,2.02e-06,0.121,0.599,156.11,2U12JbtnFSYa5Av5wEcEDX,187728,4
29,0.548,0.654,4,-4.599,1,0.0313,0.113,0.0,0.241,0.317,85.023,0BCUve4b3KySD9Sk8CMZ2i,200824,4
30,0.641,0.376,7,-7.478,1,0.117,0.913,0.0,0.107,0.165,143.958,1tUdd0dSQ5ij2XiqlWhlHX,193266,4
31,0.757,0.462,2,-9.926,1,0.0899,0.0287,0.00145,0.104,0.193,90.013,5rdhDMfiwWNnrEQpjUVpDu,173196,4
32,0.636,0.243,2,-9.509,1,0.04,0.815,0.0,0.111,0.239,142.016,1Ia95g66IhlAJ3qVI4qI8W,163547,4
33,0.701,0.396,4,-10.182,0,0.119,0.112,0.0209,0.223,0.115,129.004,1ToprX3cpBiXoAe5eNSk74,206361,4
34,0.724,0.415,7,-8.408,0,0.0518,0.764,2.51e-06,0.103,0.328,89.999,2C0hTkdEoikhKzDCJl32QZ,186459,4
35,0.807,0.362,9,-8.531,1,0.0677,0.771,0.0,0.109,0.393,81.943,3jsZnIOR0xnPg9XB8Ah7RQ,172124,4
