,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983,0DmAvNCAK08oCi7miSZUIY,218359,4
1,0.662,0.868,5,-4.025,1,0.0341,0.00882,0.00244,0.584,0.353,92.998,6lhZLbb0czULpjb2kFryPS,200645,4
2,0.546,0.587,9,-9.315,1,0.334,0.522,0.0467,0.0955,0.334,123.944,0h4yWQq8wkQq0rhhA1Ik4F,185336,4
3,0.754,0.877,0,-4.544,1,0.176,0.189,0.0,0.265,0.649,122.001,3bNIlJBpwgwFNnFuSjH6Uh,177546,4
4,0.686,0.867,6,-4.396,0,0.0449,0.0397,4.18e-05,0.396,0.691,126.068,5Rse8If81NbzXL1ARjHOTB,145792,4
5,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,06kxa3al7bUqRRo5nAFduZ,222400,4
6,0.584,0.865,8,-5.951,1,0.0321,0.00112,0.433,0.122,0.0743,126.003,5HFPK8mcO6BGPZNeZPZI5L,163968,4
7,0.711,0.927,4,-6.114,0,0.0632,0.104,0.0518,0.296,0.299,123.98,410sU1dPbilSPUqx9A6Ir1,172733,4
8,0.68,0.761,0,-6.142,1,0.0288,0.00485,0.00139,0.0644,0.361,124.981,0id7TrBjYYzQ5v5mHWTUxC,205440,4
9,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,6cx06DFPPHchuUAcTxznu9,166028,4
10,0.798,0.873,10,-3.561,0,0.0818,0.0641,0.000138,0.0762,0.522,108.014,7uNU0RCnCy6lGG2Id1cN4Z,202012,4
11,0.66,0.855,9,-4.559,1,0.0317,0.0171,8.25e-05,0.374,0.616,126.035,4fB85IhVASxXMWgoke5WVJ,142500,4
12,0.746,0.757,5,-6.078,0,0.054,0.491,0.00124,0.0863,0.499,124.992,4x5ymi4akay9Fq5Xm1PW3E,174720,4
13,0.588,0.8,0,-7.875,0,0.0377,0.00782,0.000819,0.289,0.263,124.001,4DBLAy03Xk88LOVtrOQ1RD,189677,4
14,0.623,0.781,4,-6.823,0,0.0496,0.0174,0.0,0.568,0.76,94.035,1GGuz6FiDdy6uH545iwYHn,159733,4
15,0.702,0.844,6,-4.739,1,0.0508,0.129,4.31e-05,0.139,0.788,126.036,73AA7MGpI602u0T9SyL6uu,185714,4
16,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,14ngWWxvUSnIMXgF6rzSk1,156960,4
17,0.834,0.897,11,-5.142,0,0.175,0.00507,0.000278,0.127,0.808,122.985,3DWxTyMKS2ABm5kBUbJeTN,229627,4
18,0.65,0.738,4,-6.46,0,0.158,0.0539,0.0,0.206,0.336,119.827,3vNsOdrDl6UbCv03oqLvUx,171291,4
19,0.695,0.639,5,-7.21,1,0.0797,0.125,0.0,0.378,0.447,121.978,1Cnh9OJqRQq37e59nvaxQg,180481,4
20,0.757,0.82,10,-4.999,1,0.0406,0.00426,0.421,0.173,0.656,128.012,2nHBfIdQ4ndFNaWilLdBUN,216797,4
21,0.558,0.905,9,-4.121,1,0.0414,0.132,0.00055,0.325,0.362,102.905,08AK8kZVQIt5XRjgbbW4c3,158494,4
22,0.569,0.698,5,-10.445,0,0.0335,0.0559,0.135,0.129,0.144,123.993,3V9Ye0o7szPrtMEELrOlfg,228629,4
23,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.528,0.302,128.027,3rgTS3933lMWoPiN6CW4qY,184687,4
24,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,66W1rVTnEv86dIkFhoiElg,176767,4
25,0.643,0.859,6,-4.652,0,0.0496,0.0708,0.238,0.351,0.74,126.04,2EP6o7pWrJL7W8a24LSm9m,181429,4
26,0.797,0.672,8,-6.135,1,0.0477,0.0442,0.0027,0.149,0.561,131.978,4eVU4U063iMLFJFXb9kzkb,206658,4
27,0.889,0.924,11,-3.659,0,0.109,0.00369,0.186,0.266,0.494,113.025,6YPJ5TbzwDltVrRR39bGzC,133836,4
28,0.44,0.739,1,-5.341,0,0.0494,0.0221,0.0,0.561,0.156,127.62,3KFei4ncqdevg1vZaAZgIL,180000,4
29,0.808,0.655,11,-7.34,0,0.139,0.0373,0.0,0.208,0.56,116.029,0pk1hxhJLBSZZ5RKBhcwOa,250280,4
30,0.543,0.668,3,-7.713,1,0.0533,0.00359,0.0,0.0807,0.335,111.936,4CV07u1PSFoZOJN1cJ0ZoK,307394,4
31,0.712,0.834,11,-7.27,0,0.0513,0.0197,0.013,0.122,0.513,122.992,1kO20G6Aib8wCN6BhszUiL,167530,4
32,0.55,0.865,1,-3.783,1,0.0725,0.054,0.0,0.0859,0.246,126.093,1KOAr3G8LaibCpHeaWtL2u,226667,4
33,0.772,0.751,2,-7.587,1,0.0471,0.0585,0.000239,0.121,0.479,118.004,46JsfrLYERydPI63dDuIOX,157902,4
34,0.63,0.783,4,-7.35,1,0.0313,0.0079,0.779,0.157,0.399,119.981,2StEq5J2bCq5JiwCKbansz,268829,4
35,0.632,0.868,5,-6.254,1,0.0357,0.0426,0.263,0.307,0.455,122.98,2dh6Pnl5egc1FrQS6EsW4n,182400,4
36,0.703,0.837,8,-3.606,1,0.0395,0.0214,4.45e-05,0.104,0.356,124.953,5lWUeSYO61UYgNlFlqcwYl,182439,4
37,0.694,0.739,5,-5.457,1,0.185,0.0225,9.11e-06,0.507,0.222,128.051,0UiXb63styFtMSJUnRcXIY,168750,4
38,0.797,0.843,1,-7.672,0,0.0442,0.00418,0.527,0.123,0.835,125.992,61eyaitcIdl1jpnc6Kb8M3,156210,4
39,0.641,0.529,6,-11.536,1,0.0288,0.00441,0.000862,0.0809,0.449,121.027,17bGtGqqaXOgVnhnfx5NlE,211452,4
40,0.629,0.892,0,-4.775,1,0.0775,0.0256,0.687,0.104,0.438,124.987,0RBabLLjDBWUResDuvf24V,221816,4
41,0.861,0.577,1,-6.097,1,0.0565,0.00297,0.734,0.085,0.45,128.002,6Conq7fhDMbmndkzmPtJ5G,222073,4
42,0.667,0.892,5,-4.611,0,0.0451,0.0474,0.00083,0.374,0.541,122.981,0UBjV0qdhBKQLnl8tNXb9e,173663,4
43,0.78,0.5,1,-14.553,0,0.0629,0.0309,0.734,0.132,0.0362,125.015,5991u5bqBb19XqhjoAraZz,345600,4
44,0.704,0.822,5,-5.142,0,0.0366,0.000341,0.714,0.28,0.442,125.003,5CWGRrNRxRo0KXhMJuMm1S,208550,4
45,0.841,0.824,10,-6.979,0,0.0385,0.00246,0.0424,0.0726,0.434,126.027,6E9Y3681ntRrdMG2OAEQ56,210474,4
46,0.669,0.831,11,-5.359,1,0.0366,0.0317,0.0325,0.0912,0.263,120.04,3587LxhYAfR3UK9YvuF0F9,265832,4
47,0.69,0.813,11,-5.084,0,0.0994,0.0968,0.000324,0.108,0.703,108.067,0OeFuOAu0P1ONYz5EDdqb2,195704,4
48,0.75,0.664,8,-5.908,0,0.154,0.275,0.0,0.0632,0.617,105.023,3Be7CLdHZpyzsVijme39cW,208156,4
49,0.773,0.608,3,-6.942,0,0.121,0.278,0.0,0.381,0.589,125.078,7tUTCcqkMCnC9qLqbQeI0T,172909,4
50,0.576,0.778,7,-4.829,1,0.204,0.266,0.0615,0.135,0.126,89.86,2dXMUtuw06Fb6ruIEEDp4i,199680,4
51,0.67,0.833,7,-8.365,1,0.0522,0.132,0.195,0.109,0.522,127.984,3XnvNOjFKyFyNvxlXy1DXm,205125,4
52,0.698,0.812,0,-5.5,1,0.0399,0.58,0.182,0.113,0.351,128.042,1QrlSQGTF8aEvsdhT4vMi8,180027,4
53,0.729,0.788,10,-4.832,0,0.0908,0.0703,0.0,0.115,0.857,118.039,3GYlQmwfBDo7imFyGPhrl7,159536,4
54,0.67,0.781,11,-4.464,0,0.259,0.0224,2.69e-06,0.298,0.839,116.045,0Gv33C5DRmJueolmdFjfU7,283407,4
55,0.732,0.662,9,-6.525,0,0.0388,0.229,0.626,0.0778,0.559,124.005,1vq1KgeHuDaS3qyhwfpF0P,247832,4
56,0.423,0.895,3,-5.905,1,0.112,0.00594,0.311,0.18,0.259,150.065,37Ovz6JYxdwbjgUxxMEjMp,205323,4
