,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.58,0.832,0,-5.513,1,0.145,0.0127,0.00246,0.108,0.783,145.937,1ax95j7TLkNoP6UeQFlU22,515231,4
1,0.597,0.606,5,-8.711,1,0.0512,0.798,0.00164,0.433,0.833,120.802,15E1HxTq8M05lJeFACHw7m,256189,4
2,0.748,0.634,2,-10.094,1,0.142,0.183,0.000211,0.0433,0.838,169.946,7GO7XfiDsUysp4MMkdCiXo,342880,4
3,0.642,0.764,7,-6.741,0,0.0457,0.1,0.32,0.0731,0.704,104.885,48d8lgSahjvXsfPc3dVXCo,224041,4
4,0.594,0.461,1,-11.42,1,0.054,0.0125,0.145,0.0372,0.424,77.88,5PaBbJtAzd7dl3RMk6ezer,339280,4
5,0.731,0.743,11,-11.783,0,0.0506,0.0696,0.0045,0.0796,0.97,88.049,35kDqdxX71QMxGN9TfN8Ze,210483,4
6,0.572,0.699,2,-5.581,1,0.13,0.192,0.0,0.152,0.834,187.717,70UPa0pzNUMKcRcq8JZ0YZ,294236,4
7,0.684,0.882,8,-9.353,1,0.118,0.152,0.0225,0.313,0.758,90.149,0E02hR1cBcwaGhZBKboKts,305760,4
8,0.494,0.844,9,-9.465,1,0.06,0.00656,0.254,0.663,0.787,191.111,22ZZIvttMc2JsRC2hVrXyF,239803,4
9,0.782,0.922,11,-4.028,0,0.0497,0.00655,0.0118,0.0728,0.761,104.016,2r5zwMQ5dKB04MqVfc0IeH,255228,4
10,0.753,0.806,0,-6.916,1,0.0449,0.0166,0.0,0.129,0.67,105.98,4KeZ70RzWqbcplRkOfrku9,281605,4
11,0.745,0.84,0,-6.623,1,0.0692,0.0654,0.104,0.0446,0.9,123.983,3xq9srnNN0LBvha15ZWpTU,224368,4
12,0.696,0.91,2,-5.221,1,0.171,0.119,0.00835,0.213,0.607,114.562,3xDvyv5KF5Jvnycgutrgb9,229133,4
13,0.75,0.747,11,-6.024,1,0.0934,0.445,0.00021,0.0696,0.819,123.913,2jnOjKvvOH7BZSAJmwdCr7,245560,4
14,0.784,0.892,7,-8.951,1,0.235,0.447,0.127,0.391,0.45,114.093,6nNHyyYKi90iRQbLuIdO8O,174227,4
15,0.709,0.913,1,-6.941,1,0.0485,0.114,0.436,0.0605,0.916,106.723,5qenhYD4ynkEEHDDwqBiEG,176975,4
16,0.514,0.902,7,-6.536,1,0.111,0.0513,0.000824,0.0744,0.692,96.091,5eZlZq3LDJTaHPVb5j3tdC,238053,4
17,0.812,0.893,3,-6.043,0,0.0814,0.0309,0.196,0.0907,0.939,119.995,4mvVLWbe50QZg4QJhzBztu,207071,4
18,0.695,0.937,6,-3.642,0,0.0733,0.00999,0.234,0.136,0.884,104.721,3nPUw7RAT82QX2Yg1awMuM,199560,4
19,0.845,0.743,9,-7.445,0,0.0931,0.0799,0.00209,0.694,0.956,112.493,21tzl7QqFs2UJwaGQpwtCk,170387,4
20,0.683,0.911,0,-5.987,1,0.0809,0.0649,0.00675,0.0142,0.876,92.071,7Mg0Lbc0ehV83usNMmZlKi,201707,4
21,0.649,0.874,5,-6.93,1,0.0793,0.0394,0.552,0.0936,0.776,169.905,2tqfdsBI9N8TrRVFTUDnGZ,350972,4
22,0.584,0.709,7,-6.39,1,0.1,0.000791,0.0,0.411,0.649,98.735,0KlnFmi4G9od9PQ2niFSGO,215783,4
23,0.657,0.754,5,-6.432,1,0.0279,0.261,6.85e-05,0.0921,0.936,121.948,3ZQZUODe0CoMcgndwZ7cK9,275911,4
24,0.599,0.677,2,-8.642,1,0.0371,0.161,1.02e-05,0.345,0.743,91.044,7uil4nygkuyV7Fnv3ujt7f,200938,4
25,0.918,0.584,1,-8.37,1,0.0735,0.0537,0.00142,0.306,0.83,123.218,6tkrORqB1r56TV43CuejIR,274667,4
26,0.637,0.843,5,-4.955,1,0.075,0.0197,0.00192,0.108,0.375,119.015,5Zx3OUrH7UjnDPkVGlQpnV,351833,4
27,0.653,0.466,11,-9.789,1,0.0569,0.00362,1.27e-05,0.0806,0.844,120.688,1TvQqcEiMkUqWXKwLpEEMy,230002,4
28,0.562,0.736,1,-5.367,1,0.14,0.0883,0.0401,0.0874,0.749,202.06,6ZFuCHvdJbiuPrc5FTQ4Kz,288046,4
29,0.323,0.892,1,-6.379,0,0.172,0.00483,4.36e-05,0.282,0.504,199.931,0IFQpkcrFHy8bJOlrjKDEZ,321845,4
30,0.725,0.957,10,-5.931,1,0.0472,0.0126,0.0822,0.102,0.618,119.994,2eoDZsvrMKU7Hh9qZhkpsD,226345,4
31,0.787,0.823,5,-6.548,0,0.0662,0.106,2.14e-05,0.224,0.786,119.987,1E6CbYhTHxWgRk9ZIH4Gj5,268000,4
32,0.668,0.82,2,-6.258,1,0.0351,0.00676,0.0141,0.0447,0.87,132.934,1PS0E4x777UMWqm47foX5W,240173,4
33,0.822,0.803,11,-7.491,0,0.0617,0.000559,0.541,0.314,0.921,109.989,1pRh0b2MQUjxsXJbXDq6up,292000,4
34,0.611,0.742,2,-4.18,1,0.24,0.474,0.0,0.179,0.475,91.971,6UcWi3TI0N0ZftbowzRUbC,189660,4
35,0.724,0.695,11,-5.756,0,0.065,0.00602,0.0735,0.387,0.721,114.998,5BXZOifc6Z6M2QCYWPFspA,347237,4
36,0.813,0.717,0,-10.042,1,0.233,0.0153,0.00216,0.125,0.903,121.763,4UdJg615OBpJu6MepS6Hq8,389390,4
37,0.582,0.861,1,-6.202,0,0.0642,0.277,0.0,0.0558,0.75,92.047,4QtS7BCHG2jO3ka89o2eed,227348,4
38,0.639,0.667,8,-3.725,1,0.046,0.0807,9.41e-05,0.0571,0.514,100.851,4Bvc8SWQsj3DIhyygQZ9Un,239720,4
39,0.58,0.816,11,-8.574,0,0.217,0.333,0.00933,0.132,0.765,202.324,2RAwBuzTF0bFlaOjd1kAQu,178933,4
