,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,0PvFJmanyNQMseIFrU708S,190476,4
1,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,33gwZOGJWEZ7dRWPqPxBEZ,199758,4
2,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,7v96VvFLS0wSYT8kewNLRy,182857,4
3,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,2MbdDtCv5LUVjYy9RuGTgC,227478,4
4,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,02kDW379Yfd5PzW5A6vuGt,195429,4
5,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,6EDO9iiTtwNv6waLwa1UUq,200221,4
6,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4Oun2ylbjFKMPTiaSbbCih,187541,4
7,0.874,0.443,5,-9.628,0,0.241,0.147,0.0,0.124,0.298,118.004,0qJeyYAgv6UpvewUxRXAhb,235988,4
8,0.778,0.662,8,-6.081,0,0.308,0.187,0.0,0.116,0.571,149.935,7IECs9d4Rrlpa7tiHOCE1w,192000,4
9,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,2SAqBLGA283SUiwJ3xOUVI,261493,4
10,0.709,0.679,11,-6.503,0,0.346,0.0115,0.0,0.0971,0.754,162.973,2T5NBwKRySiCR78vVk08vr,153467,4
11,0.761,0.517,5,-6.916,1,0.0927,0.114,0.0,0.157,0.46,147.912,2rFsFjq0D9JAmc0APpCO6P,174730,4
12,0.747,0.622,11,-5.825,1,0.0838,0.176,0.0,0.151,0.57,159.93,2fZTS0VboxRpF0FdfY7E5P,181661,4
13,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,35RJhm1pEovTBwnNR0zWad,218902,4
14,0.816,0.579,1,-6.097,1,0.0867,0.203,0.0,0.127,0.43,120.078,4Zjdzxx0dsavsr7Ehr8fGE,226314,4
15,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,1VLtjHwRWOVJiE5Py7JxoQ,132833,4
16,0.614,0.553,7,-8.225,1,0.169,0.0306,0.0,0.203,0.161,159.999,3GZd1aDsgKL71Kt3VIp0hc,240297,4
17,0.881,0.517,4,-8.916,1,0.308,0.0115,0.0,0.151,0.786,115.084,6nDSLDomNqfet6w0r1GHAz,168107,4
18,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,3JKgcAa7r07ocVWcV8bS0H,163798,4
19,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,6gxKUmycQX7uyMwJcweFjp,181929,4
20,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,1H7KnK26kc1YyellpbINEn,201600,4
21,0.852,0.745,11,-3.667,0,0.171,0.0313,0.0,0.0824,0.897,148.007,6mtjo5kIHKlboGE84lf1FJ,195681,4
22,0.801,0.596,1,-4.72,1,0.0534,0.00301,0.0,0.162,0.134,120.028,76MjtLfZoTNc3BDqUVjuRH,280666,4
23,0.825,0.458,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,3nS9a01VvXHQriLqJYwRqG,197760,4
24,0.752,0.673,10,-5.792,0,0.153,0.0538,0.0,0.133,0.35,164.009,2QqJTIlGKRLJC3onkavYEz,163902,4
25,0.796,0.683,10,-5.165,0,0.277,0.0111,2.58e-06,0.126,0.737,173.852,341lTIxmhybbQsgydwJiFx,141123,3
26,0.59,0.618,1,-5.756,1,0.334,0.0127,0.0,0.244,0.153,96.459,44gRhRi2OhEf7moAUj6MD1,252729,3
27,0.929,0.667,8,-6.789,0,0.353,0.0185,0.0,0.1,0.274,126.998,45npF3MKvCa1sO7s4y7qBf,155168,4
28,0.948,0.63,1,-7.011,1,0.219,0.00647,2.02e-05,0.0737,0.425,100.032,5woaU1FNkqCwg6WzWiQPW5,253569,4
29,0.694,0.685,6,-6.535,0,0.133,0.224,0.0,0.124,0.306,158.831,6wQlQrTY5mVS8EGaFZVwVF,196180,4
30,0.906,0.351,7,-10.18,1,0.239,0.00591,0.0,0.109,0.315,143.891,79OsVQutiLllWaiDTcKl5M,200000,4
31,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,25zlnOAzbVoOzIeXSvQFf1,164580,4
32,0.72,0.542,1,-7.583,1,0.0482,0.0514,3.5e-06,0.136,0.374,74.977,0z36JaXXoFXuPuQucKEsdx,136462,4
33,0.653,0.603,5,-5.697,0,0.171,0.175,0.0,0.18,0.551,151.016,0mb3uDw5vfFUcZfJYFOMRu,168477,4
