,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.435,0.651,0,-6.152,1,0.0288,0.00111,0.609,0.111,0.206,111.896,6INLpBxo9F5QMer04VXEnd,298467,4
1,0.515,0.833,4,-9.409,1,0.0362,0.637,0.944,0.302,0.965,178.471,4GrfClvQgCVLsCfqw7YthQ,276640,4
2,0.686,0.675,2,-10.831,1,0.054,0.0884,0.114,0.0911,0.603,146.534,4BKJRy9GPS4Y3t61S1xEhF,292747,4
3,0.236,0.797,9,-6.949,1,0.0447,0.0186,0.0,0.11,0.477,154.336,1JYs5OOgeW1jAOaiiLlJdx,213533,4
4,0.328,0.629,2,-8.105,1,0.0343,0.0034,0.00363,0.0937,0.411,173.862,1kKfa4rdmxdqiE1Edunf18,255773,4
5,0.711,0.905,6,-7.459,1,0.218,0.122,0.000166,0.395,0.437,98.931,0E2UdlzNQP9I70MYumYlFo,288347,4
6,0.58,0.691,0,-7.359,1,0.0338,0.247,0.0,0.429,0.292,123.617,44OnyhrKWViHX8aHnMk0PU,223173,4
7,0.327,0.426,7,-11.576,0,0.027,0.878,0.000997,0.18,0.169,93.949,7jOM0KIKgIppqIEvEjixaj,268307,4
8,0.692,0.799,1,-7.924,1,0.164,0.388,0.0,0.301,0.549,97.978,21REQ1bCUWphT2QK3bLWYQ,199667,4
9,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,5PntSbMHC1ud6Vvl8x56qd,235000,4
10,0.577,0.828,7,-9.805,1,0.0556,0.358,0.013,0.0683,0.706,142.365,5GPPI3rnZDptLYRN4vTUoZ,314067,4
11,0.595,0.737,10,-10.332,0,0.03,0.0296,0.109,0.0639,0.867,101.193,6D44MaupiigmMXuJg0rU82,300693,4
12,0.593,0.693,4,-8.576,1,0.0305,0.0283,0.084,0.172,0.749,150.489,3soLwFvqNYT90pZHSZhmK2,363538,4
13,0.687,0.635,2,-14.667,1,0.0365,0.0443,0.0252,0.0963,0.546,109.448,6Kz3o55LxMA11GbvFXHFtX,252360,4
14,0.354,0.394,2,-11.563,1,0.053,0.132,0.044,0.131,0.166,160.554,68lYnrHMQlCNmVpvyeVfrq,248267,3
15,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,178440,4
16,0.686,0.729,7,-4.848,1,0.0298,0.175,0.000833,0.137,0.79,123.546,7h69nvFshbhUpesEXBPH0w,192933,4
17,0.343,0.747,6,-5.73,1,0.0632,0.127,9.61e-06,0.31,0.237,125.389,0303qZHRLFhKkOgO80toX9,347733,4
18,0.61,0.919,8,-6.889,1,0.0643,0.000587,0.00263,0.186,0.657,108.11,2ZODjHVq1JxCBqWFeBPmAo,313773,4
19,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,6txWz9UapYHVxEd7dDIHXT,217107,4
20,0.619,0.401,1,-11.746,1,0.0339,0.0297,0.00355,0.0701,0.815,136.21,0NNgY2gc1TUwBQoVp98Fxw,282560,4
21,0.607,0.459,8,-10.232,1,0.0474,0.000626,1.24e-05,0.0882,0.39,138.919,7jreMMxd2UYRePUu1UziLg,277667,4
22,0.426,0.878,2,-8.274,1,0.0388,0.0237,0.000118,0.173,0.65,102.818,3ATIyi8OsM5ciO0CDd2iCs,200413,4
23,0.587,0.566,9,-9.932,1,0.0276,0.47,0.0,0.0644,0.529,76.054,42cxPm9jgbaxIVN77XA1m6,461947,4
24,0.484,0.381,6,-13.232,1,0.0361,0.501,0.0,0.114,0.409,144.939,2SOuSTml41dWzqtxN4dklr,297987,4
25,0.631,0.933,7,-5.152,1,0.0577,0.000532,0.0021,0.0843,0.842,119.679,0z9XPPcA8CC9vnEn4F83If,262507,4
26,0.471,0.896,6,-6.701,1,0.105,0.0725,0.0,0.193,0.555,144.838,15RgdXlKJQTNMsR4hAzIGh,217867,4
27,0.723,0.732,1,-12.251,0,0.0963,7.67e-05,0.0135,0.18,0.516,118.582,0X0LTI0MQG9S3FLSUvjrj5,236640,4
28,0.506,0.761,3,-9.765,1,0.0404,0.00938,0.782,0.298,0.745,112.511,11nv53N7ZnNTCgyl8yxvYd,213693,4
29,0.278,0.896,0,-6.937,1,0.0612,0.0437,0.314,0.0863,0.288,139.163,2JOi5i2Lm8VBpxk3IoyTEr,248933,4
30,0.542,0.626,0,-7.105,1,0.0242,0.0789,0.000508,0.277,0.813,89.734,4OHVCeQYPncEwZOtNAJZZx,305213,4
31,0.313,0.241,0,-16.474,1,0.0381,0.948,0.859,0.102,0.0863,119.88,7kBoYDqxYcmOjnJxA2qYKt,191893,3
32,0.456,0.752,11,-8.121,0,0.09,0.0095,0.00145,0.0573,0.897,183.569,0fsz7tJ7UKXT9hliLfO7aE,179600,4
33,0.732,0.681,11,-7.103,0,0.0317,0.00145,0.00112,0.11,0.699,103.72,2oHmRO0X4gW4VlCJRcZzez,215760,4
34,0.528,0.439,5,-13.036,0,0.033,0.0254,0.0015,0.378,0.0361,134.964,3jIzAeh7fhe70umAJrY3Fk,321533,4
35,0.341,0.561,3,-13.642,1,0.032,0.089,0.809,0.132,0.631,143.116,3gOWkjjJWAc5Hbnk3yhINq,161360,4
36,0.368,0.897,2,-5.243,1,0.0542,0.00186,0.0,0.243,0.357,128.538,6DK2HcUpvnOmTlGcemlkfQ,201813,4
37,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.0071,0.0754,0.918,129.804,1FTSo4v6BOZH9QxKc3MbVM,121160,4
38,0.398,0.866,1,-7.862,1,0.0438,0.0171,4.33e-06,0.0517,0.715,140.086,1SqY3rqLazvQlDz24GJ1TO,217293,4
39,0.53,0.461,9,-8.057,1,0.0235,0.0384,0.00315,0.0944,0.3,89.26,7KGO0B6kB5j9Fmu2KpE8fV,242960,4
40,0.58,0.782,5,-7.085,0,0.0338,0.000133,0.00115,0.31,0.496,143.475,7gjm1sq5ALU5svBSi9g178,217133,4
41,0.464,0.125,3,-14.192,1,0.0581,0.619,0.0,0.0691,0.25,126.143,079ohl6YZlZAJvOhpqunOI,218733,4
42,0.543,0.572,5,-13.124,1,0.0317,0.0685,0.00119,0.0823,0.533,113.312,17hdos7cv1vAvcfoTU4Pym,238120,4
43,0.558,0.982,10,-3.125,0,0.063,0.0227,0.522,0.117,0.69,109.369,1FNvrp5K02oThumS6gllzp,313667,4
44,0.317,0.571,9,-7.669,1,0.0283,0.158,2.95e-06,0.0848,0.234,163.036,0qmCWYu7hOvriyuqXfPw7I,240120,3
45,0.42,0.807,4,-7.992,1,0.03,0.0403,0.00952,0.218,0.704,94.582,3knlIGVH97AywBzVtF1Rpy,161707,4
46,0.512,0.813,6,-5.294,0,0.0428,0.0299,0.0,0.0765,0.597,108.798,2jlJVAqrN7bHsw7EwPOIIi,251266,4
47,0.532,0.662,2,-8.093,1,0.0314,0.0196,8e-05,0.425,0.368,110.698,7KKJZtuZyQZkis9uwXK6yr,219200,4
48,0.377,0.65,2,-5.902,1,0.029,0.00174,5.75e-05,0.107,0.365,180.074,6sVQNUvcVFTXvlk3ec0ngd,192467,4
49,0.445,0.887,10,-5.121,1,0.0463,0.000242,8.94e-05,0.456,0.332,102.441,5nvy5ir4RWTgI4hC8dnsQP,269840,4
50,0.252,0.872,8,-3.752,1,0.0777,0.00912,8.79e-06,0.109,0.399,126.938,3m1JFLpKLYgMi1jf6Bu16P,236360,4
51,0.634,0.877,4,-6.905,1,0.0607,0.152,0.0,0.328,0.749,138.388,3mqRLlD9j92BBv1ueFhJ1l,187040,4
52,0.247,0.89,11,-7.862,1,0.0534,0.00303,0.000251,0.12,0.505,198.133,5z6kCwTvyJb7MlgMPjXFy9,186533,4
53,0.495,0.594,8,-6.447,1,0.0291,0.0178,0.000243,0.215,0.428,93.445,1A7pz58VR2Lpc19c58QdSo,308386,4
54,0.686,0.936,11,-3.923,1,0.0571,0.22,0.0,0.0964,0.942,125.665,29capylmokCeuNAWqGitij,243667,4
55,0.438,0.428,7,-14.861,1,0.0263,0.0841,4.63e-05,0.138,0.209,94.864,1aLNpg2kKvUncflV8xE5AA,274760,4
56,0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,4QlzkaRHtU8gAdwqjWmO8n,215160,4
57,0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,7kXmJwrZGIhDaLT9sNo3ut,290493,4
58,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,1pKYYY0dkg23sQQXi0Q5zN,429533,4
59,0.467,0.481,11,-10.17,1,0.0233,0.034,0.0102,0.106,0.328,80.043,3drQLSnECw7QSHMysFqFx7,231733,4
60,0.502,0.114,0,-12.963,1,0.0366,0.961,0.172,0.124,0.221,79.046,4ndBp2Mm0oBNOdjyQvJ9jz,294213,3
61,0.705,0.735,9,-6.104,1,0.0259,0.415,0.000424,0.104,0.484,106.042,6est1Q03Q4hJLkrFilZ9gk,345067,4
62,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,2IZZqH4K02UIYg5EohpNHF,306427,4
63,0.53,0.592,9,-13.444,1,0.0309,0.189,0.00174,0.198,0.795,150.224,7mEGddVRDdESAibWOnbXoA,312240,4
64,0.576,0.963,0,-6.145,1,0.0548,0.0012,0.000762,0.37,0.75,111.738,1QdbOe3o38SdDOxgMSfRGd,239840,4
65,0.391,0.63,8,-5.685,1,0.0308,0.00326,1.59e-05,0.0991,0.242,147.587,5AB637hS20wvfb5tKG3C3O,171400,4
66,0.411,0.907,11,-8.67,1,0.0524,0.000483,6.8e-06,0.628,0.452,112.315,5xvVqECUVNTBGbnPEzqn3I,238507,4
67,0.563,0.162,10,-12.599,0,0.0358,0.948,1.19e-05,0.113,0.13,118.678,1qPLYFQSrJvXAGdlaogVAK,107160,4
68,0.408,0.484,4,-7.546,1,0.0348,0.462,6.88e-05,0.269,0.527,184.342,6Y3eSyYWYQCa4iXJTp29WM,148240,3
69,0.619,0.781,5,-7.455,0,0.0393,0.0243,0.000286,0.402,0.533,126.267,6XOINCZBv8Q7RXgNNiTwIN,236583,4
70,0.409,0.717,6,-7.75,1,0.0395,0.000578,0.0632,0.0827,0.311,169.212,4uPi47C1WcnhIbvCx4zCu6,188693,4
71,0.36,0.852,7,-7.294,1,0.0576,0.0121,0.0,0.246,0.698,143.689,59GIjxze4m7lutOfemmKvu,185267,4
72,0.684,0.694,3,-5.776,1,0.0375,0.000351,0.7,0.0496,0.882,121.342,53LZqMzQEnjBkFXPqOq0cD,140480,4
73,0.607,0.788,5,-6.736,1,0.0266,0.000526,0.000317,0.112,0.692,126.025,4e23vKHDVQXHvoqzXiYqUm,316053,4
74,0.522,0.074,7,-23.625,0,0.0598,0.929,0.765,0.108,0.342,135.298,52Bg6oaos7twR7IUtEpqcE,141280,3
75,0.722,0.489,7,-7.967,1,0.0299,0.183,0.572,0.0881,0.432,91.998,3LnQgPB7vk10dMauhjUkLp,246107,4
76,0.232,0.719,11,-6.255,1,0.0428,0.000118,0.000226,0.119,0.323,165.906,72TPbqNS18yOlXa5USPSSo,366267,4
77,0.736,0.439,3,-11.845,1,0.0396,0.222,0.218,0.31,0.432,80.493,6DJGcxLJlkK7egBtb8iu8o,223800,4
78,0.677,0.484,9,-10.506,0,0.0324,0.077,4.75e-05,0.135,0.697,123.534,79WrmdVsLbwRTUCiH7cPsa,247200,4
79,0.455,0.976,9,-3.757,0,0.0801,0.00274,0.623,0.0566,0.542,137.895,70LIe5IYE2TI8qqxePAoOR,195600,4
80,0.672,0.865,2,-4.83,1,0.0362,0.0401,2.31e-06,0.0996,0.886,119.997,1f36D2fxgU2Mk1TxS7WhjG,161293,4
81,0.79,0.675,11,-6.952,0,0.319,0.166,1.36e-05,0.103,0.363,90.961,6dEe0H4vjEyy2ukczkB25o,256198,4
