,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.796,0.807,10,-4.721,1,0.0438,0.0386,0.0,0.1,0.931,111.004,62ZsjsTf7MLdH0dbIAM54R,210697,4
1,0.809,0.555,0,-5.689,1,0.0617,0.481,1.46e-06,0.133,0.473,104.085,7IbQBMmRTzr6qAasixQ9bQ,219653,4
2,0.548,0.367,5,-9.271,1,0.0309,0.668,0.0,0.144,0.416,147.946,1kiylxwnw8R8rJoCDtubWM,200120,4
3,0.533,0.6,0,-5.329,1,0.0269,0.0243,0.0,0.0673,0.349,92.028,6OW9DM0XwDzdiIlKcTuPD3,226293,4
4,0.773,0.57,2,-10.356,1,0.067,0.692,0.000192,0.0948,0.362,112.059,1rDFKjc3N1o8REMY9jVBPh,200539,4
5,0.551,0.64,8,-7.607,1,0.047,0.271,0.00119,0.106,0.258,137.986,67Pa5FKcb3RnFtSXmBH6IZ,244573,4
6,0.475,0.385,5,-9.966,0,0.028,0.386,0.00348,0.0968,0.0845,99.997,7GXTUJVO24C8UVrdocU52T,323947,4
7,0.373,0.703,4,-5.803,1,0.062,0.0597,0.0,0.0715,0.221,123.909,1var9mNP1RLTlu8qVDji0F,240280,4
8,0.54,0.497,1,-11.965,1,0.0408,0.448,2.41e-05,0.111,0.29,100.992,1pDYCsbY4NkeQb8AvanZMj,210413,4
9,0.582,0.707,0,-5.739,1,0.0403,0.0399,1.08e-05,0.106,0.57,116.01,0JdIj8YUpJkftN6bVbEAr2,187707,4
10,0.682,0.589,2,-8.94,1,0.0596,0.414,4.69e-05,0.12,0.454,97.004,4MTAzJrRxvLxCOfHWU9ZiL,221979,4
11,0.627,0.592,6,-5.977,1,0.314,0.126,0.0,0.111,0.462,167.882,2wWboDFZJPWXVNlHUbdSVQ,197847,4
12,0.593,0.586,9,-5.541,1,0.0483,0.655,0.0,0.0904,0.417,148.1,67OCXWC93GcixTk3wYvX9c,241800,4
13,0.445,0.771,0,-4.607,1,0.0501,0.133,0.0,0.273,0.448,147.913,4m1lB7qJ78VPYsQy7RoBcU,226827,4
14,0.614,0.8,7,-4.995,1,0.0416,0.0146,0.0,0.0921,0.408,118.987,6lSKrLc95qy97lCE6CXSZb,251107,4
15,0.691,0.939,10,-3.149,0,0.0414,0.0464,0.0,0.326,0.645,115.002,0MLw3p1PWOsbDMwSzV8Gw0,228093,4
16,0.623,0.753,4,-5.371,1,0.0402,0.119,1.27e-05,0.161,0.713,75.99,1CX3zLl6r7KJpzzO1Ckulv,230808,4
17,0.461,0.673,1,-6.144,1,0.0383,0.0292,0.0,0.0821,0.242,110.108,4gOKl65mwqty8RGiokhv3h,270867,4
18,0.574,0.81,0,-5.813,1,0.0379,0.0193,0.0,0.284,0.326,89.989,3hSzCNU37Yfauxrdup4sxi,216453,4
19,0.542,0.632,11,-5.69,1,0.029,0.0226,3.09e-06,0.269,0.553,160.021,5Rv2Qybimpsp9hzFnMQBYN,195160,4
20,0.618,0.746,7,-5.144,0,0.0273,0.0176,6.15e-05,0.0936,0.5,127.052,4i73TuJFEmHsvzwWwmRaWQ,211787,4
21,0.293,0.181,2,-13.685,1,0.0359,0.805,0.000103,0.0884,0.309,171.492,0cqSEpg2nYbneh7RGNrDcp,206988,1
22,0.603,0.459,2,-9.122,1,0.0281,0.282,0.0,0.426,0.405,126.979,5vNQTqS0JToEWzlizaGzpy,226053,4
23,0.748,0.487,2,-9.248,1,0.0651,0.79,0.0154,0.144,0.495,96.648,3LJr3TanDnPqDHXWzet4Yi,207987,4
24,0.484,0.165,3,-13.016,1,0.0456,0.756,0.0,0.231,0.512,135.946,33AwnZl99mjxjNjMIbflbH,270681,4
25,0.487,0.568,11,-8.444,0,0.0395,0.811,0.000107,0.135,0.291,187.774,3DY5GOnDQXNKP0fNXcnW2U,214693,4
26,0.461,0.825,4,-6.465,1,0.0365,0.0033,7.86e-06,0.153,0.538,152.074,0ZgehEjqsRScwDPdb6kWkg,228960,4
27,0.421,0.733,0,-5.259,1,0.0338,0.00208,0.0,0.128,0.438,171.814,0kJSz8ENF9QUcBmhBvIROi,216991,4
28,0.661,0.841,0,-3.773,1,0.0418,0.411,0.0,0.159,0.786,111.997,2FYSON92zpz3iiDAmG2IMg,177658,4
29,0.507,0.518,2,-6.358,1,0.0252,0.295,1.77e-06,0.073,0.427,154.051,4PLgiDjCTg1wYAVZviPEuu,237573,4
30,0.645,0.727,1,-4.179,0,0.0492,0.156,0.0,0.282,0.152,110.723,5StojELSdCvj23qhF9OxDW,229067,4
31,0.436,0.114,0,-14.153,1,0.0307,0.932,7.89e-06,0.11,0.41,161.587,3vVRe4hWXAhC7Q5NNVvqPc,179670,3
32,0.607,0.298,8,-9.661,1,0.0288,0.571,0.0,0.109,0.29,114.788,5Jq4WWh3EKkxRfwAHiAMcS,254038,3
33,0.371,0.477,2,-7.627,1,0.0304,0.0518,2.78e-05,0.137,0.124,140.009,7zLrZg50t25YSwU1iDskbQ,340200,3
34,0.42,0.756,5,-5.327,1,0.0405,0.102,0.0,0.332,0.576,205.887,11S5G8taDSpsUiGYP4lKxm,183573,4
35,0.349,0.262,3,-9.361,1,0.0304,0.731,0.0,0.233,0.2,129.304,07M8OzJz2u11i4PeXs0iKu,250173,4
36,0.7,0.561,10,-6.054,1,0.0413,0.684,0.0,0.126,0.663,108.951,2Ar2dRIzmucQyL6xjYiCYo,209880,4
37,0.609,0.809,9,-5.351,1,0.033,0.0723,0.0,0.147,0.334,92.978,7FnhlEhknrA1qjMMlzJ69z,187134,4
38,0.231,0.238,7,-8.351,1,0.0308,0.808,0.000868,0.0931,0.0496,137.158,07vX2XhvGzxkHTaQ141AbB,171150,3
39,0.616,0.349,2,-8.228,0,0.0297,0.739,0.0,0.114,0.691,77.508,2OEnuXApFl7zqqbUY69RdH,249390,4
40,0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,754kgU5rWscRTfvlsuEwFp,208680,4
41,0.458,0.557,11,-5.125,1,0.0316,0.261,2.45e-06,0.11,0.0693,130.009,1TRibL6UoaiU3yEdqCQbgx,251640,4
42,0.35,0.332,3,-9.533,1,0.0279,0.806,1.86e-06,0.11,0.151,99.215,1vvKpTt15DT2xWA6mNcF6o,280867,4
43,0.538,0.507,9,-6.059,1,0.0342,0.394,0.0,0.0946,0.705,88.683,4gxT7DX1NVig7cnQBhSmiM,216612,4
44,0.539,0.356,7,-9.749,1,0.0321,0.764,0.00154,0.127,0.489,73.703,2YGu3QpHqj5AHtS8RzFQdW,186373,4
45,0.472,0.824,1,-6.241,1,0.0405,0.0301,0.0,0.0962,0.485,164.929,3NDDJKePW2oFn9mP2JWyo6,223445,4
46,0.309,0.387,10,-9.021,1,0.0286,0.135,0.0,0.112,0.124,69.063,40WDnUnzQL4XTo81vUJlKt,246462,4
47,0.649,0.507,11,-8.484,1,0.0266,0.623,0.000399,0.125,0.225,111.988,2VlvH2VwDr68KoSRp7CIDi,309708,4
48,0.491,0.792,6,-5.616,1,0.0381,0.111,2.25e-05,0.356,0.703,131.985,6tjDAG0A92Xyb7M0612fjn,197653,4
