,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.406,0.6,2,-7.956,1,0.045,0.131,0.0676,0.209,0.262,116.751,6uEDQ3D4Lx83fZwbgLn895,527133,4
1,0.582,0.343,5,-8.004,0,0.0428,0.735,0.0,0.125,0.462,88.144,16Po3i2Kcsy74jz0lp6fdJ,424640,4
2,0.506,0.493,8,-7.759,1,0.0427,0.798,0.00355,0.307,0.584,134.77,6ZgaUtMlUzUf7SqbUUnfbu,644013,4
3,0.623,0.403,5,-11.121,0,0.0426,0.451,1.13e-05,0.448,0.631,93.911,34xixFi5y3I5FIOH1ZWisx,396960,4
4,0.654,0.334,8,-12.662,1,0.0521,0.702,0.714,0.114,0.697,81.544,2oMaXY0yiWhAEWD7SutXh2,410667,4
5,0.418,0.227,4,-15.537,0,0.0379,0.912,0.822,0.0956,0.21,103.586,4N6JkrGD78eLooaTDmwo9s,395560,4
6,0.587,0.673,10,-7.858,1,0.0509,0.744,0.00618,0.0721,0.788,123.407,5f0n6K8hW2RIVXuZjxO0bu,385867,4
7,0.473,0.67,8,-7.756,1,0.0353,0.446,3.15e-06,0.0957,0.808,152.484,1dZHIbmuBDAwXfQOM4dyM3,625293,4
8,0.541,0.607,0,-8.435,1,0.0438,0.727,0.442,0.0997,0.754,104.96,0zQE77yszbyv61M4NboU2u,406267,4
9,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,4Vkk3iD1VrENHJEACNddvt,570720,4
10,0.551,0.551,3,-12.876,1,0.0446,0.769,0.861,0.105,0.485,120.212,3XcolyPDfgNsoEUyucOPrL,367440,4
11,0.517,0.151,0,-17.266,1,0.0373,0.705,0.00136,0.116,0.21,136.356,4vLYewWIvqHfKtJDk8c8tq,562640,4
12,0.62,0.324,3,-14.199,1,0.0606,0.682,0.00108,0.112,0.596,78.89,5rcEapnWT4NrPSFT5co106,445427,4
13,0.406,0.208,1,-13.767,0,0.0413,0.962,0.929,0.181,0.291,102.778,4WU6x0MauVlAkpV6aTX4FM,368107,4
14,0.416,0.201,8,-11.461,1,0.0379,0.975,0.803,0.107,0.372,165.869,6MXrGG7nff0FXBQJa5UF9P,339333,3
15,0.394,0.441,8,-14.237,1,0.0371,0.692,0.0375,0.105,0.629,90.058,3AJSnSiVDz37q85LP2Rop0,378960,4
16,0.334,0.806,1,-8.993,1,0.132,0.258,0.0,0.112,0.395,127.759,60HyLH6b6ClXi7jnT4XTZq,669267,1
17,0.428,0.0768,0,-17.412,0,0.0413,0.774,0.0487,0.123,0.112,107.712,013grywiX7Qu6WVfnJ1opa,308933,4
18,0.495,0.182,10,-11.116,0,0.0467,0.79,0.000368,0.129,0.203,112.89,5vb7At47uO0yPGfmYnAHuw,355333,4
19,0.398,0.527,4,-16.591,0,0.0297,0.713,0.934,0.119,0.353,118.504,6eimz6jvlZaPwtflDWCTa0,301867,4
20,0.519,0.379,9,-14.368,1,0.0353,0.407,0.288,0.161,0.598,139.749,2JdllRPH6a8NCpt2bpxpns,729760,4
21,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,1J9iVCaEriyoMXpj2XszhU,282320,4
22,0.476,0.251,9,-13.854,0,0.0278,0.769,0.774,0.0637,0.37,98.833,6f7r5i4xVwePkHDHwwMK75,354973,4
23,0.611,0.291,2,-18.392,1,0.0647,0.765,0.000133,0.0571,0.534,83.443,2EW1mFJaikQh0vxOoB7uGp,283740,4
24,0.303,0.0141,10,-19.759,0,0.0418,0.948,0.0944,0.0792,0.157,171.439,1hVRTl4yhWmGW7ImZoO22e,258266,3
