,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.819,0.736,7,-3.373,1,0.0912,0.202,0.0,0.224,0.622,92.056,1L9UBn6F0iY4HZeeH4teDZ,203632,4
1,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,7x4ASXYEKfQBCewcZhK776,189653,4
2,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,4uoR6qeWeuL4Qeu2qJzkuG,200198,4
3,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,0EhpEsp4L0oRGM0vmeaN5e,232253,4
4,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,4HYDUMY0xSpeBr0AMY9cUz,219048,4
5,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976,5cpJFiNwYyWwFLH0V6B3N8,214507,4
6,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,35UUpTmrcFXNIVIN26ujXl,247308,4
7,0.791,0.682,5,-7.328,1,0.158,0.175,0.0,0.0926,0.672,98.031,6AzKhCHOms83jvNVLsz0Bt,166851,4
8,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176.007,1mohfLaTJtB2RplHLQVM70,345241,4
9,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,3gD4J3RUHy4OUuZ3qAiaiG,217547,4
10,0.785,0.847,6,-3.182,0,0.0904,0.083,0.0,0.101,0.932,93.024,2pI0OyprOJssVYlqx9ZO3t,193187,4
11,0.848,0.637,9,-5.132,1,0.156,0.0413,0.0,0.0521,0.698,96.988,4ZRrLHqzhGRXYj2qcB4s5S,222680,4
12,0.76,0.658,7,-5.275,1,0.275,0.162,0.0,0.195,0.565,100.202,1pqnQ41XbfKjaFu6M0eGJp,157944,4
13,0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021,06s3QtMJVXw1AJX3UfvZG1,246000,4
14,0.734,0.775,8,-3.855,1,0.0614,0.186,0.000542,0.123,0.72,166.039,0JAZWvvqttGFm4UMDsPQXC,224187,4
15,0.66,0.503,9,-5.501,1,0.34,0.131,0.0,0.13,0.396,175.896,5cBrOhKDyiJF9bPGUHKkG0,161748,4
16,0.854,0.525,1,-4.426,1,0.214,0.819,0.0,0.146,0.63,97.054,6fmQjRuo7XvRFCK2qex5hQ,197587,4
17,0.786,0.811,8,-4.31,1,0.0836,0.122,3.99e-06,0.161,0.731,92.953,0j1VxrPkMyFGvz0jZzxUoZ,168052,4
18,0.694,0.796,6,-4.164,1,0.0565,0.48,0.000384,0.108,0.515,93.064,6yVkakCN460KOVol9ZazjH,212312,4
19,0.807,0.656,3,-4.395,0,0.105,0.0165,0.0,0.0693,0.89,83.943,3GtnId3Cm1Xa6joCj08nzW,185840,4
20,0.782,0.706,7,-4.337,0,0.19,0.0941,0.000208,0.115,0.855,173.899,2btKz4s1XrMn5VHe7xZJpi,212907,4
21,0.752,0.716,10,-5.2,0,0.0325,0.254,0.0,0.243,0.553,117.007,6C6mUonH6MNdSg5pw7kOc9,206760,4
22,0.793,0.782,4,-3.945,1,0.0582,0.447,0.0,0.124,0.81,143.86,34LI7rwi9H8w2S5KTHnv1M,191945,4
23,0.684,0.808,0,-2.737,1,0.061,0.0518,1.02e-05,0.0858,0.712,173.905,4K8cyoCDovlc4FvtUr2Hfx,174027,4
24,0.659,0.701,9,-4.107,1,0.164,0.0882,0.0,0.0866,0.623,91.97,15OjBeqNX3bShsGYQbteRv,180520,4
25,0.483,0.492,0,-6.591,0,0.295,0.603,0.0,0.323,0.66,144.511,5EbtodsuLbxrFDH6j5avVS,188213,4
26,0.785,0.74,1,-5.374,1,0.172,0.0205,8.28e-05,0.22,0.746,100.057,4cno0k9jDEFpLAQyHNjqVx,166265,4
27,0.621,0.918,1,-3.01,0,0.0552,0.0754,0.0,0.13,0.834,151.988,00QBHaaP4KUcjlmxWriMbC,205031,4
28,0.691,0.739,5,-3.09,0,0.229,0.422,3.95e-06,0.11,0.884,83.897,4RJz8NfIe09gpKMiRUWKhJ,248345,4
29,0.722,0.757,0,-3.592,0,0.0782,0.17,1.31e-05,0.0657,0.763,167.987,5kbps8unnGH4raN5WduZuq,202308,4
30,0.565,0.781,10,-3.358,0,0.061,0.364,0.0,0.0984,0.943,129.959,5kQre7o8ky5DXeEPcyaCR1,192698,4
31,0.66,0.693,3,-4.773,0,0.189,0.0522,0.0,0.153,0.814,167.07,6uo9cHjtDSQcfKNaUYHAWZ,176267,4
32,0.898,0.677,11,-4.608,0,0.127,0.132,0.0,0.132,0.958,143.913,3KvK89jd2onVdthF4hZNN4,202483,4
33,0.799,0.614,7,-7.257,1,0.15,0.131,0.0,0.0845,0.719,139.972,2qhcTAKmpFNXBEu1FYo69t,265280,4
34,0.683,0.787,8,-2.962,0,0.0841,0.425,0.0,0.136,0.792,173.941,2TL9UACmry1qTiurBc2PjV,206897,4
35,0.696,0.678,4,-5.893,0,0.0735,0.582,2.22e-06,0.134,0.346,91.985,4pXW6ZAHBz7ODXTRKklWrM,219202,4
36,0.853,0.909,7,-2.473,1,0.229,0.0522,0.0223,0.129,0.803,112.987,4QfZYDhGZc0T2RDvGiI69E,178407,4
37,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4w47S36wQGBhGg073q3nt7,129371,4
38,0.863,0.669,6,-5.952,0,0.282,0.111,0.0,0.0569,0.947,164.062,5DoLhdU27owX1NMrKLUbUl,260545,4
39,0.723,0.741,7,-5.324,0,0.0663,0.271,0.0,0.612,0.639,172.002,7xiZayz1eFWnzLPztL80VQ,220465,4
40,0.758,0.844,1,-4.427,1,0.0695,0.0325,0.0,0.333,0.373,99.955,4VwbXijbE0bSA0HzTvsqzH,216000,4
41,0.763,0.58,8,-6.196,1,0.144,0.0466,1.6e-05,0.154,0.608,175.937,5iw28wvyHgj4ppOu5AdcEU,212011,4
42,0.638,0.434,7,-6.5,1,0.0318,0.765,0.0,0.266,0.632,121.9,30brAfx64jxQMeUNUgDFaj,186870,4
43,0.905,0.686,0,-3.152,1,0.0664,0.0907,0.0,0.266,0.963,103.013,11EnQRgRMJwMAesfkB5pnu,155825,4
44,0.598,0.734,10,-3.982,1,0.116,0.208,0.0,0.272,0.621,179.885,1GNSWpe2SB30zYGbNTD96b,180867,4
45,0.712,0.599,5,-6.342,0,0.112,0.412,2.15e-05,0.103,0.588,179.788,0FktnzDqjClqU6iqOZVEs2,178000,4
46,0.755,0.854,9,-4.288,0,0.0517,0.0249,1.58e-05,0.389,0.588,105.038,3MR5Lnhd6uCIgLXSK7nmyX,235603,4
47,0.911,0.632,1,-2.94,1,0.118,0.201,9.26e-06,0.0791,0.832,99.988,4MWb6mltydQn84NrTm7Gpl,207249,4
48,0.67,0.865,0,-2.469,1,0.035,0.0164,7.4e-06,0.12,0.671,97.008,3SDvcxPcU7BlV1dAne4dWM,212840,4
49,0.773,0.753,10,-4.173,1,0.06,0.122,4.8e-05,0.102,0.56,179.983,0HMTIZ3iQ6QNjBaD9IE7ZZ,213200,4
50,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,2mKouqwAIdQnMP43zxR89r,267093,4
51,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
52,0.817,0.733,2,-6.009,1,0.145,0.0152,4.31e-05,0.107,0.833,127.056,13plQdOoWSSXPRUSZc5FuM,237120,4
53,0.811,0.88,8,-2.972,1,0.0628,0.254,0.00146,0.0475,0.915,124.12,7cpFmkNmh3MM0WqXPSbs9f,267000,4
