,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983,0DmAvNCAK08oCi7miSZUIY,218359,4
1,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,06kxa3al7bUqRRo5nAFduZ,222400,4
2,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,2Wo6QQD1KMDWeFkkjLqwx5,176219,4
3,0.715,0.658,11,-4.304,0,0.106,0.162,0.0,0.0742,0.795,158.024,44l9nnCVvOQBbWG6tDViKl,172399,4
4,0.65,0.738,4,-6.46,0,0.158,0.0539,0.0,0.206,0.336,119.827,3vNsOdrDl6UbCv03oqLvUx,171291,4
5,0.494,0.945,0,-3.608,1,0.299,0.0131,2.45e-05,0.135,0.398,178.986,4aRQ4BgRUPTIpDWHQLxrar,235367,4
6,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,27ycaQnQAxaPiyeg3nr2aB,223279,4
7,0.557,0.585,8,-6.201,1,0.0431,0.036,0.0,0.176,0.305,63.392,4rVW6XqAsSaf5vOwc8FREW,196907,4
8,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,1IIKrJVP1C9N7iPtG6eOsK,176960,4
9,0.624,0.628,4,-6.582,0,0.0408,0.0112,0.0191,0.0814,0.772,114.556,0roOLcll6SSTYZwsQFmXqP,147071,4
10,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,0v1x6rN6JHRapa03JElljE,199054,4
11,0.558,0.889,8,-3.945,1,0.102,0.191,0.000387,0.328,0.716,170.102,2HvtedoEeymVWrBPyAMNwZ,213547,4
12,0.458,0.802,1,-3.914,1,0.0416,0.0155,0.0,0.0706,0.51,145.135,1TF8rXy87zrnpBlS9TLykA,218402,4
13,0.486,0.567,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,3kwgqoBqTwoAH4nT29TYrq,211254,4
14,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,3jjujdWJ72nww5eGnfs2E7,207133,4
15,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,2GiJYvgVaD2HtM8GqD9EgQ,218107,4
16,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,6Qs4SXO9dwPj5GKvVOv8Ki,171030,4
17,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,59qrUpoplZxbIZxk6X0Bm3,190306,4
18,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,6cx06DFPPHchuUAcTxznu9,166028,4
19,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,5f1joOtoMeyppIcJGZQvqJ,191406,4
20,0.885,0.685,11,-6.429,0,0.0627,0.33,0.0,0.148,0.937,99.954,2D0dj3hVkRQJCp63cxCPEx,144000,4
21,0.579,0.839,8,-5.409,0,0.0703,0.0145,3.04e-05,0.201,0.589,158.141,0l4AReW2LuX0yStPfgQgSR,177173,4
