,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.774,0.9109999999999999,11,-5.377000000000001,0,0.0849,0.0381,0.0136,0.122,0.47700000000000004,124.012,6T9cSQMRmd1sJC6UJLYywZ,189798,4,56,False
1,0.7290000000000001,0.9390000000000001,8,-4.811,0,0.0417,0.0101,0.00434,0.10800000000000001,0.747,125.008,1s37NcntsTnvtgxoYMOq2n,246967,4,50,False
2,0.741,0.807,2,-6.562,1,0.0451,0.0563,0.747,0.35100000000000003,0.11800000000000001,124.06,4t8ilMPQ7E7S6pB4i4Kf2I,203407,4,70,False
3,0.645,0.96,4,-6.497000000000001,1,0.0399,0.0773,0.006409999999999999,0.594,0.637,127.999,6KpGyJIyA75C0XyAkIcpZn,193132,4,64,False
4,0.794,0.8959999999999999,5,-1.514,0,0.0677,0.00371,0.615,0.0876,0.5,125.999,46rZgRYU1H5Xnv0n75OGis,190476,4,65,False
5,0.708,0.904,6,-4.9,1,0.0408,0.0863,0.00017900000000000001,0.17800000000000002,0.75,125.00200000000001,1MOGJQsVeaRcXY6heJz5UZ,157466,4,57,False
6,0.9279999999999999,0.6809999999999999,9,-8.554,1,0.0728,0.026000000000000002,0.00373,0.0491,0.878,126.988,3239OdTeQMBphegyNvF8F3,172285,4,70,False
7,0.9259999999999999,0.951,6,-5.531000000000001,0,0.0924,0.00232,0.452,0.313,0.9179999999999999,123.98700000000001,1gRQxbfL4ULWyTosgXSbWT,206588,4,71,False
8,0.909,0.877,2,-6.683,1,0.11699999999999999,0.0174,0.000466,0.0761,0.363,121.99799999999999,76AMW7PQUbQZucnM2NHZO5,192984,4,51,False
9,0.529,0.871,9,-6.792000000000001,0,0.047,0.0475,0.00392,0.0948,0.23399999999999999,123.959,7lWs5MulBdRI3ZAxChj5Pt,170490,4,62,False
10,0.7120000000000001,0.664,11,-8.026,1,0.0345,0.0416,0.00010400000000000001,0.0668,0.7809999999999999,122.014,1CRy08G60mS5jvhB27xMpS,204514,4,71,False
11,0.764,0.772,1,-7.061,0,0.0739,0.00643,0.0066099999999999996,0.125,0.902,123.016,0dj5O3Nc6ONKWNd8mErvND,238049,4,65,False
12,0.598,0.833,2,-6.332999999999999,1,0.0497,0.0172,0.0,0.544,0.46399999999999997,125.00399999999999,17fPLuA4TttWwfNcf833J1,219052,4,62,False
13,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.36700000000000005,127.936,6b1RNvAcJjQH73eZO4BLAB,207619,4,70,False
14,0.805,0.8690000000000001,1,-4.343999999999999,1,0.0549,0.0021899999999999997,0.799,0.122,0.7859999999999999,124.014,25V0TNA8cZLVzLQpHa6rB1,175255,4,64,False
15,0.585,0.956,0,-3.577,1,0.0564,0.0285,0.0,0.213,0.593,120.00399999999999,0Quhzm1B1Z9I5S9RP6BgLh,205704,4,64,False
16,0.7709999999999999,0.731,7,-6.574,1,0.0409,0.00165,0.633,0.217,0.635,123.02600000000001,5lXY6PTuWXOludKy4zDQwM,189268,4,67,False
17,0.6970000000000001,0.9209999999999999,5,-4.283,1,0.0424,0.0946,1.9e-05,0.159,0.722,123.988,2ZEq4HT450Ye9IFGPTl9qV,190955,4,79,False
18,0.642,0.909,0,-5.119,0,0.0282,0.00283,0.00057,0.0552,0.633,123.01899999999999,41hcstGzn592p7hyWMfOjv,225366,4,63,False
19,0.6990000000000001,0.805,0,-7.309,1,0.0771,0.0145,0.23399999999999999,0.0425,0.322,124.01100000000001,0JQGZ9tXOaXHnca75JDz3J,301935,4,58,False
20,0.7879999999999999,0.7070000000000001,7,-4.878,1,0.13,0.0061,4.48e-05,0.139,0.31,126.02600000000001,7tks4SpHKvcPiMb6cql9Er,179500,4,55,False
