,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.704,0.618,1,-6.134,1,0.235,0.00342,0.00101,0.152,0.667,179.913,1K6s5g4URy2UfS4HNBPhGY,163149,4
1,0.789,0.501,5,-5.433,0,0.0746,0.209,0.0,0.191,0.694,108.989,170yBuCB3FvhMG2DMSQ4IG,168933,4
2,0.764,0.573,6,-4.385,1,0.0484,0.109,0.0,0.324,0.685,110.006,2ak79ho44RiDi9DFrqYgfq,160909,4
3,0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4S4Mfvv03M1cHgIOJcbUCL,133680,4
4,0.687,0.8,1,-9.229,1,0.0342,0.00364,0.00595,0.126,0.88,125.035,1kMOQJum4Eav6L9qF5Ep2U,326640,4
5,0.837,0.768,11,-6.232,0,0.0947,0.0479,1.27e-06,0.106,0.636,100.009,6L5gbuha1LkC25Wt2o5wlO,187910,4
6,0.691,0.474,10,-8.742,0,0.0583,0.569,0.000626,0.099,0.381,143.783,2KoHxhRyWxJzA0VafWd5Nk,179917,4
7,0.405,0.155,0,-12.775,1,0.056,0.921,1.2e-06,0.116,0.152,68.694,6cnurFx9S8dHnzEwfvEdLF,188800,4
8,0.575,0.72,4,-10.72,0,0.0539,0.0956,0.0587,0.18,0.326,124.987,6lhuBaygBqxBjdcXrM685k,216634,4
9,0.784,0.476,0,-7.857,1,0.235,0.0565,1.66e-06,0.0895,0.177,97.046,7iQTLGot8Ru5sST09ZjOXY,232335,4
10,0.329,0.165,0,-10.35,1,0.0351,0.924,6.69e-05,0.105,0.228,84.617,1ZMr9dH3uCv8y4QHD6QjcD,229429,4
11,0.543,0.781,1,-4.854,0,0.0988,0.0879,0.0,0.0868,0.522,150.174,1FlAMUpKrjY4NdaqsXjl1w,195200,4
12,0.847,0.742,8,-5.515,0,0.247,0.397,0.0,0.135,0.56,133.989,4no0eHn4fEB7tN1yZSXMma,148653,4
13,0.843,0.716,9,-7.348,0,0.0901,0.0105,0.0238,0.182,0.838,126.02,3f2o6TEwCjagPiapt77Hia,186190,4
14,0.613,0.308,9,-10.534,1,0.035,0.795,0.0,0.124,0.638,146.885,5UiBcv3HW0hIshBrOQxY2q,161939,4
