,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.332,0.8290000000000001,10,-6.649,1,0.047,0.00221,0.0579,0.335,0.36,143.197,5k7RUvywwUAl7Dq6qEXR8c,298373,4,50,False
1,0.259,0.92,1,-6.615,0,0.0751,0.0008550000000000001,0.635,0.0787,0.177,142.2,2Dqgj2nE6RwZKocWsWqXcG,373920,4,47,False
2,0.251,0.7509999999999999,2,-6.995,1,0.0449,0.0118,6.46e-06,0.223,0.225,122.066,73fIjW2iGt0eeWClhkZI6P,231933,4,31,False
3,0.42200000000000004,0.92,1,-4.874,0,0.0884,0.00013700000000000002,0.0172,0.24100000000000002,0.39299999999999996,76.196,3rNRmQETcPHauTPFqS7z3T,245840,4,37,False
4,0.603,0.895,1,-6.4879999999999995,1,0.0326,0.0221,0.0047,0.0857,0.508,121.01,64Kk49W8HFh22diWSBVxCr,246560,3,46,False
5,0.44299999999999995,0.415,9,-8.808,1,0.0294,0.00464,0.00123,0.125,0.239,122.522,7iLR3XqK3d5WbHeurAB1d8,335933,4,45,False
6,0.331,0.885,0,-6.167000000000001,1,0.057999999999999996,0.00864,4.96e-05,0.10099999999999999,0.39899999999999997,174.043,37loR0ac9T655PNfPIpHmA,136267,4,15,False
7,0.23,0.9790000000000001,2,-3.84,1,0.0931,7.35e-05,0.0541,0.109,0.22,183.61900000000003,7f3tPmsyBQc0sua0SAINlZ,235467,4,36,False
8,0.505,0.659,3,-12.145999999999999,1,0.0256,0.0321,0.009859999999999999,0.11599999999999999,0.461,101.53,4EutGBgzvoJ1MXN1LNfMOD,262600,1,15,False
9,0.436,0.8190000000000001,0,-6.71,1,0.036000000000000004,0.0171,0.00882,0.11699999999999999,0.405,144.26,51R5mPcJjOnfv9lKY1u5sW,268333,4,58,False
10,0.124,0.77,9,-3.969,1,0.0559,6.47e-05,0.0,0.32299999999999995,0.358,174.328,0FgSTUS1Dbw3D1JUsWUh7E,167400,4,29,False
11,0.35,0.958,4,-4.5969999999999995,1,0.0949,0.000436,0.0,0.314,0.555,190.50099999999998,4dKu1HkVL1xh96F1JfDTrn,199573,4,44,False
12,0.43200000000000005,0.9390000000000001,8,-3.3689999999999998,1,0.18,0.0104,0.0,0.22699999999999998,0.522,177.863,4w7hIjpuEfvMPiyEgdqlf6,222080,4,49,False
13,0.23600000000000002,0.847,2,-4.534,1,0.0481,0.00011,0.000324,0.0985,0.376,168.707,5l2P0TBREso46wxFq4jQrI,222040,4,45,False
14,0.47700000000000004,0.6409999999999999,4,-7.254,0,0.0295,0.0239,0.000212,0.184,0.215,108.09,34q1w3Eh0vocZj0FOtVQAS,288067,1,40,False
15,0.344,0.809,0,-8.984,1,0.124,0.000563,0.28800000000000003,0.0935,0.39399999999999996,125.281,3X6BvcNz8QSYaXLqJ3uHfw,211653,4,32,False
16,0.376,0.868,2,-4.981,1,0.0418,1.17e-05,0.00596,0.0755,0.47100000000000003,90.979,3ZfoS2MfHC8aRldwqlknfS,170293,4,28,True
17,0.391,0.902,9,-5.361000000000001,1,0.0569,4.99e-05,0.00037799999999999997,0.0884,0.611,174.967,5hns2g1le2bQDkQaUJPRvB,210667,4,21,False
18,0.233,0.848,11,-6.322,1,0.0461,0.039,1.87e-05,0.135,0.223,177.44,7fYabANyBAwb9TcUxvTQ0s,217480,4,28,False
19,0.527,0.653,0,-7.24,1,0.0317,0.000629,0.685,0.11800000000000001,0.8109999999999999,76.257,0j3m9AfsZfanscT1uLrVk1,175107,4,38,False
20,0.47200000000000003,0.907,7,-6.386,1,0.0545,0.000691,0.000532,0.102,0.376,107.294,5UGOuPyoMT5XHNA75LJlQE,122880,4,41,False
21,0.39,0.885,11,-6.98,0,0.0549,0.0014,2.11e-05,0.371,0.5920000000000001,83.661,3RRDWqEDP3045W8EP7xnY4,153800,4,29,False
22,0.146,0.6759999999999999,7,-6.947,1,0.0383,0.0642,0.857,0.0667,0.18,170.515,7GgXkT1jlg4MN9KYo3ULwK,229133,4,27,False
23,0.392,0.8909999999999999,6,-6.132999999999999,0,0.0485,0.000144,0.000165,0.091,0.348,191.717,0tlgt22cueiCMotxCMc6Cf,256640,4,32,False
24,0.316,0.885,9,-3.412,0,0.221,0.0106,0.000332,0.0964,0.298,77.775,3LTwneFzQwPFSI1O8QfNXf,325520,4,24,False
25,0.5489999999999999,0.7240000000000001,2,-5.51,0,0.0783,0.0121,0.0,0.499,0.675,142.295,5kgwBCYQtJ3vS0RpCrI6jG,210200,4,34,False
26,0.33399999999999996,0.9790000000000001,6,-4.529,0,0.11599999999999999,3.78e-05,7.11e-05,0.342,0.307,163.803,1hxLx1gmWfsCSpDp8cJOl0,234600,4,28,False
27,0.45799999999999996,0.937,6,-6.143,1,0.0726,0.0481,2.2800000000000002e-05,0.157,0.276,160.211,5rH5kb3vapjDifLxgK3P4Q,265973,4,27,False
28,0.462,0.946,0,-5.3629999999999995,1,0.045,0.00045099999999999996,0.7020000000000001,0.08,0.545,162.10399999999998,3Y82AcAH1o2NW04YYLXBZK,283027,4,25,False
29,0.336,0.8390000000000001,2,-7.597,1,0.043,0.11599999999999999,0.00965,0.0991,0.42,145.094,1B6gt0Nvi3XmGvGrrdADkm,244188,4,19,False
30,0.314,0.838,4,-6.676,1,0.0336,0.00247,0.0013599999999999999,0.114,0.428,146.00799999999998,2HmdQtNJDraTM9JNQCXC0K,245560,4,19,False
31,0.47700000000000004,0.94,1,-6.247000000000001,0,0.0591,0.00409,0.06,0.122,0.341,160.101,5bDDMJLKJrQLeMj2FpKTXd,303600,4,20,False
32,0.298,0.79,0,-7.202999999999999,1,0.0269,0.0104,0.512,0.272,0.20600000000000002,104.208,2w1khC9oLwJ9q3WLPjcbmY,200547,4,17,False
33,0.264,0.927,2,-5.659,1,0.08199999999999999,0.00395,0.000133,0.0962,0.111,150.024,53sk4XbQHveSGDXq0k8asW,263440,4,20,False
34,0.428,0.9159999999999999,2,-7.75,1,0.0805,0.00037999999999999997,0.001,0.10400000000000001,0.24100000000000002,114.819,2kVc8s89MliCutzKkXXROb,231307,4,23,False
35,0.654,0.741,9,-5.364,1,0.0306,0.0159,0.00035099999999999997,0.0748,0.716,135.97,2bhMvw4ZILdxeEVt9bXHAq,250467,4,31,False
36,0.335,0.996,11,-6.017,0,0.0808,1.98e-05,0.7709999999999999,0.384,0.16699999999999998,100.71799999999999,74qgrn0YAo3cgRcH4xQBsA,194533,4,27,False
37,0.655,0.703,1,-5.218,0,0.0296,0.0102,0.0,0.41100000000000003,0.893,112.04700000000001,7jATtiR7Sjfke3qKdA5HEd,177027,4,35,False
38,0.247,0.7859999999999999,2,-10.022,1,0.0508,3.5499999999999996e-05,0.0050100000000000006,0.106,0.449,143.386,0wHxHYnNvnhjX4f399sjMz,261320,4,15,False
39,0.53,0.7929999999999999,4,-7.662000000000001,1,0.0382,0.0132,0.0,0.23600000000000002,0.603,101.258,5BcarBozJi3Gv0ncP721y5,206351,4,27,False
40,0.34,0.9570000000000001,2,-3.872,1,0.063,0.000164,0.00433,0.376,0.22399999999999998,161.357,2MPndJjBcn555aZQyuvt3S,349427,4,26,False
41,0.326,0.54,2,-8.254,1,0.0391,0.000207,1.51e-06,0.115,0.426,93.443,3HlL9LqIdf1v4C3BIK9dQA,206640,4,25,True
42,0.7090000000000001,0.8370000000000001,7,-7.273,1,0.0779,0.10099999999999999,0.511,0.114,0.502,125.485,3TKWCQMU7xYEEslFXsj51i,274720,4,44,False
43,0.3,0.627,4,-9.7,0,0.0286,0.00132,0.0166,0.62,0.214,87.31700000000001,3qAkXCzLSEHiypXxoLhl8K,150627,4,16,False
44,0.594,0.752,0,-5.879,0,0.028999999999999998,0.0052,1.91e-05,0.0735,0.345,101.98,2gupkqB7ID1d4x1aXXSWIM,327800,4,17,False
45,0.215,0.963,7,-5.04,0,0.07400000000000001,1.7e-05,0.71,0.358,0.355,167.21900000000002,0cKYw9UErFhmPkOVsCU9L0,195947,4,22,False
46,0.516,0.8340000000000001,11,-5.704,0,0.0372,3.04e-05,0.0312,0.152,0.564,117.65,1xNDXKQPbd49Ik9MxlwJ94,241800,4,12,False
47,0.22899999999999998,0.9420000000000001,2,-5.754,1,0.0424,0.0033299999999999996,0.868,0.0812,0.305,106.46600000000001,7mZjpi86XWnEBiu8VMR3GI,190893,4,39,False
