,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.6579999999999999,0.5710000000000001,8,-11.972000000000001,1,0.0432,0.106,0.0,0.0286,0.985,148.964,7cfILJJHW9ZSkbM2ywLhiN,174960,4,53,False
1,0.637,0.612,1,-7.297999999999999,1,0.0661,0.0314,0.00032599999999999996,0.155,0.711,76.295,6O4FoKdYi42CFjfd0MM04n,191160,4,52,False
2,0.664,0.6859999999999999,5,-6.172999999999999,0,0.174,0.006809999999999999,0.0,0.135,0.529,86.352,4o6ZuLYr04LqFQNiSGVK4u,258653,4,54,False
3,0.758,0.7859999999999999,4,-4.897,0,0.10800000000000001,0.156,0.0,0.0658,0.7859999999999999,83.495,5Wwr2S7QZTR5PVJn6jhgdk,234587,4,61,False
4,0.6829999999999999,0.7240000000000001,5,-4.436,0,0.0988,0.0909,0.0,0.33899999999999997,0.742,80.932,0HBEM5CMp4Yg3Ne7orJzBX,208467,4,50,False
5,0.9390000000000001,0.431,11,-12.267000000000001,0,0.299,0.153,4.99e-05,0.13,0.7290000000000001,123.671,0fF0HtZGSXZgGrC6b7Pq4I,214533,4,0,False
6,0.775,0.652,4,-7.881,0,0.0583,0.149,0.18,0.0458,0.6709999999999999,137.866,155vJ1VsYZ87Gldi1gNss8,255800,4,54,False
7,0.825,0.433,5,-13.085,0,0.337,0.0585,0.0,0.0618,0.687,127.686,0GGPUysb8GpCG76dQH63te,200960,4,55,False
8,0.846,0.5429999999999999,10,-8.244,1,0.188,0.113,1.49e-05,0.0849,0.772,80.812,1TBjuwSsm731S048oMDehz,166213,4,47,False
9,0.731,0.535,2,-8.849,1,0.0251,0.0021899999999999997,0.0,0.10400000000000001,0.67,107.286,3JvaxYLkDFudjoHYIW8FvC,191480,4,0,False
