,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.608,0.76,4,-5.851,0,0.242,0.0129,0.0,0.332,0.366,168.21099999999998,6nTcn8CybBcx0t7IaXEJ6O,251640,4,50,False
1,0.767,0.759,6,-6.516,1,0.11699999999999999,0.0513,0.0,0.31,0.677,89.98899999999999,7FWuzwapuKHTEyDJIcQOw3,213027,4,54,False
2,0.637,0.521,4,-6.959,1,0.109,0.155,0.0,0.0945,0.562,83.896,3QE7ObGjkt1kYnhLvZPRUy,261427,4,65,False
3,0.622,0.573,1,-6.934,0,0.0547,0.26,0.0,0.17300000000000001,0.617,127.132,6De63WRULDaa1fxOyLilnv,259493,4,55,False
4,0.6829999999999999,0.552,10,-5.138999999999999,1,0.10800000000000001,0.5479999999999999,0.0,0.221,0.519,98.946,08fhbfRSg7eEH0IZT7pB6a,215960,4,54,False
5,0.7440000000000001,0.406,8,-6.377999999999999,0,0.0722,0.113,0.0,0.0316,0.725,89.94200000000001,72Oh7sKJUEINkQnoPO4kHS,234707,4,54,False
6,0.436,0.5329999999999999,2,-4.266,0,0.0472,0.265,0.0,0.332,0.366,130.768,5tFDgH6do20IXdSoNBAmXK,327693,4,62,False
7,0.777,0.493,2,-6.516,1,0.126,0.18100000000000002,0.0,0.10800000000000001,0.82,134.086,4VKnkoNNM6yTb4cXXX3wqD,232840,4,61,False
8,0.594,0.40399999999999997,7,-7.577999999999999,0,0.0346,0.27,0.0,0.0732,0.37799999999999995,135.99,0quNCQBS4g9P8V2pbP0Q5U,261133,4,52,False
9,0.588,0.614,5,-5.857,0,0.0726,0.31,0.0,0.321,0.59,121.29899999999999,0JKjqJLo145b1mqA6MnhIl,228267,5,60,False
10,0.677,0.531,7,-7.683,0,0.0327,0.21899999999999997,0.0,0.17300000000000001,0.57,91.104,0ceeRNqbOzRiGE42KWSrRa,294093,4,63,False
11,0.7390000000000001,0.9470000000000001,11,-1.915,0,0.0412,0.009470000000000001,2.99e-05,0.326,0.763,88.009,7f1Dmr246cJ9uQYdbplTbh,261933,4,67,False
12,0.828,0.7490000000000001,9,-7.553999999999999,1,0.0556,0.0942,0.000171,0.114,0.953,115.053,29VphGf9Vgmvj9OBFOHZWh,201733,4,48,False
13,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,0W4NhJhcqKCqEP2GIpDCDq,255333,4,75,False
14,0.552,0.706,1,-8.117,0,0.363,0.484,6.49e-05,0.07400000000000001,0.721,167.468,2aBEchhqPDgnvjPhCgzHSx,177373,4,52,False
15,0.6920000000000001,0.6559999999999999,10,-4.81,0,0.151,0.358,0.0029,0.0929,0.629,105.994,0pLmfgIANOX9FB9uZDU43x,248933,4,55,False
16,0.6829999999999999,0.664,5,-4.2330000000000005,0,0.0332,0.5379999999999999,0.0,0.0671,0.866,106.991,56z2qI0gKcPthQF6l8AW3E,266307,4,67,False
17,0.47600000000000003,0.40700000000000003,4,-9.238999999999999,0,0.0368,0.247,0.0,0.14400000000000002,0.226,178.25799999999998,6CUTYJQKcDwcQ63EulINUo,242467,4,60,False
18,0.753,0.516,6,-5.164,1,0.0308,0.191,0.0,0.275,0.826,122.01899999999999,0EQuu6hyNACWI7LT7N5pRv,257787,4,59,False
19,0.775,0.731,8,-5.446000000000001,1,0.134,0.18899999999999997,0.0,0.129,0.821,131.105,5qhlC4Rzals34zxovrPzKp,256427,4,61,False
20,0.725,0.594,2,-5.242999999999999,1,0.0496,0.0939,0.0,0.22,0.25,91.794,1yTfczdv9qGCfJpZF3y4yQ,220867,4,53,False
21,0.66,0.536,10,-8.786,0,0.29,0.233,0.006690000000000001,0.111,0.775,159.963,5Y0E3dOeynKuLDAXu0t0Bg,237800,4,61,True
22,0.516,0.69,6,-6.944,1,0.0436,0.165,0.0,0.126,0.39799999999999996,129.833,6gA3b0M69d0SzuZqWtZXWD,250880,4,54,False
23,0.529,0.659,7,-5.318,1,0.0629,0.0232,0.0,0.114,0.36,138.196,0Ri0LzOMJmqi9HGZE5cRYV,257427,4,61,False
24,0.826,0.6559999999999999,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,0IvTGWbNnCiUi9IOF7ye3F,251040,4,58,False
25,0.618,0.552,8,-6.8629999999999995,1,0.0981,0.17600000000000002,0.0,0.252,0.586,81.975,6BIcjFZIVDZxNAcofRFPx4,242773,4,68,False
26,0.684,0.455,5,-8.216000000000001,1,0.0307,0.215,1.08e-06,0.263,0.48700000000000004,97.956,174rZBKJAqD10VBnOjlQQ3,216893,4,70,False
27,0.8059999999999999,0.721,10,-5.167000000000001,0,0.215,0.19699999999999998,0.0,0.209,0.7809999999999999,94.96700000000001,2RqZFOLOnzVmHUX7ZMcaES,238333,4,67,False
28,0.602,0.785,7,-6.129,1,0.0578,0.245,0.0,0.19,0.565,84.038,5cU50IAoAFF7qFWOtdbEjr,214480,4,60,False
29,0.387,0.64,11,-5.817,0,0.081,0.107,0.0,0.319,0.617,59.989,1vwUsp52io0AGQ5yv470IC,245933,4,70,False
30,0.727,0.515,2,-6.553,0,0.0289,0.24100000000000002,3.74e-06,0.124,0.695,89.488,6CbcdeTQKj0qTaZTt0xkdk,262227,4,63,True
31,0.569,0.596,8,-6.486000000000001,1,0.171,0.457,8.99e-05,0.205,0.757,93.134,4iuNZTcvT9diFySSzVsnVS,217347,4,70,False
32,0.721,0.836,8,-3.972,0,0.20600000000000002,0.11199999999999999,0.0,0.235,0.508,126.279,3VEZvzr84WVnoorZ4tlBSw,244053,4,58,False
33,0.451,0.55,1,-8.137,1,0.262,0.0108,0.0,0.0737,0.594,80.001,2aIdVb8v9KTpEZnftkz2mD,227960,4,76,False
34,0.657,0.629,6,-4.938,1,0.0782,0.19399999999999998,0.0,0.254,0.726,93.985,2QsZVnbWVSjKMXK6K3uRBL,266893,4,73,False
35,0.69,0.76,0,-4.7780000000000005,1,0.0587,0.0678,0.0,0.184,0.46799999999999997,89.958,1Ug1mV9h5qVSs4rvvnQWux,247933,4,59,False
36,0.7290000000000001,0.6579999999999999,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,3wKKkGVn7cVSfgPeYYIiXG,250667,3,70,False
37,0.6559999999999999,0.578,7,-8.97,0,0.0922,0.235,0.0,0.11800000000000001,0.556,94.514,3ibKnFDaa3GhpPGlOUj7ff,256733,4,76,False
38,0.8370000000000001,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,3LmvfNUQtglbTrydsdIqFU,201400,4,70,False
39,0.6829999999999999,0.653,7,-6.343999999999999,1,0.201,0.311,1.02e-06,0.0801,0.8640000000000001,96.905,5HIH7viDwuewZiv6Hs75ys,232560,4,56,False
40,0.867,0.42,1,-9.478,1,0.16699999999999998,0.00328,3.18e-06,0.0887,0.36700000000000005,121.66,1Pqv7l6vxjBxd5fx4bWchC,306693,4,46,False
41,0.7609999999999999,0.413,4,-10.137,0,0.0681,0.113,0.00197,0.09,0.733,167.947,0TNAK7LNCi7AKDZAbhWQXr,331560,4,48,False
42,0.6970000000000001,0.684,7,-5.6339999999999995,1,0.0897,0.00923,1.4999999999999999e-05,0.136,0.596,91.882,2ZmUMKX5cJQfQj12SmGYtg,232733,4,36,False
43,0.69,0.654,1,-7.852,0,0.0322,0.00867,0.0,0.07200000000000001,0.7090000000000001,134.607,0UH3m8uxVdQDCtG61CKMXE,248000,4,37,False
44,0.7290000000000001,0.434,3,-9.111,0,0.079,0.0473,1.23e-05,0.314,0.743,94.411,60NvAO9lx0KmBNAVHIlWN6,243360,4,58,True
45,0.8540000000000001,0.5429999999999999,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.03200000000001,5PMKzsUsTpZZGsCcJBuhP2,243733,4,63,True
46,0.705,0.511,6,-7.422000000000001,0,0.20199999999999999,0.125,1.72e-06,0.153,0.581,82.01100000000001,1CAw3ethNuSDPf3E7luSFF,229773,4,59,False
47,0.695,0.579,0,-5.066,1,0.0325,0.000479,0.0,0.0556,0.726,88.95700000000001,1cjBan0t4eBk2Y5j17hdyf,218187,4,54,False
48,0.715,0.833,2,-5.379,1,0.10800000000000001,0.0063100000000000005,0.0,0.16399999999999998,0.612,95.48700000000001,3jDdpx9PMlfMBS5tOBHFm9,213093,4,73,False
49,0.67,0.5820000000000001,1,-3.574,1,0.22399999999999998,0.3,0.0,0.0845,0.675,181.84099999999998,5kHgrRO3hMDPehtH9VhYQc,207467,4,54,False
50,0.72,0.7190000000000001,7,-4.571000000000001,0,0.0882,0.185,0.000128,0.522,0.899,88.98700000000001,0yNCFwihschpOwSgK31f2O,261400,4,53,False
51,0.6829999999999999,0.6609999999999999,1,-12.823,1,0.0459,0.13699999999999998,0.557,0.0772,0.7070000000000001,96.956,3lRgzwd3g1TewI4zjgbh9V,281333,4,53,False
52,0.66,0.873,10,-6.952000000000001,1,0.0461,0.0152,0.00324,0.331,0.8640000000000001,111.87200000000001,40xz60ciGIpsRtDqRfPKBE,332307,4,51,False
53,0.71,0.8,1,-7.141,1,0.04,0.00223,0.21100000000000002,0.0455,0.61,110.211,36tOpYpo1omPwIab8ebEkW,378493,4,51,False
54,0.7140000000000001,0.735,7,-8.03,1,0.0373,0.0179,1.56e-05,0.23800000000000002,0.7040000000000001,107.822,47uDHNJpq4zUfOM0RFdEbV,272427,4,47,False
55,0.726,0.501,1,-13.884,0,0.154,0.155,0.0,0.0893,0.5820000000000001,128.099,6x53SJOV1PAZ8ZUwH4NFXQ,330945,4,62,False
56,0.845,0.5760000000000001,11,-5.15,0,0.153,0.139,0.0,0.0764,0.461,127.641,1Oi2zpmL81Q0yScF1zxaC0,256027,4,66,False
57,0.713,0.37799999999999995,7,-9.04,0,0.0298,0.00561,0.00186,0.0845,0.29100000000000004,99.055,5u3rsmRYRSKJpFHXPT4p07,260067,4,58,False
58,0.65,0.496,5,-12.349,0,0.0331,0.305,0.0,0.33,0.5760000000000001,115.775,3RNvMhYFEwpCgPnDGKR5MB,300907,4,56,False
59,0.601,0.74,9,-5.043,0,0.0573,0.0299,0.332,0.0937,0.672,94.01299999999999,5u3FywQOPJ5O7ZAjm31cnq,226800,4,63,False
60,0.863,0.47600000000000003,8,-10.019,0,0.0932,0.0307,0.0515,0.0706,0.7829999999999999,115.459,3upCmUgdchN3u0vkedbC5S,285827,4,51,True
61,0.745,0.754,7,-9.52,1,0.0423,0.0035,5.14e-05,0.0547,0.7140000000000001,105.569,3KNH9AoufxNYVdZTWpADsK,275293,4,45,False
62,0.767,0.731,8,-8.109,0,0.114,0.10300000000000001,0.00364,0.102,0.6779999999999999,90.99700000000001,5OQO6NEs89flntUWPtXUiG,257960,4,55,False
63,0.713,0.6779999999999999,5,-3.525,0,0.102,0.273,0.0,0.149,0.7340000000000001,138.009,7H6ev70Weq6DdpZyyTmUXk,271333,4,77,False
64,0.7120000000000001,0.45399999999999996,7,-9.029,1,0.0478,0.0162,1.23e-06,0.111,0.659,82.619,0b0vpt8e3AkV3GG8HoUEJm,212040,4,47,False
65,0.72,0.657,11,-6.8229999999999995,0,0.295,0.0262,2.33e-06,0.209,0.657,172.168,5xE7sFTlv2yrG9mmhDSpdq,295387,4,60,False
66,0.7979999999999999,0.792,10,-5.667000000000001,0,0.0448,0.0103,0.00031,0.309,0.7979999999999999,94.96700000000001,1vf3GldTchj0ytKoyLgMrZ,247440,4,56,False
67,0.797,0.722,10,-10.630999999999998,0,0.0422,0.012,0.00761,0.0474,0.8190000000000001,110.095,0Vp56gzB5TWuZ1o3owrHu5,286373,4,46,False
68,0.655,0.8370000000000001,11,-6.04,0,0.0723,0.0262,5.85e-06,0.0454,0.66,91.014,6Vas6h9lB5mmeVDXdFqlQA,253613,4,60,False
69,0.769,0.7809999999999999,0,-5.472,1,0.0797,0.11900000000000001,0.000371,0.0506,0.826,95.02,3XG801WWhqC753dekEBkMt,269973,4,65,False
70,0.767,0.551,0,-7.327999999999999,1,0.0616,0.00364,0.0,0.0451,0.7959999999999999,100.904,7MQywXGHEev7JmwwIzMcao,275707,4,65,False
71,0.892,0.488,3,-9.748,0,0.040999999999999995,0.0316,0.0,0.0284,0.7859999999999999,101.89,5hzdcPTFKEuRVuN8cTkcvl,228902,4,43,False
72,0.893,0.433,11,-5.88,0,0.396,0.33,0.0,0.395,0.675,86.01,5HQwoi47vjLNqaOc329VNM,256667,4,0,False
73,0.79,0.608,6,-7.151,1,0.0363,0.522,0.00491,0.193,0.958,94.166,67ZorjDM25q7bETfLbHdfS,282600,4,58,False
74,0.687,0.583,7,-10.224,1,0.064,0.22399999999999998,0.0,0.106,0.21,95.137,0BTGqPIW9acmhhUmENkq5r,303903,4,62,False
75,0.7609999999999999,0.639,5,-7.577000000000001,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,47TqCCnEliDp8NRDyIQoQq,219120,4,68,False
