,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.41200000000000003,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.42200000000000004,89.74,0hCB0YR03f6AmQaHbwWDe8,333893,4,77,False
1,0.43799999999999994,0.805,8,-6.237,1,0.0624,0.00255,5.6899999999999994e-05,0.0842,0.564,113.25299999999999,2aoo2jlRnM3A0NyLQqMN2f,240800,4,78,False
2,0.31,0.7,9,-5.678,1,0.047,0.011000000000000001,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,255493,4,84,False
3,0.505,0.836,5,-7.3839999999999995,0,0.10099999999999999,0.0103,0.0771,0.295,0.764,159.66899999999998,1RJeiAIwR9pZBgJA8ndZLL,204480,4,69,False
4,0.6759999999999999,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.34100000000001,66lOpKgTyFjOrac4S1s94g,269360,4,0,False
5,0.5329999999999999,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,2EqlS6tkEnglzr7tkKAAYD,259947,4,79,False
6,0.742,0.833,2,-6.462999999999999,1,0.115,0.079,0.0,0.384,0.816,113.375,39shmbIHICJ2Wxnk1fPSdz,188987,4,79,False
7,0.489,0.7240000000000001,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,2KmEgiY8fQs0G6WNxtzQKr,300400,4,0,False
8,0.38,0.76,9,-10.960999999999999,1,0.0378,0.00298,0.0294,0.10400000000000001,0.491,99.43700000000001,24NwBd5vZ2CK8VOQVnqdxr,274133,4,75,False
9,0.9329999999999999,0.528,5,-6.472,0,0.162,0.11199999999999999,0.32899999999999996,0.163,0.7559999999999999,109.975,57JVGBtBLCfHw2muk5416J,214653,4,73,False
10,0.413,0.725,3,-5.787000000000001,0,0.0324,0.369,2.1600000000000003e-05,0.0905,0.44,124.618,5uvosCdMlFdTXhoazkTI5R,429760,4,73,False
11,0.545,0.64,4,-9.937000000000001,0,0.22399999999999998,0.00249,0.0304,0.196,0.606,80.544,70YvYr2hGlS01bKRIho1HM,230480,4,75,False
12,0.55,0.8240000000000001,2,-5.9879999999999995,1,0.0334,0.44799999999999995,0.000127,0.366,0.777,114.512,7MRyJPksH3G2cXHN8UKYzP,214733,4,75,False
13,0.273,0.9520000000000001,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.47200000000000003,100.271,3YBZIN3rekqsKxbJc9FZko,405640,4,78,False
