,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.175,0.00759,7,-35.071999999999996,1,0.0454,0.9740000000000001,0.925,0.113,0.0838,70.872,6RuFOroO9VO0aMGEzirLHk,133500,4,69,False
1,0.187,0.0911,0,-28.802,1,0.0489,0.9440000000000001,0.9209999999999999,0.10400000000000001,0.359,66.282,0MrDqmqbP0xS9sGedtiuAC,164125,4,71,False
2,0.133,0.00512,9,-33.295,1,0.038,0.993,0.851,0.0954,0.0495,67.818,0kKOC50fPTnqmrYvtJInsT,151750,4,70,False
3,0.12,0.018000000000000002,2,-30.883000000000003,0,0.0357,0.977,0.863,0.11900000000000001,0.0924,68.249,5CC8QT7TuttcXXSlj5cx2T,191000,4,68,False
4,0.209,0.0219,5,-25.95,1,0.0344,0.9540000000000001,0.938,0.10400000000000001,0.0358,78.336,3tCBeat5YZBwLf61yoQJ9v,112312,1,69,False
5,0.324,0.00249,0,-34.247,1,0.0351,0.9940000000000001,0.946,0.11,0.0362,67.725,7zoNjIq4DZadcFOxwKvrlC,237861,3,68,False
6,0.16399999999999998,0.00569,9,-35.348,1,0.0445,0.9359999999999999,0.934,0.0954,0.163,73.934,7map9ciIR1obUQ4dOKo9IY,168250,3,67,False
7,0.24,0.00495,7,-33.827,1,0.0385,0.995,0.892,0.146,0.0962,70.405,4wwtlq6dqi0ztt989n4yiQ,161000,5,68,False
8,0.18600000000000003,0.0296,0,-27.904,1,0.0381,0.977,0.85,0.1,0.0523,66.486,667lSDCBFUOfBpnRjW1SHa,212777,5,62,False
9,0.17,0.0907,4,-27.98,1,0.0402,0.9440000000000001,0.6759999999999999,0.0947,0.032,124.083,5IRmwahDW9Du2lJMpCHeFj,238095,4,62,False
10,0.182,0.0175,0,-28.019000000000002,1,0.0426,0.9520000000000001,0.8740000000000001,0.113,0.0468,72.382,60ysGM6q5txCY4J5Vk5FTP,179400,1,62,False
11,0.0672,0.0115,0,-30.287,1,0.0452,0.987,0.904,0.1,0.0358,75.441,24Q4s34r5lTO9bCkdZnNaO,157497,3,62,False
12,0.158,0.0027600000000000003,9,-35.317,1,0.0496,0.96,0.9129999999999999,0.10099999999999999,0.187,71.954,1aTm8TO1G472gJR3c4g9Iv,220447,5,61,False
13,0.223,0.134,2,-23.105,0,0.0502,0.8690000000000001,0.8740000000000001,0.102,0.11,72.77,0T8mD2KTy3PQfiWdHlsEBL,176250,4,61,False
14,0.218,0.0135,9,-30.351,0,0.0411,0.975,0.8909999999999999,0.107,0.0461,127.484,111z9TkkoGcVODDNHYRLd2,187375,4,61,False
15,0.17600000000000002,0.0327,7,-31.7,1,0.0555,0.99,0.905,0.109,0.0545,69.567,54IZYicWqjVsicv07CaP3m,212000,5,68,False
16,0.18600000000000003,0.0113,10,-36.853,0,0.0388,0.987,0.963,0.1,0.154,64.657,6JMuZsTQprhBrbywStSwer,178000,4,66,False
17,0.191,0.122,0,-22.429000000000002,0,0.0458,0.95,0.889,0.0961,0.0335,65.449,19SLzhOkxgb3nns5m2qp93,155943,3,66,False
18,0.17800000000000002,0.0301,5,-30.206999999999997,1,0.0381,0.988,0.93,0.109,0.172,62.79,0ivVJooq6VM3NibR2PpWtr,175000,4,66,False
19,0.25,0.007409999999999999,2,-31.293000000000003,0,0.0374,0.995,0.9359999999999999,0.11199999999999999,0.0767,71.311,2mXs5X2hDss3gdOAwaWgl7,207000,3,66,False
20,0.146,0.0436,10,-28.951,1,0.0431,0.909,0.935,0.122,0.0611,139.534,6AEMRuYsKv69womNo3qpmS,203500,3,64,False
21,0.163,0.0416,5,-29.601,1,0.0407,0.978,0.8340000000000001,0.11199999999999999,0.0875,62.137,4rmmrBFMAgKPodbKPBIMKp,213750,4,64,False
22,0.152,0.18899999999999997,7,-20.153,1,0.06,0.973,0.95,0.0844,0.0798,67.061,7n9VYCn2kax80iFDnP3owN,234000,4,64,False
23,0.18100000000000002,0.00235,9,-39.141999999999996,1,0.042,0.995,0.772,0.111,0.102,69.995,0DKa36fiJjoRInV60vHWry,258500,4,64,False
24,0.0923,0.0257,2,-30.954,1,0.0427,0.878,0.575,0.0855,0.10300000000000001,64.47,3TBlhRMVYhU1rF907RC9JG,170500,4,65,False
25,0.20800000000000002,0.00762,11,-35.606,0,0.0386,0.995,0.713,0.0912,0.193,71.172,0Q1y8Inh5CnoSENHEeNuLC,198000,3,64,False
26,0.22399999999999998,0.147,7,-23.304000000000002,1,0.037000000000000005,0.94,0.9590000000000001,0.0849,0.0378,65.524,6BHSLFa3gVZQPYHcHsIWAY,225000,4,65,False
27,0.354,0.121,9,-23.910999999999998,0,0.0352,0.9440000000000001,0.87,0.0898,0.0506,134.917,7j0rOyP9heljOUoUuFTr1Z,203113,4,61,False
28,0.287,0.0886,10,-26.54,0,0.0328,0.877,0.8320000000000001,0.1,0.21899999999999997,100.07600000000001,4LNHbuE2OgsQeVu0j0q0sO,196800,4,60,False
29,0.182,0.0195,4,-33.873000000000005,1,0.0347,0.846,0.9279999999999999,0.111,0.0376,71.361,72h583lkdV6HhI5PiNkDEU,152727,5,60,False
30,0.0685,0.00465,2,-34.411,0,0.0498,0.961,0.883,0.109,0.0378,76.78699999999999,62w7vY3oBAnoEe8YZVui50,229737,5,63,False
31,0.0614,0.0376,0,-24.090999999999998,1,0.0497,0.84,0.732,0.111,0.0337,59.507,5mdvqfYB4Efy14X88LtTB5,187200,4,63,False
32,0.11699999999999999,0.11599999999999999,0,-25.656999999999996,1,0.0376,0.685,0.894,0.133,0.0745,70.436,3i9yFRj5GHDs0XclLOVbkL,163200,4,60,False
33,0.187,0.0813,0,-24.372,1,0.0365,0.9229999999999999,0.895,0.105,0.0349,72.648,435xpWs0hfZnFv9BrDvx6a,180000,4,67,False
34,0.142,0.0412,8,-22.866,1,0.0466,0.963,0.813,0.129,0.0369,67.3,63yQS5uf762DJHLssPlrNw,162625,4,66,False
35,0.21,0.00385,9,-37.141,0,0.0348,0.992,0.95,0.0738,0.114,107.116,1tQKUYjY3h950XByYm0ZAf,178402,4,65,False
36,0.309,0.025,3,-26.125999999999998,1,0.0462,0.99,0.9309999999999999,0.0924,0.0637,66.46300000000001,1S252DWEYC5Fy7WfwFeRZF,145475,5,66,False
37,0.071,0.00897,0,-30.08,1,0.0429,0.9890000000000001,0.888,0.129,0.0579,75.72399999999999,6zgklsgTYXw9pVHY2oOG81,198000,5,66,False
38,0.17800000000000002,0.205,2,-18.045,1,0.0444,0.941,0.953,0.105,0.039,127.789,0ZeJPTDWrekMCTMrQ4bqtE,208165,3,65,False
39,0.0664,0.00692,10,-33.73,0,0.0434,0.981,0.937,0.10800000000000001,0.07200000000000001,73.711,4vF5CLuFgNo6o3Rt2FrNoA,188000,4,64,False
40,0.0602,0.0873,0,-25.05,1,0.0445,0.965,0.866,0.107,0.0359,64.171,3OqcOAdUlLunxWhIQoI1cY,229404,3,64,False
41,0.233,0.228,5,-21.068,0,0.0363,0.922,0.941,0.11599999999999999,0.0641,96.78299999999999,7L2Jb9DnmWEFFqWRdlfEgz,208000,4,59,False
42,0.0962,0.0541,0,-25.214000000000002,1,0.0398,0.976,0.9590000000000001,0.16699999999999998,0.0588,174.739,71mN9aVMlm4vBZ6YzKPKeR,175814,3,60,False
