,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.607,0.7170000000000001,5,-10.603,0,0.0371,0.17,4.55e-06,0.032,0.821,124.57600000000001,2vVpjZxlSiqR5wr2YeZPB2,397093,4,53,False
1,0.46799999999999997,0.833,4,-5.847,1,0.0324,0.006540000000000001,0.000332,0.326,0.884,131.248,76TpWFiK5YCgw1hy26DWZp,264413,4,67,False
2,0.541,0.361,2,-12.248,1,0.0246,0.29,0.38,0.0651,0.491,94.68299999999999,0Ov9Hh2ygoGCkwTXMRYRcp,298893,4,52,False
3,0.479,0.601,7,-8.806000000000001,1,0.0318,0.0832,0.0014199999999999998,0.11,0.669,124.96600000000001,1H4idkmruFoJBg1DvUv2tY,313027,4,72,False
4,0.6629999999999999,0.491,9,-15.126,0,0.0633,0.442,0.00207,0.105,0.645,100.626,40lm5PFVQopOYaIXmyWNS9,285707,4,54,False
5,0.365,0.33799999999999997,2,-13.405999999999999,1,0.0322,0.735,0.0,0.10400000000000001,0.446,79.241,52VIdyKqp1pJRSyUQaxKUA,187000,4,69,False
6,0.409,0.833,4,-9.994,0,0.0397,0.292,0.158,0.161,0.428,132.233,3QmUhaY5KZiOuaUH8H71LG,253267,4,59,False
7,0.6990000000000001,0.782,4,-5.202999999999999,1,0.0567,0.569,1e-05,0.0921,0.97,164.817,0Z97JEXHiXXHpc4blFKQc6,183067,4,1,False
8,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,0qdQUeKVyevrbKhAo0ibxS,281227,4,76,False
9,0.609,0.624,7,-11.717,1,0.0292,0.0396,0.000168,0.27699999999999997,0.691,123.191,4RFqi5JQduiSlRZCVlUDGH,184333,4,55,False
10,0.605,0.574,2,-10.536,1,0.0377,0.5589999999999999,0.113,0.0684,0.5429999999999999,129.44899999999998,6rovOdp3HgK1DeAMYDzoA7,350267,4,73,False
11,0.38799999999999996,0.33799999999999997,10,-10.054,1,0.0328,0.652,3.72e-06,0.248,0.47700000000000004,177.78400000000002,2RlgNHKcydI9sayD2Df2xp,303373,4,81,False
12,0.434,0.885,4,-7.367000000000001,1,0.0396,0.204,0.0,0.0811,0.843,93.999,46MX86XQqYCZRvwPpeq4Gi,235173,4,67,False
13,0.5589999999999999,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.7759999999999999,0.609,156.295,5T8EDUDqKcs6OSOwEsfqG7,209413,4,82,False
14,0.674,0.795,7,-7.461,1,0.0424,0.517,0.0,0.0673,0.8759999999999999,147.959,14nBn3kUcfhDnGyKRUrVHr,181160,4,2,False
15,0.6970000000000001,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,7kv7zBjMtVf0eIJle2VZxn,180027,4,70,False
16,0.8009999999999999,0.446,10,-14.605,1,0.0735,0.74,0.038,0.0832,0.925,97.898,13Mzsb8VzRSZ5w3pM48cn6,213000,4,66,False
17,0.75,0.955,9,-7.337999999999999,1,0.109,0.47,0.0361,0.073,0.963,99.339,1tFcIERJBVvo4bmtLNSC8W,163093,4,0,False
18,0.841,0.703,10,-9.45,0,0.0564,0.11699999999999999,0.00025,0.0511,0.9390000000000001,105.79299999999999,3lHLh7um7wGHjBlBVJMA2R,271640,4,0,False
19,0.7190000000000001,0.615,0,-13.674000000000001,1,0.122,0.0345,0.0492,0.0573,0.961,170.888,1TB0dZqFRQsnf4fLLLRKQV,283573,4,56,False
20,0.843,0.48,11,-11.574000000000002,0,0.0492,0.28,0.000782,0.10800000000000001,0.762,101.993,2BydLQAh7CUIFvSEqAMc4x,180493,4,65,False
21,0.78,0.722,2,-8.559,0,0.0602,0.24600000000000002,0.009470000000000001,0.22,0.9129999999999999,93.042,1cH5gmAdX31JANDnooSbRB,263947,4,48,False
22,0.5379999999999999,0.9690000000000001,11,-5.626,0,0.0906,0.41700000000000004,0.0015400000000000001,0.11900000000000001,0.9279999999999999,138.65200000000002,0MHXrqn909p0LRTPsNsGEi,165790,4,69,False
23,0.488,0.754,5,-7.95,0,0.0381,0.0015400000000000001,2.42e-05,0.6779999999999999,0.664,88.369,74JdR9aXE6I74oS1BVRsvb,197160,4,65,False
24,0.6,0.843,8,-7.455,1,0.0351,0.018000000000000002,0.19899999999999998,0.34,0.9159999999999999,102.323,65aeHyw8GdHFwmEvdSns21,212695,4,58,False
25,0.867,0.73,9,-6.605,1,0.0496,0.45,0.0143,0.0817,0.917,132.57,7hzY0LHz8KdEr1PowHhbdu,346133,4,0,False
26,0.649,0.679,2,-12.515,1,0.0316,0.46399999999999997,0.00121,0.33899999999999997,0.971,126.867,2ymeOsYijJz09LfKw3yM2x,220573,4,66,False
27,0.794,0.42700000000000005,11,-15.492,1,0.028999999999999998,0.33399999999999996,1.04e-05,0.0703,0.7509999999999999,105.73200000000001,0SjnBEHZVXgCKvOrpvzL2k,213400,4,65,False
28,0.617,0.696,4,-12.739,1,0.0282,0.0155,0.000199,0.10800000000000001,0.9,111.13600000000001,1hwN2eAwsXgktvw9Qe8TrP,239760,4,58,False
29,0.7759999999999999,0.8270000000000001,0,-5.626,1,0.0291,0.401,0.115,0.39,0.966,111.66799999999999,7MPnvkKvXQw7KuGcL9Q65S,245373,4,39,False
30,0.47100000000000003,0.494,7,-10.407,1,0.0312,0.387,0.0944,0.617,0.373,79.255,1Qa0Y05al633fG8f9Peytc,229827,4,67,False
31,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.9570000000000001,107.383,7GVUmCP00eSsqc4tzj1sDD,205933,4,77,False
