,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.571,0.94,1,-3.637,1,0.0883,0.0114,0.0128,0.572,0.555,149.959,3R66wUZIEdERFwwV5OlheX,252800,4
1,0.688,0.988,9,-5.907,0,0.0404,0.000667,0.00904,0.0407,0.926,124.993,1NkZiKrhiBeqGrTeYz3QGs,248280,4
2,0.559,0.856,0,-4.122,0,0.0621,0.00815,0.0,0.113,0.276,127.997,32hvlKjjOhc15tnVmNk4wE,209062,4
3,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,14ngWWxvUSnIMXgF6rzSk1,156960,4
4,0.757,0.82,10,-4.999,1,0.0406,0.00426,0.421,0.173,0.656,128.012,2nHBfIdQ4ndFNaWilLdBUN,216797,4
5,0.778,0.72,8,-9.01,1,0.0594,0.000193,0.895,0.0896,0.249,131.99,106nK9OvcGurIN0XbcbtEH,257608,4
6,0.554,0.866,11,-3.649,0,0.0325,0.00262,0.000148,0.238,0.319,125.087,3mCWozLIaOzbYzyshABNwD,187330,4
7,0.534,0.765,1,-3.151,1,0.0338,0.0915,0.00107,0.225,0.117,127.978,5llPdGZJjJFJv9aL6ZaiLY,172520,4
8,0.577,0.978,1,-4.002,1,0.0466,0.000355,0.391,0.335,0.143,124.997,3E5Go2swucT0A6NmqOEChM,204480,4
9,0.707,0.966,1,-9.627,1,0.0546,0.000505,0.902,0.365,0.435,123.986,1vzLApTIhHx6RozofAh7nF,190161,4
10,0.768,0.918,11,-5.169,0,0.102,0.00117,0.879,0.0699,0.397,125.006,5LlxlDtfgb3uhCt7ryKcGa,173293,4
11,0.702,0.844,6,-4.739,1,0.0508,0.129,4.31e-05,0.139,0.788,126.036,73AA7MGpI602u0T9SyL6uu,185714,4
12,0.727,0.932,0,-5.247,1,0.098,0.00774,0.83,0.0824,0.157,132.991,3Wf6hVbr3YWCWt9py5OzDy,453068,4
13,0.602,0.951,0,-3.969,1,0.0699,0.00116,0.609,0.392,0.345,125.005,40mYZdW4XYsfVU4D1L3cXx,151020,4
14,0.697,0.965,9,-3.126,1,0.0976,0.0165,0.412,0.263,0.249,127.972,4BGdsEktsCbCvIlg6kw3YP,121981,4
15,0.765,0.94,6,-9.784,0,0.0605,0.0597,0.932,0.106,0.0528,135.009,5uGAsQOyfMih2F9Zk8TkYH,384387,4
16,0.699,0.929,9,-3.721,0,0.0741,0.0362,0.0,0.266,0.311,120.06,1G7ByVLXg8GLq9bbCkuPyi,152000,4
17,0.584,0.865,8,-5.951,1,0.0321,0.00112,0.433,0.122,0.0743,126.003,5HFPK8mcO6BGPZNeZPZI5L,163968,4
18,0.475,0.954,11,-0.6,1,0.218,0.0348,0.312,0.312,0.383,135.12,087acFd7OaiMlXqhUktQYy,142667,4
19,0.561,0.834,11,-4.725,1,0.254,0.00703,9.79e-06,0.161,0.251,150.248,45sMPP2UiIo5ktwMu7smEt,183254,4
20,0.529,0.981,1,-1.293,1,0.134,0.00217,0.0207,0.495,0.447,155.073,52wqMbmCqeTw37jd4zFAWr,199742,4
21,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,2Wo6QQD1KMDWeFkkjLqwx5,176219,4
22,0.729,0.788,10,-4.832,0,0.0908,0.0703,0.0,0.115,0.857,118.039,3GYlQmwfBDo7imFyGPhrl7,159536,4
23,0.685,0.933,1,-3.67,0,0.0527,6.64e-05,0.555,0.0716,0.776,127.979,6m5JQ8osGRHPqoRRbiRiEE,139000,4
24,0.639,0.925,6,-5.408,0,0.036,0.000435,0.942,0.341,0.183,128.003,1M0hRg4ccFGMqi00ITrxNv,165000,4
25,0.369,0.988,4,-5.827,0,0.0624,9.65e-05,0.937,0.104,0.648,138.02,04Xk2v2vvMetrbbWV6uVUZ,211196,4
26,0.488,0.911,4,-6.692,1,0.0468,0.0198,0.109,0.0962,0.125,139.967,5fTSndfVfAcTQYX28s1qMH,288000,4
27,0.128,0.975,4,-7.288,0,0.054,0.000175,0.78,0.312,0.0651,138.96,4pgwo5wHSrpbNpwFn1x45x,210582,4
28,0.536,0.821,8,-5.353,1,0.0897,7.61e-05,0.00443,0.619,0.36,127.991,3pFs5g6H6twH454xbaxHDM,191413,4
29,0.574,0.845,8,-6.58,0,0.102,0.0468,0.783,0.327,0.336,164.011,5qKVcFWolHOWPupR077TbN,237252,4
30,0.652,0.973,6,-3.294,1,0.0475,0.000525,0.26,0.339,0.594,125.989,7JWphoiRArEz95JRGjI7KA,196190,4
31,0.468,0.903,4,-5.026,0,0.101,0.00421,0.0,0.365,0.366,76.101,0Kaai4pEUw3hmnVHW3R5IW,232105,4
32,0.649,0.893,7,-5.641,1,0.0349,0.00444,0.42,0.222,0.378,130.034,5dXZhZbDHWu6zwXkssFQcs,252920,4
33,0.85,0.838,2,-3.833,1,0.114,0.000682,0.0455,0.0348,0.726,124.026,24mAiaFiKP55r6IITNB2As,266263,4
34,0.673,0.839,3,-4.242,1,0.0433,0.0284,0.00272,0.192,0.653,126.014,24BBzfOsyK6YELZSo0ILNG,173333,4
35,0.769,0.684,10,-6.888,1,0.0384,0.00174,0.033,0.0967,0.485,127.988,14EmhOZrnJq1Z7peI3m51a,382919,4
36,0.804,0.857,1,-6.814,1,0.118,0.0534,0.824,0.086,0.848,126.001,49tMnLt1iXNT6QBOsepFyg,179304,4
37,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,33gwZOGJWEZ7dRWPqPxBEZ,199758,4
38,0.742,0.888,6,-5.058,1,0.107,0.0237,3.57e-06,0.24,0.692,101.994,45L9CK9Zis1QM4LlkGpX9B,182941,4
39,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,6EDO9iiTtwNv6waLwa1UUq,200221,4
40,0.689,0.754,11,-4.935,0,0.145,0.0114,0.000178,0.0319,0.712,98.017,4DXkg0aahmbBuTdINKZugg,215992,4
41,0.935,0.71,11,-5.085,0,0.158,0.0769,1.92e-06,0.173,0.635,100.009,4zGtfOglDBfVUypabBwIjQ,168507,4
42,0.736,0.737,7,-11.033,1,0.382,0.00203,0.00304,0.0847,0.405,128.061,0ZMuyIprUNwjhwhZC5tlQe,315013,4
43,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4w47S36wQGBhGg073q3nt7,129371,4
44,0.778,0.727,1,-6.115,0,0.0837,0.0212,0.0,0.101,0.218,119.972,46hDiH4YvAWXE04GskkIHS,152263,4
45,0.813,0.615,10,-5.624,0,0.132,0.061,0.0,0.654,0.321,111.039,4JB0EAT4BkLShTyTt50FmO,231067,4
46,0.731,0.894,2,-4.081,0,0.105,0.016,1.89e-06,0.527,0.544,121.989,2GpLgm5YGr8ocNEh1VWczP,205574,4
47,0.755,0.93,1,-3.975,1,0.0387,1.63e-05,0.853,0.14,0.215,144.033,0on2i3aXyFzIthn5wzWh41,120000,4
48,0.789,0.832,1,-3.68,1,0.0615,0.0218,3.56e-06,0.0849,0.597,100.02,2ZSHH750nQpUVHjoe3iu2U,148260,4
49,0.417,0.998,5,-1.292,1,0.396,0.00449,0.00414,0.112,0.337,149.878,5QRJqjJg9LpuI3UjdpX5G7,217600,4
50,0.741,0.893,0,-4.832,0,0.221,0.144,0.0,0.311,0.763,125.971,3w11aMZLqp0Wx7viPz0bjc,147143,4
51,0.662,0.861,9,-4.759,0,0.306,0.154,0.0,0.377,0.254,92.047,7MRCoIgpn1if1BcH9QpI9G,230906,4
52,0.833,0.639,0,-3.825,0,0.0881,0.0392,4.24e-05,0.162,0.653,146.996,3srQQxcIZO3PxtOJ83BmDM,164898,4
53,0.656,0.97,6,-0.584,0,0.154,0.0186,0.000923,0.0411,0.169,149.948,5AMWgqiJqQYhaFuAZrL9MJ,199200,4
54,0.856,0.656,5,-6.483,0,0.131,0.165,0.0,0.0998,0.586,90.041,3XZeOzJ9tqnu58YP6cqApI,150060,4
55,0.782,0.738,1,-2.125,1,0.122,0.126,0.00206,0.0692,0.755,166.056,3RGg9W1OyEiRMwu1Qi45dW,188175,4
56,0.859,0.663,1,-4.247,0,0.182,0.0932,3.04e-06,0.251,0.622,154.978,5qRhzFjGqvJN9RSQRFV2J2,164308,4
57,0.842,0.732,7,-4.811,0,0.149,0.575,0.0,0.176,0.629,140.074,4mbb7hmfDR6M9cQaLdYSFd,188780,4
58,0.641,0.857,1,-5.725,0,0.301,0.013,0.00534,0.0695,0.961,122.728,6zEgnpM0qYmHLDnh8WPejL,157733,5
59,0.55,0.858,6,-2.58,1,0.0357,0.041,0.199,0.0562,0.577,145.169,6btkdvumrTmcFzy3oFpZqS,271749,4
60,0.241,0.752,6,-6.076,1,0.148,0.0248,1.77e-06,0.0925,0.153,184.752,2u4fyu0QnU64T5euBxOHxZ,234724,3
61,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,2tFwfmceQa1Y6nRPhYbEtC,227520,4
62,0.467,0.975,1,-3.213,0,0.0502,0.04,0.0541,0.116,0.469,175.952,7e0fO3VlPSkbpha0A9olGS,188182,4
63,0.783,0.764,8,-5.146,1,0.289,0.268,1.13e-06,0.114,0.419,145.884,6VJD8tzKgfQjxy8SwneeOX,264000,4
64,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176.007,1mohfLaTJtB2RplHLQVM70,345241,4
65,0.795,0.911,0,-2.228,1,0.0875,0.0157,0.206,0.131,0.8,164.081,2hsA9YWuF3C9Gosi4dpjJN,182093,4
66,0.802,0.781,0,-6.564,1,0.0368,0.0075,0.825,0.147,0.622,125.026,41KPpw0EZCytxNkmEMJVgr,169920,4
67,0.565,0.934,7,-1.576,0,0.0613,0.00361,2.29e-06,0.295,0.634,139.941,0rch4LXVKv8auzUU8TQh4x,198857,4
68,0.772,0.83,7,-5.019,1,0.0599,0.016,0.0,0.0843,0.697,94.011,5XqCz18k96K8tx6DAYM97i,194200,4
69,0.51,0.831,7,-4.514,0,0.0606,0.0435,3.14e-06,0.346,0.376,128.025,2tW2Kn1IGFFVfRVnQE2UaQ,185625,4
70,0.646,0.814,0,-4.547,1,0.0433,0.0583,6.42e-05,0.118,0.326,127.978,5zATs59c3mikRxLK6ODE0p,264800,4
71,0.614,0.746,10,-3.527,0,0.196,0.347,1.43e-05,0.0874,0.601,168.072,7mcdgAXmb35dakBnfDIv3q,259250,4
72,0.723,0.57,9,-8.589,0,0.0429,0.00412,0.00183,0.0862,0.575,123.979,4ekDggjElGJX9kNSOtnbVf,196000,4
73,0.808,0.752,1,-4.863,0,0.0759,0.0111,0.927,0.0507,0.469,125.005,0PJ4RVL5wCeHDO8wHpk3YG,201120,4
